round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,7000,15300,53100,189900,731500,14853100
round_k,1,4,17,76,265,949,3657,15545,74265
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,10700,33500,113100,421500,1722900,40691100
round_k,1,4,13,53,167,565,2107,8614,39216,203455
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,6600,10700,35500,125500,471500,1956900,47441500
round_k,1,4,16,53,177,627,2357,9784,44965,237207
round_shots,200,200,300,100,100,100,100,100,100,100
round_queries,200,600,2700,4100,12500,41100,143500,545300,2278900,56611900
round_k,1,4,20,62,205,717,2726,11394,52882,283059
round_shots,100,300,100,200,100,200,100,100,100,100
round_queries,100,900,900,5400,10500,67800,167900,602900,2517300,63735700
round_k,1,4,13,52,169,839,3014,12586,58572,318678
round_shots,200,300,200,200,100,100,100,100,100
round_queries,200,900,2200,8200,17500,58100,205900,812900,16656300
round_k,1,5,20,87,290,1029,4064,17334,83281
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,6600,12900,39700,139300,536300,2238500,55762700
round_k,1,4,16,64,198,696,2681,11192,52041,278813
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,12300,41100,141700,547300,2276100,57023900
round_k,1,4,14,61,205,708,2736,11380,52945,285119
round_shots,300,200,200,200,100,100,100,100,100,100
round_queries,300,600,1800,7000,13100,42700,150100,578100,2391300,60302100
round_k,1,4,17,65,213,750,2890,11956,55661,301510
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5400,11500,34700,116500,437700,1766100,41840900
round_k,1,4,13,57,173,582,2188,8830,40269,209204
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,21400,42300,142300,549900,2294700,57454300
round_k,1,4,13,53,211,711,2749,11473,53465,287271
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,7000,14100,45500,160900,626700,2650500,68528900
round_k,1,4,17,70,227,804,3133,13252,62627,342644
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5400,8900,26700,88300,326500,1295100,28303500
round_k,1,4,13,44,133,441,1632,6475,28245,141517
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,19400,45100,161500,619900,2605500,66372500
round_k,1,4,13,48,225,807,3099,13027,61429,331862
round_shots,100,200,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,20200,46300,160500,613500,2567100,65576100
round_k,1,4,13,50,231,802,3067,12835,60117,327880
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,2700,8500,25900,87500,323300,1295700,29143700
round_k,1,4,13,42,129,437,1616,6478,28843,145718
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,21000,47900,172700,654700,2771100,71850700
round_k,1,4,16,52,239,863,3273,13855,65411,359253
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,12900,39900,140900,538500,2232700,55651900
round_k,1,4,17,64,199,704,2692,11163,51775,278259
round_shots,200,200,300,200,100,100,100,100,100,100
round_queries,200,600,2700,7000,13500,43500,157700,602500,2547100,63765300
round_k,1,4,17,67,217,788,3012,12735,58936,318826
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,10900,33300,113100,423700,1733500,41139700
round_k,1,4,14,54,166,565,2118,8667,39405,205698
round_shots,200,200,300,100,100,100,100,100,100,100
round_queries,200,600,2700,4100,12300,41700,143500,551300,2295700,57428300
round_k,1,4,20,61,208,717,2756,11478,53316,287141
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,11100,34300,120500,449500,1842100,44032500
round_k,1,4,14,55,171,602,2247,9210,41874,220162
round_shots,300,200,200,200,100,100,100,100,100,100
round_queries,300,600,1800,6600,12900,39500,140300,522900,2163900,53585700
round_k,1,4,16,64,197,701,2614,10819,50259,267928
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5800,12700,38500,131500,498900,2046900,49895100
round_k,1,4,14,63,192,657,2494,10234,47029,249475
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,13300,44100,157300,601300,2532500,64720300
round_k,1,4,17,66,220,786,3006,12662,59439,323601
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3500,10500,35100,122300,453700,1887900,45061500
round_k,1,4,17,52,175,611,2268,9439,42916,225307
round_shots,100,200,200,100,100,100,100,100,100,100
round_queries,100,600,1800,3300,9900,30500,102700,381700,1542100,35908100
round_k,1,4,16,49,152,513,1908,7710,34818,179540
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,7000,11300,36500,123700,468500,1919500,46470100
round_k,1,4,17,56,182,618,2342,9597,44106,232350
round_shots,100,200,300,200,100,100,100,100,100
round_queries,100,600,2700,8200,16500,52500,189300,732100,14878300
round_k,1,4,20,82,262,946,3660,15567,74391
round_shots,200,200,300,200,100,100,100,100,100
round_queries,200,600,2700,8200,17900,62100,222700,876500,18386100
round_k,1,4,20,89,310,1113,4382,18963,91930
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,12100,36700,129900,487900,2023100,49518900
round_k,1,4,16,60,183,649,2439,10115,46694,247594
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,17400,32900,112700,411700,1683500,39690300
round_k,1,4,13,43,164,563,2058,8417,38133,198451
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,2700,8300,25500,86300,317900,1269300,28393700
round_k,1,4,13,41,127,431,1589,6346,28169,141968
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,14100,44500,156700,599100,2520900,64330700
round_k,1,4,17,70,222,783,2995,12604,59102,321653
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,13700,44300,153900,589900,2450700,61902700
round_k,1,4,17,68,221,769,2949,12253,57226,309513
round_shots,200,200,300,200,200,100,100,100,100
round_queries,200,600,2700,6600,23800,54900,201100,793700,16210700
round_k,1,4,16,59,274,1005,3968,16869,81053
round_shots,100,300,300,200,100,100,100,100,100
round_queries,100,900,2700,9400,19900,64700,233300,912500,19228500
round_k,1,4,23,99,323,1166,4562,19785,96142
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,6600,9900,29900,106100,388500,1574100,36345900
