round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,1900,8300,41500,203900,1035500,6346500
round_k,0,2,9,41,207,1019,5177,31732
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,17300,84900,399500,2016500,10324700
round_k,0,1,4,18,86,424,1997,10082,51623
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10100,50900,260700,1302100,6618100
round_k,0,2,11,50,254,1303,6510,33090
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8500,40900,199100,1011900,5114300,26097900
round_k,0,2,9,42,204,995,5059,25571,130489
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10700,48100,236700,1196700,6106100
round_k,0,2,11,53,240,1183,5983,30530
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1500,7300,35500,178100,899300,4579700,23276700
round_k,0,2,7,36,177,890,4496,22898,116383
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,9300,46300,229100,1159100,5860300
round_k,0,2,11,46,231,1145,5795,29301
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1500,6500,32100,160700,803300,4091500,20913700
round_k,0,2,7,32,160,803,4016,20457,104568
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,8500,38500,189700,968300,4937500,25161100
round_k,0,2,9,42,192,948,4841,24687,125805
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8900,39700,187700,955300,4784700,24467700
round_k,0,2,9,44,198,938,4776,23923,122338
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,7900,39500,200500,1007900,5148300
round_k,0,2,9,39,197,1002,5039,25741
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,9300,40900,206300,1040300,5302900
round_k,0,2,9,46,204,1031,5201,26514
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2300,8900,39500,198700,998100,5078100,25987700
round_k,0,2,11,44,197,993,4990,25390,129938
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,900,3700,16700,75100,370900,1884500,9616500
round_k,0,1,4,18,83,375,1854,9422,48082
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16100,77900,387900,1948100,9891500
round_k,0,1,4,16,80,389,1939,9740,49457
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,5700,27100,133100,678900,3451700,17630900
round_k,0,2,6,28,135,665,3394,17258,88154
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10300,46500,229700,1166500,5933300
round_k,0,2,11,51,232,1148,5832,29666
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5700,26700,122500,610100,3093300,15751300
round_k,0,1,6,28,133,612,3050,15466,78756
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,8700,40700,200100,1004300,5128900
round_k,0,2,9,43,203,1000,5021,25644
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,4100,19100,88900,439100,2225900,11369700
round_k,0,1,4,20,95,444,2195,11129,56848
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,1900,9300,42700,210100,1056100,5387500
round_k,0,2,9,46,213,1050,5280,26937
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,8300,41100,200900,1019100,5198700
round_k,0,2,9,41,205,1004,5095,25993
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,35500,160700,815700,4093100,20922300
round_k,0,2,9,39,177,803,4078,20465,104611
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,5100,25300,120300,599500,3034300,15466500
round_k,0,2,6,25,126,601,2997,15171,77332
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15300,75100,369700,1877100,9599500
round_k,0,1,4,16,76,375,1848,9385,47997
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,9100,41500,209500,1054900,5356700
round_k,0,2,9,45,207,1047,5274,26783
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,2300,11100,52700,249300,1240700,6266700
round_k,0,2,11,55,263,1246,6203,31333
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1500,7100,34500,169700,848700,4298100,22039100
round_k,0,2,7,35,172,848,4243,21490,110195
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,12700,62500,306900,1540500,7891900
round_k,0,1,4,14,63,312,1534,7702,39459
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,9300,41500,207500,1055500,5355300
round_k,0,2,9,46,207,1037,5277,26776
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,5300,23100,113900,573900,2913500,14859500
round_k,0,2,6,26,115,569,2869,14567,74297
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1900,7900,37300,169300,804500,4042300,20608900
round_k,0,2,9,39,186,846,4022,20211,103044
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8100,37900,185500,923100,4689300,23906700
round_k,0,2,9,40,189,927,4615,23446,119533
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,9300,42300,207900,1058300,5378900
round_k,0,2,9,46,211,1039,5291,26894
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,9300,42900,209300,1059900,5368700
round_k,0,2,9,46,214,1046,5299,26843
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,38900,189700,952900,4869300,24791300
round_k,0,2,9,39,194,948,4764,24346,123956
round_shots,200,100,100,100,100,100,100,100,100
