round_shots,700,400,200,200,200,100,200,200,100
round_queries,700,2000,4600,15800,50600,105900,643400,2451000,22438700
round_k,2,11,39,126,529,1608,6127,27279,112193
round_shots,900,400,200,200,200,200,100,200,100
round_queries,900,2000,4600,15800,57800,190600,397700,2740600,19865100
round_k,2,11,39,144,476,1988,6851,28336,99325
round_shots,1300,500,200,200,200,100,100,100,100
round_queries,1300,2500,4600,17400,64600,138300,425500,1458900,21763500
round_k,2,11,43,161,691,2127,7294,27187,108817
round_shots,1200,400,200,200,200,200,200,100,100
round_queries,1200,2000,4600,15000,52200,221800,839400,1843100,28072500
round_k,2,11,37,130,554,2098,9215,33179,140362
round_shots,900,300,200,200,200,200,100,100,100,100
round_queries,900,1500,3800,12200,45000,191000,414100,1389100,4760300,57965700
round_k,2,9,30,112,477,2070,6945,23801,94545,289828
round_shots,1100,500,200,200,200,100,100,100,200,100
round_queries,1100,2500,4600,14200,51800,108700,343100,1163900,7239000,43928700
round_k,2,11,35,129,543,1715,5819,18097,59846,219643
round_shots,1200,500,400,200,200,100,200,100,100
round_queries,1200,2500,10800,20600,71800,134500,813400,1742300,21999900
round_k,2,13,51,179,672,2033,8711,31828,109999
round_shots,1500,300,200,200,200,200,100,100,100,100
round_queries,1500,900,1800,5400,18200,70200,149900,481100,1587100,23074300
round_k,1,4,13,45,175,749,2405,7935,28278,115371
round_shots,1500,200,300,200,200,200,100,200,100,100
round_queries,1500,600,2700,6600,23400,88200,193900,1293000,2644300,45349300
round_k,1,4,16,58,220,969,3232,13221,51827,226746
round_shots,900,300,300,200,200,100,100,100,100
round_queries,900,1500,5700,15800,60200,126500,391900,1345300,18891900
round_k,2,9,39,150,632,1959,6726,23212,94459
round_shots,900,400,200,200,200,100,100,100,100
round_queries,900,2000,4600,14600,57400,125700,406300,1399300,21530500
round_k,2,11,36,143,628,2031,6996,26079,107652
round_shots,1200,400,200,200,200,100,100,100,100,100
round_queries,1200,2000,4600,15000,59000,123300,394300,1252100,4611900,72907500
round_k,2,11,37,147,616,1971,6260,23059,94666,364537
round_shots,900,300,200,200,200,200,200,100,100
round_queries,900,1500,3800,13000,48600,200600,787800,1759700,19130500
round_k,2,9,32,121,501,1969,8798,31563,95652
round_shots,700,300,200,200,200,200,100,100,100,100
round_queries,700,1500,3800,13000,46600,166200,357500,1129100,3528500,49209100
round_k,2,9,32,116,415,1787,5645,17642,57577,246045
round_shots,900,500,300,200,200,200,100,100,100
round_queries,900,2500,8100,19400,77000,287000,605300,2013500,36781700
round_k,2,13,48,192,717,3026,10067,37913,183908
round_shots,1100,400,200,300,200,100,100,100,100
round_queries,1100,2000,4600,22500,63000,134300,428300,1485900,21592900
round_k,2,11,37,157,671,2141,7429,28016,107964
round_shots,900,400,200,200,100,100,300,100,100,100
round_queries,900,2000,4600,15800,30100,90700,843900,1155300,4245300,66707300
round_k,2,11,39,150,453,1406,5776,21226,79739,333536
round_shots,1200,300,200,200,200,200,100,100,100,100
round_queries,1200,1500,3800,12200,41400,166600,373500,1296900,4230100,39607300
round_k,2,9,30,103,416,1867,6484,21150,64816,198036
round_shots,1500,300,300,200,200,100,200,100,100,100
round_queries,1500,900,2700,7400,24200,48300,299000,640500,1969100,32332700
round_k,1,4,18,60,241,747,3202,9845,37197,161663
round_shots,1100,400,200,200,200,200,200,100,200,100
round_queries,1100,2000,4600,14200,47000,192600,820600,1781100,11551000,70038300
round_k,2,11,35,117,481,2051,8905,28877,97046,350191
round_shots,900,300,200,200,200,100,100,100,100,100
round_queries,900,1500,3800,12200,47800,100900,321500,1106700,4101500,51029700
round_k,2,9,30,119,504,1607,5533,20507,66364,255148
round_shots,1200,400,200,200,200,200,200,100,100,100
round_queries,1200,2000,3800,12200,43000,159400,566600,1113900,4106100,58681900
round_k,2,9,30,107,398,1416,5569,20530,82770,293409
round_shots,800,400,200,200,200,100,100,200,100,100
round_queries,800,2000,4600,14600,55800,116700,373500,2259800,4579500,72794900
round_k,2,11,36,139,583,1867,5649,22897,91582,363974
round_shots,1100,400,200,200,200,200,100,100,200,100
round_queries,1100,2000,4600,15800,60200,260200,554900,1860500,13472600,60626700
round_k,2,11,39,150,650,2774,9302,33681,101044,303133
round_shots,1500,300,300,200,200,100,100,100,100
round_queries,1500,1500,5700,14600,58600,121900,371500,1279900,18598100
round_k,2,9,36,146,609,1857,6399,22749,92990
round_shots,700,300,200,200,200,100,100,100,100,100
round_queries,700,1500,3800,13400,49400,104100,334100,1148700,4005300,67458500
round_k,2,9,33,123,520,1670,5743,20026,79411,337292
round_shots,1100,200,300,200,200,200,100,100,100,100
round_queries,1100,1000,4500,9400,35800,147000,312100,1040900,3806700,64773900
round_k,2,7,23,89,367,1560,5204,19033,76857,323869
round_shots,1400,300,200,200,200,100,200,100,100,100
round_queries,1400,1500,3800,13000,42200,83300,501400,940500,3421300,58269100
round_k,2,9,32,105,416,1253,4702,17106,66054,291345
round_shots,1000,500,200,200,200,100,100,100,100
round_queries,1000,2500,4600,15000,57000,115500,350100,1150900,17252500
round_k,2,11,37,142,577,1750,5754,21183,86262
round_shots,800,200,300,200,200,200,100,100,100,100
round_queries,800,1000,4500,9400,33800,125400,277500,907300,3306100,53521500
round_k,2,7,23,84,313,1387,4536,16530,65055,267607
round_shots,800,400,200,200,200,200,100,100,100
round_queries,800,2000,4600,15800,60200,255800,475100,1580100,24225900
round_k,2,11,39,150,639,2375,7900,29680,121129
round_shots,700,400,200,200,200,100,200,300,100,100
round_queries,700,2000,3800,13000,44200,89700,570200,3727500,5608700,74171500
round_k,2,9,32,110,448,1425,6212,28043,108136,370857
round_shots,900,400,200,200,200,200,100,300,100
