round_shots,1200,700,200,200,200,200,100,100,100
round_queries,1200,3500,3800,12200,44200,180600,401300,1332500,20628300
round_k,2,9,30,110,451,2006,6662,24999,103141
round_shots,1200,500,300,200,200,100,100,100,100,100
round_queries,1200,2500,5700,13000,49000,80500,251100,799100,2785700,55603900
round_k,2,9,32,122,402,1255,3995,13928,54846,278019
round_shots,1000,300,300,400,200,200,200,100,100,100
round_queries,1000,1500,5100,22000,33000,138200,559400,1266300,4639100,64234100
round_k,2,8,27,82,345,1398,6331,23195,94130,321170
round_shots,900,500,400,300,200,200,100,100,100,100
round_queries,900,2500,6800,18300,47800,148600,263900,894700,3193500,48426900
round_k,2,8,30,119,371,1319,4473,15967,59445,242134
round_shots,700,400,200,200,300,200,100,100,100,100
round_queries,700,2000,3800,12200,56100,129000,247900,791900,2779700,48196300
round_k,2,9,30,93,322,1239,3959,13898,54761,240981
round_shots,1100,500,300,200,200,100,200,200,200,100
round_queries,1100,2500,5100,11000,41000,70700,443400,1865000,8395800,70716300
round_k,2,8,27,102,353,1108,4662,20989,97904,353581
round_shots,800,500,300,200,200,200,100,100,100,100
round_queries,800,2500,5700,13000,45400,189800,385300,1319300,4913300,69098900
round_k,2,9,32,113,474,1926,6596,24566,98502,345494
round_shots,700,500,300,300,200,200,100,100,100,100
round_queries,700,2500,5700,17700,44600,146600,254500,769300,2757300,34323700
round_k,2,9,29,111,366,1272,3846,13786,54448,171618
round_shots,1300,400,200,200,200,200,100,200,100,100
round_queries,1300,2000,3400,10600,37800,157000,296700,1882600,4383100,71024100
round_k,2,8,26,94,392,1483,4706,21915,78441,355120
round_shots,1000,400,400,300,200,200,200,100,100,100
round_queries,1000,2000,6800,16500,37000,112600,451000,817700,2745900,38018500
round_k,2,8,27,92,281,1127,4088,13729,44172,190092
round_shots,800,500,300,200,200,100,100,100,100,100
round_queries,800,2500,5100,12200,43400,92100,278100,881100,3122500,46203700
round_k,2,8,30,108,460,1390,4405,15612,55385,231018
round_shots,600,600,300,300,300,200,200,200,100,100
round_queries,600,3000,5700,21900,77100,154200,640200,2599000,5087900,67051700
round_k,2,9,36,128,385,1600,6497,25439,91176,335258
round_shots,600,400,400,300,200,200,100,200,100
round_queries,600,2000,7600,27300,63800,232600,515500,3132200,28371700
round_k,2,9,45,159,581,2577,7830,36050,141858
round_shots,1200,400,400,300,300,200,200,100,100,100
round_queries,1200,2000,7600,19500,59700,122200,381400,608900,2128700,32751700
round_k,2,9,32,99,305,953,3044,10643,41165,163758
round_shots,1000,400,400,400,200,200,100,100,100,100
round_queries,1000,2000,7600,26000,47000,162600,320100,1077300,3931300,68537500
round_k,2,9,32,117,406,1600,5386,19656,79029,342687
round_shots,1100,500,200,300,200,200,200,100,100,100
round_queries,1100,2500,3400,15900,37000,113800,499400,1134900,4212900,74740300
round_k,2,8,26,92,284,1248,5674,21064,76598,373701
round_shots,900,500,200,200,200,100,100,200,100,100
round_queries,900,2500,3400,10600,36600,72900,222300,1463400,2946300,50187100
round_k,2,8,26,91,364,1111,3658,14731,57115,250935
round_shots,1000,400,200,200,200,200,100,100,100,100
round_queries,1000,2000,3800,12200,41400,141800,310100,971500,3553100,50141500
round_k,2,9,30,103,354,1550,4857,17765,69100,250707
round_shots,600,500,400,200,300,300,100,100,100
round_queries,600,2500,6800,14600,81900,338700,469100,1648500,24321900
round_k,2,8,36,136,564,2345,8242,29954,121609
round_shots,1400,600,300,300,200,200,100,100,100,100
round_queries,1400,3000,5100,15900,37000,136600,288900,977300,3291900,56407100
round_k,2,8,26,92,341,1444,4886,16459,63651,282035
round_shots,800,400,300,200,300,200,200,100,100,100
round_queries,800,2000,5100,14200,79500,195400,735800,1388100,4181700,75345100
round_k,2,8,35,132,488,1839,6940,20908,84624,376725
round_shots,600,400,200,200,200,200,200,200,100
round_queries,600,2000,3800,12200,43800,176600,731400,2996600,21425700
round_k,2,9,30,109,441,1828,7491,26148,107128
round_shots,900,400,300,300,200,200,100,100,100,100
round_queries,900,2000,5700,17700,49800,158200,346100,1169300,4347700,55304700
round_k,2,9,29,124,395,1730,5846,21738,85608,276523
round_shots,1000,400,300,200,200,100,100,100,100,100
round_queries,1000,2000,5700,15800,58600,123100,370100,1252900,4347900,66995900
round_k,2,9,39,146,615,1850,6264,21739,76807,334979
round_shots,1100,400,300,200,200,200,100,100,100,100
round_queries,1100,2000,5700,12200,40600,169800,357100,1228900,4493100,49185100
round_k,2,9,30,101,424,1785,6144,22465,81878,245925
round_shots,1400,400,300,200,200,100,100,100,100,100
round_queries,1400,2800,6900,17800,64600,130900,426700,1319900,4549100,76302700
round_k,3,11,44,161,654,2133,6599,22745,92968,381513
round_shots,1200,500,400,200,200,200,200,100,100
round_queries,1200,2500,6800,13400,48200,156200,665400,1494500,19291300
round_k,2,8,33,120,390,1663,7472,26830,96456
round_shots,1300,400,300,200,200,100,200,100,100
round_queries,1300,2000,5700,17400,69400,148700,952600,2178100,25554100
round_k,2,9,43,173,743,2381,10890,36380,127770
round_shots,1400,500,400,300,200,100,200,100,100,100
round_queries,1400,2500,7600,17700,44600,78700,499800,946500,3316500,56377100
