round_shots,400,100,100,100,100,100,100
round_queries,400,900,3100,14500,64900,321300,1633300
round_k,0,4,15,72,324,1606,8166
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,19300,76900,353100,1795700
round_k,0,1,4,19,96,384,1765,8978
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2700,12300,58300,297700,1515300,7783700
round_k,0,3,13,61,291,1488,7576,38918
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10100,47700,239300,1219500,6248700
round_k,0,3,12,50,238,1196,6097,31243
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4500,21900,107700,540700,2759100
round_k,0,4,22,109,538,2703,13795
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10100,49300,251100,1283900,6535900
round_k,0,3,12,50,246,1255,6419,32679
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,16500,81100,409700,2104300
round_k,0,3,16,82,405,2048,10521
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3500,17500,83500,422300,2136700
round_k,0,3,17,87,417,2111,10683
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,1100,4300,20300,98300,503500,2581700
round_k,0,1,5,21,101,491,2517,12908
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11300,53700,265500,1341700,6904500
round_k,0,3,12,56,268,1327,6708,34522
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,15500,78900,400900,2055100
round_k,0,3,16,77,394,2004,10275
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,15700,69700,347100,1761300
round_k,0,1,4,15,78,348,1735,8806
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2300,10700,53700,269700,1380300,7024700
round_k,0,3,11,53,268,1348,6901,35123
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,15500,71900,356100,1803100
round_k,0,4,16,77,359,1780,9015
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3100,15100,72300,360300,1841700
round_k,0,3,15,75,361,1801,9208
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,900,3300,12900,59100,296100,1517300,7769700
round_k,0,1,4,16,64,295,1480,7586,38848
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18900,94500,474100,2429500
round_k,0,1,4,20,94,472,2370,12147
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,20300,96900,484300,2478300
round_k,0,1,4,20,101,484,2421,12391
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,15900,79900,400300,2040100
round_k,0,1,4,16,79,399,2001,10200
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,8700,41300,206700,1051500,5419700
round_k,0,3,11,43,206,1033,5257,27098
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,3300,15300,60100,278500,1413500,7259100
round_k,0,3,16,76,300,1392,7067,36295
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,16300,81500,412100,2107500
round_k,0,1,4,19,81,407,2060,10537
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3900,15500,72100,362700,1852900
round_k,0,1,4,19,77,360,1813,9264
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18100,88700,453100,2292500
round_k,0,1,4,20,90,443,2265,11462
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3100,14300,61300,304900,1553900
round_k,0,3,15,71,306,1524,7769
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3100,13300,62100,300100,1537500
round_k,0,1,4,15,66,310,1500,7687
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,10700,48300,237100,1200100,6149300
round_k,0,3,12,53,241,1185,6000,30746
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12700,58100,269500,1347100,6884300
round_k,0,3,12,63,290,1347,6735,34421
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11700,57700,286300,1453500,7452700
round_k,0,3,12,58,288,1431,7267,37263
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13700,59900,250100,1204500,6201300
round_k,0,1,4,16,68,299,1250,6022,31006
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3900,19500,97300,485300,2474500
round_k,0,4,19,97,486,2426,12372
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11300,54300,241300,1098300,5499500
round_k,0,3,12,56,271,1206,5491,27497
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,14300,68900,342500,1736700
round_k,0,4,16,71,344,1712,8683
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3500,15900,79300,396900,2028500
round_k,0,1,4,17,79,396,1984,10142
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3500,16300,76300,468700,2357700
round_k,0,4,17,81,381,2343,11788
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,10100,49500,245700,1259300,6448300
round_k,0,3,11,50,247,1228,6296,32241
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,47900,228900,1152900,5886700
round_k,0,3,12,48,239,1144,5764,29433
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,4100,17500,85100,428700,2184700
round_k,0,1,4,20,87,425,2143,10923
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10100,48300,238100,1196900,6094100
round_k,0,3,12,50,241,1190,5984,30470
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3100,14500,72100,360700,1825700
round_k,0,3,15,72,360,1803,9128
round_shots,400,100,100,100,100,100,100,100
round_queries,400,300,1100,4300,18300,88300,439300,2239100
round_k,0,1,5,21,91,441,2196,11195
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,15900,77300,391700,2013700
round_k,0,3,16,79,386,1958,10068
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,15900,76900,391100,2000100
round_k,0,1,4,16,79,384,1955,10000
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,17700,82100,420100,2128900
round_k,0,4,20,88,410,2100,10644
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10700,51100,260500,1319900,6769300
round_k,0,3,12,53,255,1302,6599,33846
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10300,40700,175700,841100,4255700
round_k,0,3,12,51,203,878,4205,21278
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10500,50700,255100,1308100,6699500
round_k,0,2,11,52,253,1275,6540,33497
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2100,7900,33500,148100,761700,3890700
round_k,0,2,10,39,167,740,3808,19453
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,10500,47300,237100,1209900,6118700
round_k,0,3,11,52,236,1185,6049,30593
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3500,14900,69300,333300,1679100
round_k,0,1,4,17,74,346,1666,8395
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,15700,75900,376500,1905300
round_k,0,1,4,16,78,379,1882,9526
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4300,21100,104700,531100,2684900
round_k,0,1,4,21,105,523,2655,13424
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,49900,254300,1307700,6629300
round_k,0,3,12,48,249,1271,6538,33146
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,14900,72300,367700,1808900
round_k,0,4,16,74,361,1838,9044
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10500,50300,250100,1267500,6483900
round_k,0,3,12,52,251,1250,6337,32419
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18500,90900,464100,2376700
round_k,0,1,4,20,92,454,2320,11883
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,17300,86100,432900,2227500
round_k,0,1,4,20,86,430,2164,11137
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3100,14900,71300,364500,1843100
round_k,0,3,15,74,356,1822,9215
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11100,54300,268900,1374500,6998900
round_k,0,3,12,55,271,1344,6872,34994
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11500,57900,289700,1481100,7628100
round_k,0,3,12,57,289,1448,7405,38140
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2300,9100,41300,207700,1058700,5419300
round_k,0,3,11,45,206,1038,5293,27096
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1700,7500,35300,176900,901300,4604100
round_k,0,2,8,37,176,884,4506,23020
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,13700,67100,335700,1709100
round_k,0,3,16,68,335,1678,8545
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,1500,6700,29700,142100,718300,3679700
round_k,0,1,7,33,148,710,3591,18398
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9700,47300,243300,1240100,6353900
round_k,0,3,12,48,236,1216,6200,31769
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11300,50900,246100,1249300,6415900
round_k,0,3,12,56,254,1230,6246,32079
round_shots,300,100,100,100,100,100,100,100
