round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,6600,12900,46500,178300,3681700
round_k,4,16,64,232,891,3821,18408
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,7500,25700,97500,390300,9332500
round_k,3,12,37,128,487,1951,8852,46662
round_shots,800,100,200,100,100,100,100,100
round_queries,800,300,1800,4100,12300,41100,159900,3224300
round_k,1,4,20,61,205,799,3382,16121
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,5000,8900,30100,109300,451100,11096900
round_k,3,12,44,150,546,2255,10369,55484
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,6200,13900,48700,187100,3913300
round_k,4,15,69,243,935,4026,19566
round_shots,800,200,200,200,100,100,100
round_queries,800,1400,5000,22200,52900,198500,2971300
round_k,3,12,55,264,992,3512,14856
round_shots,300,100,200,200,100,100,100,100
round_queries,300,300,1800,6600,13100,41700,159900,3214500
round_k,1,4,16,65,208,799,3426,16072
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,7700,23300,82900,334100,7758900
round_k,3,12,38,116,414,1670,7487,38794
round_shots,800,200,200,200,100,100,100,100
round_queries,800,600,1800,6600,14300,50300,193500,4113300
round_k,1,4,16,71,251,967,4215,20566
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1800,6600,12100,39300,152900,3056900
round_k,4,16,60,196,764,3193,15284
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,8900,26900,99300,399700,9589500
round_k,3,12,44,134,496,1998,9090,47947
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,10700,36100,138500,581500,15175300
round_k,3,12,53,180,692,2907,13715,75876
round_shots,700,200,200,200,100,100,100
round_queries,700,1400,4600,17400,42700,164500,3315700
round_k,3,11,43,213,822,3456,16578
round_shots,800,200,200,100,100,100,100,100,100
round_queries,800,600,1800,3300,10700,35700,136700,566500,14424100
round_k,1,4,16,53,178,683,2832,13243,72120
round_shots,900,200,200,100,100,100,100
round_queries,900,1400,5000,11500,40900,159100,3269700
round_k,3,12,57,204,795,3421,16348
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,8100,27900,105100,431100,10457900
round_k,3,12,40,139,525,2155,9938,52289
round_shots,400,100,200,200,100,100,100,100
round_queries,400,300,1800,6600,15500,50500,200100,4272500
round_k,1,4,16,77,252,1000,4339,21362
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,5000,9900,34700,132100,554900,14121700
round_k,3,12,49,173,660,2774,13003,70608
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,4600,8100,24300,82900,340900,7961900
round_k,3,11,40,121,414,1704,7657,39809
round_shots,700,100,200,200,100,100,100,100
round_queries,700,300,1800,6600,13500,44100,159300,3188700
round_k,1,4,16,67,220,796,3328,15943
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2300,7100,23900,75500,303100,6998300
round_k,3,11,35,119,377,1515,6806,34991
round_shots,500,200,300,100,100,100,100,100
round_queries,500,600,2700,3300,11100,37900,144900,2873700
round_k,1,4,16,55,189,724,3040,14368
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5400,9900,33900,126500,522100,13285100
round_k,3,13,49,169,632,2610,12276,66425
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5000,10500,31500,122100,508700,12902100
round_k,3,12,52,157,610,2543,11889,64510
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1400,5000,11700,41500,161100,3270900
round_k,3,12,58,207,805,3417,16354
round_shots,800,200,200,100,100,100,100
round_queries,800,1400,5000,10700,39300,150500,3021900
round_k,3,12,53,196,752,3187,15109
round_shots,800,100,200,200,100,100,100,100
round_queries,800,300,1800,6600,12900,46900,179300,3713500
round_k,1,4,16,64,234,896,3818,18567
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,9700,31500,113100,466300,11678500
round_k,3,12,48,157,565,2331,10833,58392
round_shots,1300,200,100,200,100,100,100,100
round_queries,1300,1400,2300,14600,30900,113100,466700,11424700
round_k,3,11,36,154,565,2333,10738,57123
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,9900,35700,137100,583500,15080100
round_k,3,12,49,178,685,2917,13745,75400
round_shots,900,200,200,100,100,100,100,100
