round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,3900,25400,74500,368500,2245300
round_k,0,1,5,19,63,372,1842,11226
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,9400,24900,114100,561300,2874100
round_k,0,1,5,23,124,570,2806,14370
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2100,9500,24700,91100,464700,2362700
round_k,0,2,10,47,123,455,2323,11813
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4700,30600,93900,427300,2167900
round_k,0,1,5,23,76,469,2136,10839
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,20100,56100,261500,1178500,5907500
round_k,0,1,5,19,100,280,1307,5892,29537
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,15100,73100,358700,1612900
round_k,0,1,5,18,75,365,1793,8064
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,900,3500,15900,99400,267100,1172100,6032100
round_k,0,1,4,17,79,248,1335,5860,30160
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1300,4500,11700,48600,132500,655500,3323900
round_k,0,1,6,22,58,121,662,3277,16619
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,24500,90300,395300,1984500
round_k,0,1,6,31,122,451,1976,9922
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,11500,25300,83100,405100,2070100
round_k,0,1,4,18,57,126,415,2025,10350
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,4100,21800,64900,286300,1461500,7498100
round_k,0,1,5,20,54,324,1431,7307,37490
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,8700,37500,192300,951500,4874100
round_k,0,1,5,16,43,187,961,4757,24370
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1100,3900,11700,73000,196100,966700,4835500
round_k,0,1,5,19,58,182,980,4833,24177
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5300,29400,100500,497100,2548900
round_k,0,1,6,26,73,502,2485,12744
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2500,10700,48500,232300,1187900,6111500
round_k,0,1,4,12,53,242,1161,5939,30557
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,10500,47700,238900,1226700,6294500
round_k,0,1,5,24,52,238,1194,6133,31472
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,19700,76700,314500,1572500
round_k,0,1,5,26,98,383,1572,7862
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,18500,57700,201300,1014100,5115100
round_k,0,1,4,21,92,288,1006,5070,25575
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6700,20900,107700,542500,2777700
round_k,0,1,6,33,104,538,2712,13888
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,19900,81500,235900,847100,3805100
round_k,0,1,5,24,99,407,1179,4235,19025
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3100,14100,54900,249300,1058900,5306500
round_k,0,1,5,15,70,274,1246,5294,26532
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14700,40900,195500,1002300,5104500
round_k,0,1,5,23,73,204,977,5011,25522
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,6600,21700,94300,465300,2372700
round_k,0,1,5,16,108,471,2326,11863
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1500,6300,24500,173800,585700,2953700
round_k,0,1,7,31,122,434,2928,14768
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,17500,50500,254300,1115900,5525300
round_k,0,1,6,21,87,252,1271,5579,27626
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,16700,72100,362100,1730500
round_k,0,1,5,20,83,360,1810,8652
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,13500,35100,122500,603900,2992700
round_k,0,1,4,17,67,175,612,3019,14963
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,21300,43100,163300,765900,3865100
round_k,0,1,6,23,106,215,816,3829,19325
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,22500,102700,308900,1592100
round_k,0,1,5,27,112,513,1544,7960
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22700,48700,221100,956300,4763300
round_k,0,1,5,23,113,243,1105,4781,23816
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1700,8100,18500,92500,443900,2249300
round_k,0,2,8,40,92,462,2219,11246
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,15900,66900,295100,1486500,7655700
round_k,0,1,5,26,79,334,1475,7432,38278
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14700,60100,266700,1350700,6878900
round_k,0,1,5,23,73,300,1333,6753,34394
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,15300,48700,243900,1227100,6302700
round_k,0,1,5,26,76,243,1219,6135,31513
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,7500,30700,152100,768100,3957700
round_k,0,1,5,17,37,153,760,3840,19788
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14100,65700,274100,1407900,7173500
round_k,0,1,5,23,70,328,1370,7039,35867
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,8900,33700,148500,741900,3806900
round_k,0,1,5,20,44,168,742,3709,19034
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,9000,25100,142100,728500,3740900
round_k,0,1,5,22,125,710,3642,18704
round_shots,100,100,100,100,100,100,100,100,100
