round_shots,300,200,200,100,100,400,100
round_queries,300,600,2600,5500,19300,235600,2146500
round_k,1,6,27,96,294,2424,10732
round_shots,200,100,300,200,500,100,100
round_queries,200,300,2700,7400,67500,113500,2394300
round_k,1,4,18,67,567,2474,11971
round_shots,200,200,200,200,300,100,100
round_queries,200,600,2200,9800,49500,102500,1819100
round_k,1,5,24,82,512,1960,9095
round_shots,200,100,100,200,200,300,100,100
round_queries,200,300,900,5800,25000,185100,201500,4190100
round_k,1,4,14,62,308,1007,4337,20950
round_shots,200,100,300,400,100,100,100,100
round_queries,200,300,2700,10800,18100,60900,251700,6349900
round_k,1,4,13,90,304,1258,5847,31749
round_shots,100,100,200,100,500,100,100,100
round_queries,100,300,1800,2900,51500,31300,104700,1931900
round_k,1,4,14,51,156,523,2013,9659
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,6600,26600,50100,190900,4111100
round_k,1,5,16,66,250,954,4106,20555
round_shots,200,200,300,300,100,100,100,100
round_queries,200,600,2700,8100,8300,30100,109900,2316100
round_k,1,4,13,41,150,549,2351,11580
round_shots,200,100,100,200,500,200,100,100
round_queries,200,300,900,5800,46500,59800,125500,2595900
round_k,1,4,14,46,149,627,2661,12979
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,7000,12300,45900,176500,4132300
round_k,1,4,17,61,229,882,3978,20661
round_shots,100,200,100,200,400,100,100,100
round_queries,100,600,900,5400,33200,55900,227300,5597900
round_k,1,4,13,41,279,1136,5231,27989
round_shots,200,200,100,200,300,100,100,100
round_queries,200,600,1100,6600,32700,70700,245100,5959100
round_k,1,5,16,54,353,1225,5561,29795
round_shots,100,100,200,200,500,100,100
round_queries,100,300,1800,7000,57500,97900,2015300
round_k,1,4,17,57,489,2085,10076
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,6600,27800,44100,175700,3937500
round_k,1,5,16,69,220,878,3921,19687
round_shots,200,100,100,100,300,100,100,100
round_queries,200,300,900,2700,26100,52900,187900,4256100
round_k,1,4,13,43,264,939,4107,21280
round_shots,100,200,200,400,100,100,100,100
round_queries,100,600,2200,16400,12900,48100,177300,4043700
round_k,1,5,20,64,240,886,3918,20218
round_shots,100,100,200,400,200,100,100,100
round_queries,100,300,1800,13200,19800,49100,181900,4238300
round_k,1,4,16,49,245,909,4063,21191
round_shots,200,200,100,200,300,100,100,100
round_queries,200,600,1100,6600,33900,69100,294900,7304300
round_k,1,5,16,56,345,1474,6678,36521
round_shots,200,100,200,400,100,100,100,100
round_queries,200,300,1800,12400,9300,30700,113900,2408500
round_k,1,4,15,46,153,569,2433,12042
round_shots,100,200,200,600,100,100,100,100
round_queries,100,600,2200,22200,11100,39500,146100,3163100
round_k,1,5,18,55,197,730,3145,15815
round_shots,200,200,200,100,300,200,100
round_queries,200,600,2200,4700,47100,123800,1539500
round_k,1,5,23,78,309,1650,7697
round_shots,100,200,100,100,300,200,100,100
round_queries,100,600,900,2900,28500,60600,92700,1805500
round_k,1,4,14,47,151,463,1871,9027
round_shots,200,100,100,200,500,100,100
round_queries,200,300,900,5800,56500,96100,1585900
round_k,1,4,14,56,480,1715,7929
round_shots,200,100,200,100,200,100,100,100
round_queries,200,300,1800,3300,21800,34300,106500,1813100
round_k,1,4,16,54,171,532,1951,9065
round_shots,200,100,100,600,100,100,100
round_queries,200,300,900,16200,23300,84500,1670500
round_k,1,4,13,116,422,1747,8352
round_shots,200,200,100,100,200,400,100,100
round_queries,200,600,1100,3300,22600,148400,291500,6644100
round_k,1,5,16,56,185,1457,6178,33220
round_shots,200,200,100,200,400,100,100
round_queries,200,600,1100,6600,64400,124500,2632300
round_k,1,5,16,80,622,2701,13161
round_shots,100,100,200,100,400,100,100,100
round_queries,100,300,1800,2900,36400,65500,268100,6632100
round_k,1,4,14,45,327,1340,6086,33160
round_shots,200,200,200,600,100,100,100
round_queries,200,600,2200,28200,39300,140700,3186500
round_k,1,5,23,196,703,3141,15932
round_shots,200,100,200,200,400,200,100,100
round_queries,200,300,1800,6600,55600,88200,224300,4597700
round_k,1,4,16,69,220,1121,4457,22988
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,7800,15300,55900,228700,5463700
round_k,1,4,19,76,279,1143,5134,27318
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,900,5400,25400,43700,157100,2256300
round_k,1,4,13,63,218,785,2907,11281
round_shots,200,100,100,100,200,300,100,100
round_queries,200,300,900,2700,17400,92100,181700,4094900
round_k,1,4,13,43,153,908,3995,20474
round_shots,200,200,200,100,200,300,100,100
round_queries,200,600,1800,3100,20200,98700,200900,4270700
round_k,1,4,15,50,164,1004,4223,21353
round_shots,200,100,200,400,100,100,100,100
round_queries,200,300,1800,13200,10500,39900,158300,3641100
round_k,1,4,16,52,199,791,3562,18205
round_shots,200,200,100,200,300,100,100
round_queries,200,600,1100,6600,34500,75500,1467700
round_k,1,5,16,57,377,1568,7338
round_shots,100,100,100,100,200,200,200,100
round_queries,100,300,900,2700,18200,67400,203000,2192900
round_k,1,4,13,45,168,507,2383,10964
round_shots,100,200,100,100,200,300,100,100
round_queries,100,600,1100,3300,21800,135300,159300,3045500
round_k,1,5,16,54,225,796,3412,15227
round_shots,100,200,100,100,200,200,100,100
round_queries,100,600,1300,3900,27000,107000,304900,7028100
round_k,1,6,19,67,267,1524,6577,35140
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,1800,6200,38800,72900,254500,6366300
round_k,1,4,15,48,364,1272,5892,31831
round_shots,100,100,100,200,100,400,100
round_queries,100,300,900,5400,11300,158000,1528500
round_k,1,4,13,56,197,1612,7642
round_shots,200,100,200,100,200,100,100,100
round_queries,200,300,1800,3300,23400,42900,162900,3433300
round_k,1,4,16,58,214,814,3457,17166
round_shots,200,200,100,200,400,100,100,100
round_queries,200,600,1100,6600,45200,74500,266500,6861100
round_k,1,5,16,56,372,1332,6271,34305
round_shots,200,200,100,100,200,300,100,100
round_queries,200,600,900,2700,17000,94500,210900,4048900
round_k,1,4,13,42,157,1054,4010,20244
round_shots,200,200,200,200,300,100,100
round_queries,200,600,2200,7800,39300,81900,1622700
round_k,1,5,19,65,409,1702,8113
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,12300,25000,59100,231300,5652900
round_k,1,4,20,62,295,1156,5254,28264
round_shots,100,200,200,200,100,100,100
round_queries,100,600,2200,9400,20300,77500,1516100
round_k,1,5,23,101,387,1605,7580
round_shots,200,100,200,200,200,300,100,100
round_queries,200,300,1800,5800,21000,114900,244300,5129300
round_k,1,4,14,52,191,1221,4923,25646
round_shots,200,200,100,300,200,100,100,100
round_queries,200,600,1100,9900,21400,54500,221500,5374700
round_k,1,5,16,53,272,1107,5026,26873
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,10500,21400,55300,224900,5489300
round_k,1,4,17,53,276,1124,5135,27446
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,6600,28600,60900,257300,6470700
round_k,1,5,16,71,304,1286,5979,32353
round_shots,200,100,100,100,200,100,100,100
round_queries,200,300,900,2900,17400,29500,114100,2041700
round_k,1,4,14,43,147,570,2137,10208
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,9100,31500,116300,1422700
round_k,1,4,13,45,157,581,2113,7113
round_shots,200,100,100,100,400,200,100,100
round_queries,200,300,900,2700,34000,51000,117100,2159300
round_k,1,4,13,42,127,585,2269,10796
round_shots,200,200,200,200,300,100,100
round_queries,200,600,2600,9400,57300,122700,2363900
round_k,1,6,23,95,613,2481,11819
round_shots,100,100,200,200,200,100,100,100
round_queries,100,300,1800,6200,21000,55700,226500,5468300
round_k,1,4,15,52,278,1132,5132,27341
round_shots,100,200,200,300,100,100,100,100
round_queries,100,600,2200,11100,19700,65500,273500,7035100
round_k,1,5,18,98,327,1367,6437,35175
round_shots,200,200,200,200,100,300,100,100
round_queries,200,600,2600,8200,16700,178500,186100,3296300
round_k,1,6,20,83,297,930,3272,16481
round_shots,200,200,100,200,500,100,100
round_queries,200,600,1100,7000,72500,123900,2248500
round_k,1,5,17,72,619,2297,11242
round_shots,200,100,100,400,100,100,100,100
round_queries,200,300,900,11600,9100,32900,120300,2566500
round_k,1,4,14,45,164,601,2566,12832
round_shots,200,100,100,300,200,100,100,100
round_queries,200,300,900,8100,18200,47500,167500,3744500
round_k,1,4,13,45,237,837,3649,18722
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,1800,6600,53200,43100,129300,2747100
round_k,1,4,16,66,215,646,2805,13735
round_shots,200,100,200,100,100,400,100,100
round_queries,200,300,1800,3100,10100,134800,101500,1563100
round_k,1,4,15,50,168,507,1769,7815
round_shots,200,200,100,100,100,500,100,100,100
round_queries,200,600,900,2700,9100,139500,86500,259900,5937700
round_k,1,4,13,45,139,432,1299,5504,29688
round_shots,200,200,200,200,200,100,200,100
round_queries,200,600,2200,7400,28600,47300,301000,3851300
round_k,1,5,18,71,236,752,4260,19256
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,2200,6600,42800,74700,276100,7183100
round_k,1,5,16,53,373,1380,6537,35915
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,1800,6200,39600,73900,260100,6624500
round_k,1,4,15,49,369,1300,6089,33122
round_shots,100,200,200,400,100,100,100
round_queries,100,600,2200,18800,31500,109100,2261500
round_k,1,5,23,157,545,2323,11307
round_shots,100,100,200,300,200,100,100,100
round_queries,100,300,1800,10500,21400,48500,179700,4195300
round_k,1,4,17,53,242,898,4026,20976
round_shots,200,100,200,200,500,100,100
round_queries,200,300,1800,5400,61500,104700,1956100
round_k,1,4,13,61,523,2035,9780
round_shots,200,200,100,300,200,100,100,100
round_queries,200,600,900,8700,18600,41500,150300,3283300
round_k,1,4,14,46,207,751,3218,16416
round_shots,300,200,200,200,100,100,100,100
round_queries,300,600,2200,10200,16300,62500,254300,6331100
round_k,1,5,25,81,312,1271,5826,31655
round_shots,300,200,100,300,200,100,100,100
round_queries,300,600,1100,9900,22600,55500,220500,5278100
round_k,1,5,16,56,277,1102,4941,26390
round_shots,200,100,100,200,200,100,100,100
round_queries,200,300,900,5800,27400,70100,249700,5853700
round_k,1,4,14,68,350,1248,5503,29268
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,12900,28600,60100,214700,5251300
round_k,1,4,21,71,300,1073,4948,26256
round_shots,200,200,100,500,200,100,100,100
round_queries,200,600,1100,16500,21000,41700,157700,3612500
round_k,1,5,16,52,208,788,3537,18062
round_shots,200,100,100,200,100,100,100,100
round_queries,200,300,900,5800,14500,45300,179100,2319900
round_k,1,4,14,72,226,895,3505,11599
round_shots,200,200,200,100,200,200,100,100
round_queries,200,600,2200,4700,30200,106600,228700,5360500
round_k,1,5,23,75,266,1143,5063,26802
round_shots,200,200,100,100,200,400,100,100
round_queries,200,600,1100,3300,19800,144400,112300,1569700
round_k,1,5,16,49,180,561,1859,7848
round_shots,200,100,200,500,100,100,100,100
round_queries,200,300,1800,19500,12700,45100,177900,4053700
round_k,1,4,19,63,225,889,3902,20268
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,7800,25800,60100,241900,5732700
round_k,1,4,19,64,300,1209,5414,28663
round_shots,200,100,200,100,600,100,100
round_queries,200,300,1800,3900,71400,103700,1899700
round_k,1,4,19,59,518,1951,9498
round_shots,200,200,100,200,200,100,100
round_queries,200,600,900,5400,22600,49300,1543100
round_k,1,4,13,56,246,853,7715
round_shots,200,100,200,200,300,100,100,100
round_queries,200,300,1800,5800,31500,64100,252500,6116100
round_k,1,4,14,52,320,1262,5679,30580
round_shots,200,200,200,300,200,100,100,100
round_queries,200,600,1800,8100,17000,38900,149300,3353100
round_k,1,4,13,42,194,746,3283,16765
round_shots,200,100,200,400,200,100,100,100
round_queries,200,300,1800,13200,19800,48500,187500,4432100
round_k,1,4,16,49,242,937,4234,22160
round_shots,100,200,200,600,100,100,100
round_queries,100,600,1800,23400,34100,127300,2809900
round_k,1,4,19,170,636,2799,14049
round_shots,200,200,100,100,200,100,100,100
round_queries,200,600,1300,4300,26200,63500,235700,5641300
round_k,1,6,21,65,317,1178,5252,28206
round_shots,200,200,100,100,500,100,100,100
round_queries,200,600,1100,3300,51500,30900,98300,1691700
round_k,1,5,16,51,154,491,1829,8458
round_shots,200,200,200,600,200,100,100,100
round_queries,200,600,2200,22200,23000,50900,183700,4260100
round_k,1,5,18,57,254,918,4083,21300
round_shots,300,200,100,500,200,100,100,100
round_queries,300,600,900,13500,16200,34300,118700,2536500
round_k,1,4,13,40,171,593,2576,12682
round_shots,100,100,100,300,200,100,100,100
round_queries,100,300,900,8100,17000,39900,153900,3419900
round_k,1,4,13,42,199,769,3354,17099
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,7800,26200,55100,192500,4608300
