round_shots,200,200,300,600,100,100,100,100
round_queries,200,600,3300,21000,27100,97500,363900,7365500
round_k,1,5,17,135,487,1819,7731,36827
round_shots,200,200,200,200,100,200,400,100,100
round_queries,200,600,2200,8600,14700,96600,582000,1079500,25846100
round_k,1,5,21,73,241,727,5397,24960,129230
round_shots,200,200,200,200,300,100,100,100,100
round_queries,200,600,2200,7400,49500,52500,186700,701700,15891100
round_k,1,5,18,82,262,933,3508,15606,79455
round_shots,200,200,300,400,100,100,100,100,100
round_queries,200,600,3300,15600,12900,44100,141700,561300,12274500
round_k,1,5,19,64,220,708,2806,12363,61372
round_shots,200,200,100,200,100,100,100,100,100
round_queries,200,600,1100,7000,11700,39900,143300,562300,12233100
round_k,1,5,17,58,199,716,2811,12329,61165
round_shots,200,200,200,100,600,100,100,100,100
round_queries,200,600,2200,4900,100200,52900,201500,738100,16230700
round_k,1,5,24,83,264,1007,3690,15949,81153
round_shots,200,300,100,200,400,100,100,100,100
round_queries,200,900,1100,7000,42800,74100,253700,1050500,25488900
round_k,1,5,17,53,370,1268,5252,23983,127444
round_shots,200,200,200,500,100,100,100,100,100
round_queries,200,600,2200,23500,14700,44100,136300,513900,11094100
round_k,1,5,23,73,220,681,2569,11234,55470
round_shots,200,200,200,100,200,300,100,100,100
round_queries,200,600,1800,3900,24200,131700,278500,1049900,24875100
round_k,1,4,19,60,219,1392,5249,23499,124375
round_shots,200,200,200,200,200,200,100,100
round_queries,200,600,2200,8200,39000,154600,407700,7395900
round_k,1,5,20,97,386,2038,7847,36979
round_shots,200,200,100,200,200,200,100,100,100
round_queries,200,600,1100,6600,23800,71400,145300,517100,10674700
round_k,1,5,16,59,178,726,2585,10833,53373
round_shots,200,200,300,200,300,100,100,100,100
round_queries,200,600,2700,6200,32700,60700,224300,886100,20982300
round_k,1,4,15,54,303,1121,4430,20120,104911
round_shots,200,200,200,200,400,100,100,100,100
round_queries,200,600,1800,7400,66000,49700,180700,675700,14962300
round_k,1,4,18,82,248,903,3378,14859,74811
round_shots,200,200,200,200,300,200,100,100,100
round_queries,200,600,1800,6200,35100,73000,146700,505100,11003900
round_k,1,4,15,58,182,733,2525,10995,55019
round_shots,200,200,200,500,200,100,100,100,100
round_queries,200,600,2200,17500,21400,40700,149300,592900,13082100
round_k,1,5,17,53,203,746,2964,13077,65410
round_shots,200,200,200,300,100,100,100,100,100
round_queries,200,600,2200,14100,14700,52700,174300,671700,15014700
round_k,1,5,23,73,263,871,3358,14840,75073
round_shots,200,200,200,200,200,300,100,100,100
round_queries,200,600,2200,9400,45000,250500,278100,913900,19368700
round_k,1,5,23,112,417,1390,4569,18648,96843
round_shots,200,100,200,300,100,300,400,100,100
round_queries,200,300,1800,10500,11700,105900,452400,821100,16231500
round_k,1,4,17,58,176,565,4105,16554,81157
round_shots,200,100,300,500,200,100,100,100,100
round_queries,200,300,2700,14500,17400,38100,137500,550900,11917300
round_k,1,4,14,43,190,687,2754,12011,59586
round_shots,200,200,100,200,600,100,100,100,100
round_queries,200,600,1100,6600,65400,90100,321700,1303300,33294900
round_k,1,5,16,54,450,1608,6516,30626,166474
round_shots,200,200,200,200,500,100,100,100,100
round_queries,200,600,2200,9400,71500,110500,359300,1449700,37776500
round_k,1,5,23,71,552,1796,7248,34289,188882
round_shots,200,200,200,200,300,200,100,100,100
round_queries,200,600,1800,5400,27300,91400,221500,910900,21647300
round_k,1,4,13,45,228,1107,4554,20672,108236
round_shots,200,100,100,200,700,100,100,100,100
round_queries,200,300,900,5400,63700,78500,292100,1166700,29127900
round_k,1,4,13,45,392,1460,5833,27093,145639
round_shots,200,200,200,100,100,200,100,100,100
round_queries,200,600,2200,3900,12500,81400,212300,833900,19051300
round_k,1,5,19,62,203,1061,4169,18487,95256
round_shots,200,200,200,400,200,100,100,100,100
round_queries,200,600,1800,13200,20600,41300,125500,490300,10315100
round_k,1,4,16,51,206,627,2451,10535,51575
round_shots,200,200,200,700,100,100,100,100
round_queries,200,600,2200,24500,30700,107100,420500,8623100
round_k,1,5,17,153,535,2102,8948,43115
round_shots,200,200,100,400,200,200,100,100,100
round_queries,200,600,900,10800,17000,77000,191700,774700,18007300
round_k,1,4,13,42,192,958,3873,17473,90036
round_shots,200,200,200,200,300,100,100,100,100
round_queries,200,600,1800,7000,31500,61900,209100,852300,20019700
round_k,1,4,17,52,309,1045,4261,19249,100098
round_shots,200,200,200,200,600,100,100,100,100
round_queries,200,600,1800,5400,60600,82900,310100,1274100,32267100
round_k,1,4,13,50,414,1550,6370,29671,161335
round_shots,200,100,200,200,300,100,100,100,100
round_queries,200,300,1800,7400,33900,68700,248700,1021500,24980100
round_k,1,4,18,56,343,1243,5107,23539,124900
round_shots,200,200,100,700,200,100,100,100,100
