round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,4100,30200,100100,401300,2012500
round_k,0,1,6,20,75,500,2006,10062
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5500,26600,79100,393700,2025700
round_k,0,1,6,27,66,395,1968,10128
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,4900,25400,73300,341900,1726900,8869900
round_k,0,1,5,24,63,366,1709,8634,44349
round_shots,100,100,100,200,100,100,100,100
round_queries,100,500,2300,12600,35700,181900,918300,4700900
round_k,0,2,11,31,178,909,4591,23504
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,17900,67700,328100,1670300,8550100
round_k,0,1,6,26,89,338,1640,8351,42750
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,6300,42600,126700,610700,3062700
round_k,0,1,6,31,106,633,3053,15313
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,17500,45500,212100,957100,4878700
round_k,0,1,4,21,87,227,1060,4785,24393
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,4300,22200,66100,288300,1476900,7560100
round_k,0,1,4,21,55,330,1441,7384,37800
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,8200,21900,106700,532900,2715300
round_k,0,1,5,20,109,533,2664,13576
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,19100,64900,226500,1148700,5745900
round_k,0,1,6,24,95,324,1132,5743,28729
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,900,4300,17500,118600,300900,1470300,7503100
round_k,0,1,4,21,87,296,1504,7351,37515
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1300,6300,28700,248200,666900,3145100
round_k,0,1,6,31,143,620,3334,15725
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5500,29400,90100,429500,2138300
round_k,0,1,6,27,73,450,2147,10691
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,9900,36700,162500,820700,4180900
round_k,0,1,4,18,49,183,812,4103,20904
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,13300,43300,151100,678100,3482500
round_k,0,1,4,21,66,216,755,3390,17412
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4900,18100,73400,232100,1016300,5220300
round_k,0,1,5,24,90,183,1160,5081,26101
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,13300,66700,333900,1711300,8804900
round_k,0,1,4,20,66,333,1669,8556,44024
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,27300,60500,303900,1521700,7745900
round_k,0,1,5,26,136,302,1519,7608,38729
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,10900,41300,205900,1028700,5264300
round_k,0,1,5,20,54,206,1029,5143,26321
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,8700,36500,164700,820100,4194700
round_k,0,1,5,16,43,182,823,4100,20973
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,15300,67700,290900,1426900,7320700
round_k,0,1,6,23,76,338,1454,7134,36603
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,17100,41500,140700,797300,4008500
round_k,0,1,6,26,85,207,703,3986,20042
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,15900,68700,274500,1407300,7113300
round_k,0,1,4,18,79,343,1372,7036,35566
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,13500,64500,326700,1651300,8483500
round_k,0,1,6,24,67,322,1633,8256,42417
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,9400,30100,151700,753300,3866900
round_k,0,1,5,23,150,758,3766,19334
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5900,30600,82100,381300,1955500
round_k,0,1,6,29,76,410,1906,9777
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,4100,24600,63300,285500,1471700,7579500
round_k,0,1,5,20,61,316,1427,7358,37897
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,15300,59500,277500,1381700,7096900
round_k,0,1,7,31,76,297,1387,6908,35484
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1500,5300,21700,80100,379700,1927300
round_k,0,2,7,26,108,400,1898,9636
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18700,37900,143700,719500,3624700
round_k,0,1,5,20,93,189,718,3597,18123
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,15900,57100,261900,1329900,6834500
round_k,0,1,5,16,79,285,1309,6649,34172
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1300,11800,36700,163700,814900,4172300
round_k,0,1,6,29,183,818,4074,20861
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1100,4100,17700,137800,449700,2267700
round_k,0,1,5,20,88,344,2248,11338
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,18300,71300,340900,1472300,7496700
round_k,0,1,5,23,91,356,1704,7361,37483
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,10100,50700,252100,1241500,6327100
round_k,0,1,5,22,50,253,1260,6207,31635
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,14700,32500,129900,629700,3231700
round_k,0,1,6,26,73,162,649,3148,16158
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,12700,62300,279700,1396500,7108900
round_k,0,1,4,20,63,311,1398,6982,35544
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,16500,67500,337500,1586300,8060900
round_k,0,1,5,23,82,337,1687,7931,40304
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4900,38200,130700,670500,3329900
round_k,0,1,5,24,95,653,3352,16649
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,13900,32700,137500,629900,3123100
round_k,0,1,4,20,69,163,687,3149,15615
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,19500,44500,168700,778300,3962100
round_k,0,1,6,27,97,222,843,3891,19810
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,22900,66300,134500,580700,3290500
round_k,0,1,6,26,114,331,672,2903,16452
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,10500,52700,267300,1328900,6807700
round_k,0,1,5,19,52,263,1336,6644,34038
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,14100,37900,172100,872900,4391100
round_k,0,1,5,24,70,189,860,4364,21955
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,18700,65100,313700,1561900,7979900
round_k,0,1,5,20,93,325,1568,7809,39899
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,15900,42700,89100,293100,1382100,7045100
round_k,0,1,5,19,79,213,445,1465,6910,35225
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1100,3700,16900,72600,222700,1033100,5152900
round_k,0,1,5,18,84,181,1113,5165,25764
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6700,28900,124900,617500,3159500
round_k,0,1,6,33,144,624,3087,15797
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,11900,59900,259100,1264100,6470300
round_k,0,1,4,21,59,299,1295,6320,32351
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,3300,16600,54100,233900,1175100,6015300
round_k,0,1,4,16,41,270,1169,5875,30076
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,8700,38500,196100,1004700,5136300
round_k,0,1,5,16,43,192,980,5023,25681
