round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,5000,9700,29900,101900,391500,7958900
round_k,3,12,48,149,509,1957,8325,39794
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,4600,19400,42900,143900,573300,12444500
round_k,3,11,48,214,719,2866,12539,62222
round_shots,900,300,200,100,100,100,100,100
round_queries,900,2100,6200,12700,40100,138900,553900,12022700
round_k,3,15,63,200,694,2769,12146,60113
round_shots,600,300,200,200,200,100,100,100,100
round_queries,600,1500,3400,10600,37400,75900,275100,1133900,27841700
round_k,2,8,26,93,379,1375,5669,26245,139208
round_shots,600,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,12200,26100,84300,314100,1319100,33634300
round_k,2,8,30,130,421,1570,6595,30799,168171
round_shots,800,300,300,100,100,100,100,100
round_queries,800,1500,5700,9300,30500,109100,428900,8944100
round_k,2,9,46,152,545,2144,9221,44720
round_shots,800,200,100,100,100,100,100,100,100
round_queries,800,1000,1700,5300,16500,53500,200900,810100,19674700
round_k,2,8,26,82,267,1004,4050,18294,98373
round_shots,600,200,200,100,100,100,100,100,100
round_queries,600,1000,3400,6700,22900,83500,324100,1347100,34702300
round_k,2,8,33,114,417,1620,6735,31848,173511
round_shots,800,200,100,100,100,100,100,100,100
round_queries,800,1400,2300,7100,23700,77700,284300,1187900,30076500
round_k,3,11,35,118,388,1421,5939,27774,150382
round_shots,700,200,200,200,100,100,100,100,100
round_queries,700,1000,3400,10600,25100,87900,335900,1409700,36868900
round_k,2,8,26,125,439,1679,7048,33430,184344
round_shots,900,200,200,200,100,100,100,100
round_queries,900,1400,5000,17800,29300,102100,389500,7857900
round_k,3,12,44,146,510,1947,8208,39289
round_shots,700,200,200,100,100,100,100,100,100
round_queries,700,1400,5000,7700,24700,88300,322900,1355900,34949900
round_k,3,12,38,123,441,1614,6779,31835,174749
round_shots,800,300,100,100,100,100,100,100,100
round_queries,800,1500,1900,5900,18900,60900,227100,928900,22071700
round_k,2,9,29,94,304,1135,4644,21077,110358
round_shots,700,200,200,200,100,100,100,100
round_queries,700,1000,3400,14200,29100,103900,400100,8139500
round_k,2,8,35,145,519,2000,8505,40697
round_shots,800,300,100,100,100,100,100,100,100
