round_shots,1000,400,200,200,100,100,100
round_queries,1000,2000,5400,20200,44900,154900,2226900
round_k,2,13,50,224,774,2769,11134
round_shots,700,400,200,200,100,100,100,100
round_queries,700,2000,4600,15000,33300,107900,377500,6621300
round_k,2,11,37,166,539,1887,7358,33106
round_shots,1100,400,200,200,200,100,100
round_queries,1100,2000,4600,17800,78600,164500,2535300
round_k,2,11,44,196,822,3090,12676
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2000,4600,19400,33500,110300,391300,7116500
round_k,2,11,48,167,551,1956,7879,35582
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,4600,17400,33700,106500,387300,6745100
round_k,2,11,43,168,532,1936,7541,33725
round_shots,800,300,200,200,100,200,100,100
round_queries,800,1500,4600,17400,34900,221000,355300,4798500
round_k,2,11,43,174,552,1776,6030,23992
round_shots,1100,300,200,100,100,100,100,100
round_queries,1100,1500,4600,9300,27900,88900,299100,5065100
round_k,2,11,46,139,444,1495,5739,25325
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,3800,13800,27900,89700,278500,4474500
round_k,2,9,34,139,448,1392,5298,22372
round_shots,900,300,300,200,200,100,100
round_queries,900,1500,5700,16600,72200,145900,2149900
round_k,2,9,41,180,729,2670,10749
round_shots,700,200,200,200,200,100,100,100
round_queries,700,1000,3000,9400,34200,71500,251900,2774500
round_k,2,7,23,85,357,1259,3841,13872
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,4600,16600,34700,117500,428900,7583700
round_k,2,11,41,173,587,2144,8612,37918
round_shots,1000,500,200,200,200,200,100
round_queries,1000,2500,5400,19400,77000,314200,3476500
round_k,2,13,48,192,785,3560,17382
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,3800,15000,59800,139500,461300,6921100
round_k,2,9,37,149,697,2306,7699,34605
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,3800,15000,30900,103100,371100,4611300
round_k,2,9,37,154,515,1855,7257,23056
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,4600,15800,29500,91300,275100,3574700
round_k,2,11,39,147,456,1375,4734,17873
round_shots,700,200,300,200,200,100,200,100
round_queries,700,1000,4500,10200,40200,80700,534600,4195500
round_k,2,7,25,100,403,1336,5908,20977
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,4600,17800,77000,167300,624700,7095300
round_k,2,11,44,192,836,3123,9605,35476
round_shots,700,200,200,200,200,100,100,100
round_queries,700,1000,3800,13800,55000,119900,434500,7124900
round_k,2,9,34,137,599,2172,8197,35624
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,3800,13000,28900,90300,308300,5079500
round_k,2,9,32,144,451,1541,6093,25397
round_shots,700,200,200,100,100,100,200,100
round_queries,700,1000,3800,6500,19500,62700,429400,2961700
round_k,2,9,32,97,313,1073,4038,14808
round_shots,700,300,200,200,200,200,200,100
round_queries,700,1500,3800,15000,51000,163000,542200,4638700
round_k,2,9,37,127,407,1355,5633,23193
round_shots,600,300,200,200,200,100,100
round_queries,600,1500,4600,15800,69800,146700,2353100
round_k,2,11,39,174,733,2718,11765
round_shots,1100,300,200,200,100,200,100
round_queries,1100,1500,4600,19400,40100,243000,2136900
round_k,2,11,48,200,607,2627,10684
round_shots,1000,200,200,200,100,100,100,100
round_queries,1000,1000,3800,12200,25900,86100,308100,3359500
round_k,2,9,30,129,430,1540,5370,16797
round_shots,1000,200,200,100,200,100,100,100
round_queries,1000,1000,3800,7100,43400,91700,328300,4609500
round_k,2,9,35,108,458,1641,6378,23047
round_shots,600,200,200,200,100,100,100,100
round_queries,600,1000,3000,9400,18100,57500,192900,2421100
round_k,2,7,23,90,287,964,3101,12105
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,3800,15000,29900,100500,340100,5271100
round_k,2,9,37,149,502,1700,6459,26355
round_shots,800,200,200,200,200,100,100,100
round_queries,800,1000,3000,9400,37400,74100,261700,3501500
round_k,2,7,23,93,370,1308,4264,17507
round_shots,700,300,200,200,300,100,100,100
round_queries,700,1500,3800,13000,80100,80100,274900,4316500
round_k,2,9,32,133,400,1374,4955,21582
round_shots,1100,200,200,200,100,100,200,100
round_queries,1100,1000,3800,12200,26300,86500,527000,5765300
round_k,2,9,30,131,432,1317,6729,28826
round_shots,1100,300,200,200,100,100,200,100
round_queries,1100,1500,4600,15800,31700,95700,593400,3713500
round_k,2,11,39,158,478,1483,4450,18567
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,4600,14600,33300,108900,395500,6179500
round_k,2,11,36,166,544,1977,7510,30897
round_shots,800,300,200,200,100,200,100,100
round_queries,800,1500,3800,13000,23500,142600,302900,5212900
round_k,2,9,32,117,356,1514,5959,26064
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,3800,15000,31300,97300,335500,6808300
round_k,2,9,37,156,486,1677,6630,34041
round_shots,900,200,200,200,200,100,100,100
round_queries,900,1000,3800,13000,52200,83500,290500,4963100
round_k,2,9,32,130,417,1452,5654,24815
round_shots,1200,300,300,200,200,100,100,100
round_queries,1200,900,2700,7400,29800,56100,186700,2681700
round_k,1,4,18,74,280,933,3488,13408
round_shots,1000,200,200,200,200,100,100,100
round_queries,1000,1000,3800,13000,55000,115900,403700,7278700
round_k,2,9,32,137,579,2018,8008,36393
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,3800,13000,27500,88100,292900,4611300
round_k,2,9,32,137,440,1464,5414,23056
round_shots,600,400,100,200,200,100,100,100
round_queries,600,2000,2300,13800,43000,92100,315100,4922700
round_k,2,11,34,107,460,1575,5805,24613
round_shots,900,200,200,200,100,100,100,100
round_queries,900,1000,3800,13000,25100,77700,251500,3279100
round_k,2,9,32,125,388,1257,4331,16395
round_shots,800,400,200,100,200,100,100,100
round_queries,800,2000,3400,5100,30600,67100,208500,2895700
round_k,2,8,25,76,335,1042,3565,14478
round_shots,900,300,200,200,200,300,100,100
