round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8900,43900,218500,1088300,5494900,27578900
round_k,0,2,9,44,219,1092,5441,27474,137894
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,11500,56300,279900,1406700,7113100,36065100
round_k,0,1,3,14,57,281,1399,7033,35565,180325
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,16500,81300,395300,1958300,9916900,50255300
round_k,0,1,5,18,82,406,1976,9791,49584,251276
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,6700,33100,159700,794900,3987500,20180100
round_k,0,1,7,33,165,798,3974,19937,100900
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13500,67100,326700,1649700,8319500,42114700
round_k,0,1,3,14,67,335,1633,8248,41597,210573
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5500,25900,121900,612300,3073300,15555500
round_k,0,1,7,27,129,609,3061,15366,77777
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11300,54100,269300,1352300,6807700,34307100
round_k,0,1,3,13,56,270,1346,6761,34038,171535
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,7500,33900,159900,799100,4033700,20368100
round_k,0,1,7,37,169,799,3995,20168,101840
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,28700,143500,718100,3608500,18228300
round_k,0,1,7,29,143,717,3590,18042,91141
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,3700,17300,79300,384300,1937900,9808900,49733300
round_k,0,1,5,18,86,396,1921,9689,49044,248666
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,59700,295100,1467300,7393300,37279900
round_k,0,1,3,14,62,298,1475,7336,36966,186399
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,59500,295900,1467900,7301900,36884900
round_k,0,1,3,14,62,297,1479,7339,36509,184424
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,105700,522300,2632300,13292900,67101500
round_k,0,1,5,24,111,528,2611,13161,66464,335507
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,22300,108100,537300,2724300,13738100,69302700
round_k,0,1,5,23,111,540,2686,13621,68690,346513
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19300,92300,461500,2313900,11682300,59057100
round_k,0,1,5,20,96,461,2307,11569,58411,295285
round_shots,300,100,100,100,100,100,100,100,100,100
