round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,15900,53700,208100,4255900
round_k,1,4,17,79,268,1040,4430,21279
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,6600,12500,45100,175300,3530300
round_k,1,4,16,62,225,876,3744,17651
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,10300,35500,131300,538300,13161700
round_k,1,4,13,51,177,656,2691,12324,65808
round_shots,100,300,100,200,100,100,100,100,100
round_queries,100,900,900,5800,11700,39700,146900,614500,15465100
round_k,1,4,14,58,198,734,3072,14336,77325
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,6600,21000,47100,174900,732900,18956700
round_k,1,4,16,52,235,874,3664,17346,94783
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,1800,7000,15300,50900,194700,3989300
round_k,1,4,17,76,254,973,4165,19946
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2700,8500,28500,103700,415100,9697500
round_k,1,4,13,42,142,518,2075,9383,48487
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,12900,43900,167100,696900,17818500
round_k,1,4,14,64,219,835,3484,16368,89092
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2900,9500,31500,114300,445300,10387500
round_k,1,4,14,47,157,571,2226,9974,51937
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1100,3500,11700,40300,153100,646500,16408700
round_k,1,5,17,58,201,765,3232,15074,82043
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,10500,34700,131100,540100,13173300
round_k,1,4,17,52,173,655,2700,12378,65866
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,13500,48100,186500,3693500
round_k,1,4,17,67,240,932,3892,18467
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,8200,17900,65500,253700,5288700
round_k,1,4,20,89,327,1268,5478,26443
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2700,8500,27100,101900,417500,9729500
round_k,1,4,13,42,135,509,2087,9415,48647
round_shots,200,100,200,100,100,100,100,100,100
round_queries,200,300,1800,2700,8900,27100,98300,396900,9099700
round_k,1,4,13,44,135,491,1984,8882,45498
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,7000,14100,48700,188700,3783100
round_k,1,4,17,70,243,943,3958,18915
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,11500,39100,151300,629900,15563500
round_k,1,4,17,57,195,756,3149,14452,77817
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,12100,39100,143900,588500,14681300
round_k,1,4,13,60,195,719,2942,13618,73406
round_shots,200,200,200,100,100,200,100,100,100
round_queries,200,600,1800,3300,9900,63000,115500,410900,8477700
round_k,1,4,16,49,157,577,2054,8621,42388
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,10700,32900,118700,486100,11260700
round_k,1,4,13,53,164,593,2430,10919,56303
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,2900,8700,28700,103700,423700,9960100
round_k,1,4,14,43,143,518,2118,9612,49800
round_shots,200,300,200,200,200,100,100,100
round_queries,200,900,2200,9000,41000,105700,434900,10284500
