round_shots,200,200,500,200,200,100,200,100
round_queries,200,600,4500,5400,21400,46700,300600,2425900
round_k,1,4,13,53,233,751,3177,12129
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,700,300,200,100,100,100,100
round_queries,200,600,6300,8100,18600,39100,128900,465900,6386500
round_k,1,4,13,46,195,644,2329,8100,31932
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,300,300,200,100,100,100,100
round_queries,200,600,2700,8100,21000,41900,133100,482500,8500300
round_k,1,4,13,52,209,665,2412,9812,42501
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,500,300,200,100,100,100,100
round_queries,200,600,4500,8100,21400,43100,141500,522900,7762700
round_k,1,4,13,53,215,707,2614,9247,38813
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,600,100,100,100,100,100
round_queries,200,600,5400,4700,14100,43100,145900,1916300
round_k,1,4,23,70,215,729,2551,9581
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,700,200,100,100,100
round_queries,200,600,1800,21700,36200,74300,258700,4997500
round_k,1,4,15,90,371,1293,4963,24987
round_shots,200,200,300,300,200,100,200,200,100
round_queries,200,600,2700,8100,23800,42100,276200,828600,7096500
round_k,1,4,13,59,210,690,2071,8230,35482
round_shots,200,200,300,300,200,100,100,100,100
round_queries,200,600,2700,8100,22600,44900,144500,532300,7713500
round_k,1,4,13,56,224,722,2661,10298,38567
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,400,200,100,100,100,100
round_queries,200,600,3600,8600,16900,53900,169700,2255500
round_k,1,4,21,84,269,848,3159,11277
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,7400,29800,61700,199900,3058500
round_k,1,4,18,74,308,999,3637,15292
round_shots,200,200,200,200,300,100,100,100,100
round_queries,200,600,1800,5400,30900,38700,118100,413300,5957500
round_k,1,4,13,51,193,590,2066,8123,29787
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,7400,30200,60500,191700,2925500
round_k,1,4,18,75,302,958,3627,14627
round_shots,200,200,200,600,200,100,100,100
round_queries,200,600,1800,17400,32200,65700,227300,3639500
round_k,1,4,14,80,328,1136,4313,18197
round_shots,200,200,400,300,200,100,100,100
round_queries,200,600,3600,8100,22600,46700,150100,2101700
round_k,1,4,13,56,233,750,2596,10508
round_shots,200,300,200,200,200,200,100,100
round_queries,200,900,1800,6200,26200,108600,242100,3429100
round_k,1,4,15,65,271,1210,4556,17145
round_shots,200,200,800,100,200,100,100,100
round_queries,200,600,7200,5300,31800,72100,251100,3518700
round_k,1,4,26,79,360,1255,4337,17593
round_shots,200,200,500,200,200,200,100,100
round_queries,200,600,4500,9000,39400,141000,315900,3551900
round_k,1,4,22,98,352,1579,5227,17759
round_shots,200,200,400,300,100,200,100,100,100
round_queries,200,600,3600,8100,10500,63800,135700,498100,5609900
round_k,1,4,13,52,159,678,2490,8297,28049
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92500,306900,3845100
round_k,1,4,15,46,144,462,1534,5300,19225
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,7400,29400,59100,200100,3100700
round_k,1,4,18,73,295,1000,3692,15503
round_shots,200,200,300,300,100,100,200,100,100
round_queries,200,600,2700,8100,10700,32100,207400,428900,7716900
round_k,1,4,13,53,160,518,2144,8527,38584
