round_shots,195,135,164,161,101,81,85,76,50
round_queries,195,405,1476,4669,11211,29079,92055,251940,1515150
round_k,1,4,14,55,179,541,1657,5050,15151
round_shots,215,143,146,214,152,138,78,90,96,5
round_queries,215,429,1314,5778,12616,34914,59358,206190,661344,319365
round_k,1,4,13,41,126,380,1145,3444,10645,31936
round_shots,189,124,197,181,146,83,78,88,118
round_queries,189,372,1773,5249,12994,24983,71838,244376,3058914
round_k,1,4,14,44,150,460,1388,4216,12961
round_shots,283,116,186,135,106,104,87,72,156
round_queries,283,348,1674,3915,9646,28808,75777,188856,3714828
round_k,1,4,14,45,138,435,1311,3957,11906
round_shots,195,138,136,153,133,132,94,76,42
round_queries,195,414,1224,4437,13965,44484,95410,233092,1201242
round_k,1,4,14,52,168,507,1533,4674,14300
round_shots,253,134,121,156,119,91,83,83,57,6
round_queries,253,402,1089,4212,9639,22295,64989,195797,412167,395910
round_k,1,4,13,40,122,391,1179,3615,10880,32992
round_shots,189,189,205,110,139,97,73,70,44
round_queries,189,567,2255,3850,14595,31525,71467,206850,1180212
round_k,1,5,17,52,162,489,1477,4462,13411
round_shots,195,135,210,142,176,86,75,63,53,4
round_queries,195,405,1890,4118,17072,25370,67725,174195,447373,306836
round_k,1,4,14,48,147,451,1382,4220,12724,38354
round_shots,189,143,155,120,170,113,81,101,139,3
round_queries,189,429,1395,3240,13770,27685,64719,253207,1087675,219693
round_k,1,4,13,40,122,399,1253,3912,12005,36615
round_shots,189,162,149,182,93,93,75,61,39
round_queries,189,486,1341,5278,10323,32085,77925,190991,1135251
round_k,1,4,14,55,172,519,1565,4721,14554
round_shots,161,149,157,166,162,154,72,61,66
round_queries,161,447,1413,4814,16686,49434,69480,180499,1818762
round_k,1,4,14,51,160,482,1479,4489,13778
round_shots,175,177,207,188,108,102,74,139,87
round_queries,175,531,1863,5452,11124,32334,70670,401015,2265045
round_k,1,4,14,51,158,477,1442,4327,13017
round_shots,246,165,108,109,115,97,93,84,108,7
round_queries,246,495,972,2943,9315,23571,67983,209580,837972,500157
round_k,1,4,13,40,121,365,1247,3879,11908,35725
round_shots,215,227,421,222,89,83,73,67,45
round_queries,215,681,4631,7326,11837,33615,90593,250781,1562895
round_k,1,5,16,66,202,620,1871,5644,17365
round_shots,265,126,152,117,106,144,82,76,59,9
round_queries,265,378,1368,3159,8586,34992,60270,170620,431585,635643
round_k,1,4,13,40,121,367,1122,3657,11628,35313
round_shots,175,141,196,183,92,87,77,68,60,3
round_queries,175,423,1764,4941,7820,22707,63217,168028,447900,209715
round_k,1,4,13,42,130,410,1235,3732,11492,34952
round_shots,221,129,166,118,147,93,84,164,80
round_queries,221,387,1494,3186,12201,29295,86604,521684,2396880
round_k,1,4,13,41,157,515,1590,4952,14980
round_shots,215,124,158,186,117,89,72,72,53,4
round_queries,215,372,1422,5022,9711,25009,62136,188136,418541,288212
round_k,1,4,13,41,140,431,1306,3948,11938,36026
round_shots,228,126,143,205,110,151,72,65,39
round_queries,228,378,1287,5945,11990,54813,81864,223275,1226511
round_k,1,4,14,54,181,568,1717,5173,15724
round_shots,234,160,150,184,110,89,73,70,52,3
round_queries,234,480,1350,4968,9350,23051,57743,166530,378508,198717
round_k,1,4,13,42,129,395,1189,3639,10918,33119
round_shots,182,146,135,125,111,93,80,71,58,3
round_queries,182,438,1215,3375,9213,23529,63760,171181,425430,199251
round_k,1,4,13,41,126,398,1205,3667,11006,33208
round_shots,228,243,149,151,88,90,120,116,60,4
round_queries,228,729,1341,4379,8536,26190,106440,314012,498420,303812
round_k,1,4,14,48,145,443,1353,4153,12487,37976
round_shots,208,124,163,184,103,88,81,68,54,9
round_queries,208,372,1467,4968,8549,23496,66501,167756,402894,614277
round_k,1,4,13,41,133,410,1233,3730,11255,34126
round_shots,215,212,150,121,106,161,168,70,136,3
round_queries,215,636,1350,3509,9858,46207,145992,183750,1079160,215487
round_k,1,4,14,46,143,434,1312,3967,11902,35914
round_shots,253,157,145,241,103,91,72,69,52,3
round_queries,253,471,1305,6989,9167,24479,60696,174501,397644,206469
round_k,1,4,14,44,134,421,1264,3823,11470,34411
round_shots,215,232,180,170,120,98,68,61,41
round_queries,215,696,1620,4930,13320,34202,73508,197823,1212821
round_k,1,4,14,55,174,540,1621,4877,14790
round_shots,208,163,125,138,88,115,91,63,52,8
round_queries,208,489,1125,3726,7304,28635,71617,150129,376220,529032
round_k,1,4,13,41,124,393,1191,3617,10852,33064
round_shots,168,191,152,141,105,96,73,62,41
round_queries,168,573,1368,4089,10395,30432,69715,180854,1086705
round_k,1,4,14,49,158,477,1458,4404,13252
round_shots,312,208,158,225,117,117,74,60,59
round_queries,312,624,1422,6075,12753,43173,83102,207300,1839915
round_k,1,4,13,54,184,561,1727,5188,15592
round_shots,240,197,178,198,120,85,72,62,38
round_queries,240,591,1602,5346,11640,28305,74232,193254,1075894
round_k,1,4,13,48,166,515,1558,4687,14156
round_shots,202,137,204,201,127,115,84,63,42
round_queries,202,411,1836,5427,12319,35995,80724,185409,1140006
round_k,1,4,13,48,156,480,1471,4455,13571
round_shots,246,138,193,203,181,85,75,64,52,6
round_queries,246,414,1737,5887,16109,23035,62325,162368,400660,433290
round_k,1,4,14,44,135,415,1268,3852,11557,36107
round_shots,259,177,121,130,136,92,76,79,64,3
round_queries,259,531,1089,3510,11288,23276,60116,193313,472000,201783
round_k,1,4,13,41,126,395,1223,3687,11076,33630
round_shots,228,149,132,148,122,121,110,76,86,3
round_queries,228,447,1188,3996,10370,31097,88990,190076,652138,214059
round_k,1,4,13,42,128,404,1250,3791,11476,35676
round_shots,208,132,124,123,90,123,93,77,55,4
round_queries,208,396,1116,3321,7290,29889,70959,177331,428725,289252
round_k,1,4,13,40,121,381,1151,3897,12009,36156
round_shots,301,160,180,123,120,90,215,82,62,3
round_queries,301,480,1620,3321,9960,25830,195865,225582,513794,231015
round_k,1,4,13,41,143,455,1375,4143,12725,38502
round_shots,146,169,191,138,88,90,98,62,88,4
round_queries,146,507,1719,4002,8712,26730,89082,172050,738760,309924
round_k,1,4,14,49,148,454,1387,4197,12823,38740
round_shots,146,124,190,145,113,89,125,65,60,3
round_queries,146,372,1710,3915,9379,22517,99375,155675,443580,206055
round_k,1,4,13,41,126,397,1197,3696,11089,34342
round_shots,215,116,125,117,119,98,78,70,55,6
round_queries,215,348,1125,3159,9639,24010,61230,172550,407165,417414
round_k,1,4,13,40,122,392,1232,3701,11238,34784
round_shots,189,159,161,144,106,98,81,64,33
round_queries,189,477,1449,4176,10494,30870,79299,188224,918819
round_k,1,4,14,49,157,489,1470,4485,13921
round_shots,240,152,125,191,198,130,82,63,62,7
round_queries,240,456,1125,5157,16830,33670,74702,173061,518630,530187
round_k,1,4,13,42,129,455,1373,4182,12623,37870
round_shots,259,148,177,210,100,179,72,65,45
round_queries,259,444,1593,5670,10300,58891,75240,205075,1279395
round_k,1,4,13,51,164,522,1577,4738,14215
round_shots,208,179,161,124,172,125,86,62,107,5
round_queries,208,537,1449,3348,14276,31375,64930,141794,734127,314625
round_k,1,4,13,41,125,377,1143,3430,10487,31462
round_shots,253,145,136,142,141,112,241,157,89,3
round_queries,253,435,1224,4118,13677,33712,222925,435675,740925,230325
round_k,1,4,14,48,150,462,1387,4162,12780,38387
round_shots,154,134,147,142,134,98,143,62,52,4
round_queries,154,402,1323,3834,11122,29694,131417,170934,431028,300564
round_k,1,4,13,41,151,459,1378,4144,12523,37570
round_shots,221,116,118,116,109,80,91,140,76,8
round_queries,221,348,1062,3132,9047,21040,71799,343140,567188,559496
round_k,1,4,13,41,131,394,1225,3731,11316,34968
round_shots,202,135,136,144,103,82,80,63,93,9
round_queries,202,405,1224,4176,9373,23042,67920,160587,715821,630045
round_k,1,4,14,45,140,424,1274,3848,11604,35002
round_shots,202,119,182,354,107,91,154,71,58,3
round_queries,202,357,1638,10266,9523,24297,128282,185381,459418,214143
round_k,1,4,14,44,133,416,1305,3960,11885,35690
round_shots,215,163,175,342,135,90,75,62,46
round_queries,215,489,1575,9234,14175,30330,75975,189286,1282986
round_k,1,4,13,52,168,506,1526,4648,13945
round_shots,208,118,143,192,109,90,89,119,110,3
round_queries,208,354,1287,5184,9047,22410,69331,280721,794530,204759
round_k,1,4,13,41,124,389,1179,3611,11164,34126
round_shots,182,202,146,341,93,129,112,70,94,4
round_queries,182,606,1314,9207,8649,36765,98896,188370,777662,306340
round_k,1,4,13,46,142,441,1345,4136,12659,38292
round_shots,253,200,171,163,138,93,97,79,129,3
round_queries,253,600,1539,4727,12558,26319,85263,215591,1058187,226659
round_k,1,4,14,45,141,439,1364,4101,12304,37776
round_shots,182,118,183,293,104,84,75,63,60,6
round_queries,182,354,1647,7911,8840,22932,62775,159453,461580,418206
round_k,1,4,13,42,136,418,1265,3846,11585,34850
round_shots,195,132,141,101,174,106,78,63,53,6
round_queries,195,396,1269,2727,14094,26182,60450,150381,379851,401334
round_k,1,4,13,40,123,387,1193,3583,10829,33444
round_shots,189,121,111,142,154,129,98,87,54
round_queries,189,363,999,3834,12474,31347,74186,233073,1404702
round_k,1,4,13,40,121,378,1339,4235,13006
round_shots,168,188,244,113,100,81,73,60,93,3
round_queries,168,564,2196,3277,9300,23733,64605,160500,746325,219513
round_k,1,4,14,46,146,442,1337,4012,12037,36585
round_shots,259,159,205,163,108,96,76,70,53
round_queries,259,477,1845,4727,10476,31008,74404,206570,1426813
round_k,1,4,14,48,161,489,1475,4449,13460
round_shots,221,135,148,142,100,163,201,87,62,6
round_queries,221,405,1332,4118,9100,45803,171051,227505,488126,436446
round_k,1,4,14,45,140,425,1307,3936,11826,36370
round_shots,215,211,223,104,107,85,79,163,62,3
round_queries,215,633,2007,3016,9309,22185,62963,395275,459110,202863
round_k,1,4,14,43,130,398,1212,3702,11134,33810
round_shots,240,119,153,117,178,91,82,75,66,5
round_queries,240,357,1377,3159,14418,22113,59778,166875,451110,316275
round_k,1,4,13,40,121,364,1112,3417,10542,31627
round_shots,208,130,138,177,138,88,93,70,120,5
round_queries,208,390,1242,4779,11454,22088,72261,165970,860760,324725
round_k,1,4,13,41,125,388,1185,3586,10777,32472
round_shots,246,194,217,178,147,83,77,93,84,3
round_queries,246,582,1953,5162,13083,23489,66297,244125,684684,228807
round_k,1,4,14,44,141,430,1312,4075,12554,38134
round_shots,234,119,166,139,133,99,76,63,98,3
round_queries,234,357,1494,4031,12103,29205,67564,171549,809186,233745
round_k,1,4,14,45,147,444,1361,4128,12544,38957
round_shots,221,159,106,116,183,103,117,62,44
round_queries,221,477,954,3132,15189,32857,112203,186062,1215236
round_k,1,4,13,41,159,479,1500,4559,13809
round_shots,189,123,135,162,104,109,78,82,65,3
round_queries,189,369,1215,4374,8632,27577,59202,188846,451295,193803
round_k,1,4,13,41,126,379,1151,3471,10572,32300
round_shots,175,206,278,101,94,91,78,170,53,6
round_queries,175,618,2502,2929,8178,24297,63882,417690,390663,400662
round_k,1,4,14,43,133,409,1228,3685,11129,33388
round_shots,240,141,147,142,101,84,70,77,45
round_queries,240,423,1323,4118,9797,25452,65310,215523,1189305
round_k,1,4,14,48,151,466,1399,4268,13214
round_shots,246,165,176,144,94,83,97,61,46
round_queries,246,495,1584,4176,9870,26643,95351,181231,1240574
round_k,1,4,14,52,160,491,1485,4469,13484
round_shots,195,135,118,180,129,85,78,66,117,6
round_queries,195,405,1062,4860,10707,23545,64818,165858,891189,419958
round_k,1,4,13,41,138,415,1256,3808,11665,34996
round_shots,208,135,113,130,117,117,86,67,54,8
round_queries,208,405,1017,3510,9477,29367,65102,152157,377082,513800
round_k,1,4,13,40,125,378,1135,3491,10522,32112
round_shots,195,124,219,286,111,84,87,76,136,3
round_queries,195,372,1971,8294,9657,23100,73863,194180,1051960,228537
round_k,1,4,14,43,137,424,1277,3867,11922,38089
round_shots,189,123,221,150,97,90,74,134,87
round_queries,189,369,1989,4350,10185,29430,74814,414194,2444787
round_k,1,4,14,52,163,505,1545,4683,14050
round_shots,386,197,149,150,152,101,77,94,54,3
round_queries,386,591,1341,4050,12312,24947,63525,238854,424926,222927
round_k,1,4,13,40,123,412,1270,3934,11913,37154
round_shots,182,116,149,111,140,93,161,121,59
round_queries,182,348,1341,3219,13020,27435,147315,332145,1534177
round_k,1,4,14,46,147,457,1372,4213,13001
round_shots,161,116,146,116,118,91,77,61,62,3
round_queries,161,348,1314,3132,9794,25935,69993,166835,509082,227421
round_k,1,4,13,41,142,454,1367,4105,12507,37903
round_shots,189,154,106,149,302,108,102,76,126,4
round_queries,189,462,954,4023,25066,27108,89046,207556,1041138,302460
round_k,1,4,13,41,125,436,1365,4131,12457,37807
round_shots,253,127,190,128,88,161,121,66,59,5
round_queries,253,381,1710,3456,7128,39123,88935,146982,407985,325805
round_k,1,4,13,40,121,367,1113,3457,10744,32580
round_shots,246,183,175,331,109,78,111,100,55,3
round_queries,246,549,1575,8937,10791,23478,100233,271300,449515,226233
round_k,1,4,13,49,150,451,1356,4086,12339,37705
round_shots,221,143,164,272,98,87,81,62,83,3
round_queries,221,429,1476,7888,8722,23229,67311,159030,644827,216189
round_k,1,4,14,44,133,415,1282,3884,11802,36031
round_shots,189,182,155,115,116,170,79,89,54,4
round_queries,189,546,1395,3335,10788,49130,73391,250713,456894,308820
round_k,1,4,14,46,144,464,1408,4230,12799,38602
round_shots,154,159,153,113,107,80,85,66,87,6
round_queries,154,477,1377,3277,9523,22800,73185,170742,679905,425922
round_k,1,4,14,44,142,430,1293,3907,11722,35493
round_shots,253,119,153,197,250,151,134,113,66,3
round_queries,253,357,1377,5713,22250,43941,118054,304083,550638,231339
round_k,1,4,14,44,145,440,1345,4171,12718,38556
round_shots,195,146,167,239,104,80,80,59,71
round_queries,195,438,1503,6453,11336,28720,86640,193815,2099115
round_k,1,4,13,54,179,541,1642,4927,14782
round_shots,221,146,161,111,187,83,95,74,41
round_queries,221,438,1449,2997,15147,24983,88635,212306,1093757
round_k,1,4,13,40,150,466,1434,4371,13338
round_shots,289,183,106,180,111,85,87,68,55,3
round_queries,289,549,954,4860,9213,21505,68121,159868,389345,193791
round_k,1,4,13,41,126,391,1175,3539,10646,32298
round_shots,234,124,196,224,104,80,75,84,62,10
round_queries,234,372,1764,6048,8632,19920,56025,191436,423894,629730
round_k,1,4,13,41,124,373,1139,3418,10495,31486
round_shots,139,197,201,180,106,94,78,87,55,3
round_queries,139,591,1809,4860,9010,24346,60762,205929,394515,195063
round_k,1,4,13,42,129,389,1183,3586,10819,32510
round_shots,182,118,136,174,178,109,76,62,74,8
round_queries,182,354,1224,4698,15130,28013,62092,153574,549894,537960
round_k,1,4,13,42,128,408,1238,3715,11146,33622
round_shots,234,169,163,146,154,218,118,99,65,6
round_queries,234,507,1467,3942,12782,55154,93338,235323,474175,399090
round_k,1,4,13,41,126,395,1188,3647,10962,33257
round_shots,234,130,215,154,116,80,72,63,63,9
round_queries,234,390,1935,4158,9628,22480,61128,160461,484155,636273
round_k,1,4,13,41,140,424,1273,3842,11779,35348
round_shots,259,119,151,112,150,176,162,84,56,3
round_queries,259,357,1359,3248,13050,49808,139806,225876,457240,224373
round_k,1,4,14,43,141,431,1344,4082,12409,37395
round_shots,228,177,189,150,108,94,77,68,59,3
round_queries,228,531,1701,4050,8964,23782,61831,170068,447987,212439
round_k,1,4,13,41,126,401,1250,3796,11448,35406
round_shots,208,174,125,174,177,96,78,104,109,3
round_queries,208,522,1125,4698,14691,25248,65442,271960,855323,221877
round_k,1,4,13,41,131,419,1307,3923,12266,36979
round_shots,234,116,178,116,123,94,74,69,52,4
round_queries,234,348,1602,3132,10209,25474,65638,189129,427804,302844
round_k,1,4,13,41,135,443,1370,4113,12404,37855
round_shots,208,127,136,139,92,147,129,136,58,5
round_queries,208,381,1224,3753,7452,36603,98427,320008,410582,330375
round_k,1,4,13,40,124,381,1176,3539,10963,33037
round_shots,215,123,164,142,108,95,93,69,56
round_queries,215,369,1476,4118,10476,30115,92349,207069,1551368
round_k,1,4,14,48,158,496,1500,4569,13851
round_shots,215,186,114,116,167,169,73,66,55,3
round_queries,215,558,1026,3132,13861,42419,55699,153450,386045,196815
round_k,1,4,13,41,125,381,1162,3509,10704,32802
round_shots,202,177,207,214,126,80,77,63,54,3
round_queries,202,531,1863,6206,11970,22960,66759,166887,431190,216243
round_k,1,4,14,47,143,433,1324,3992,11996,36040
