round_shots,65,61,288,85,72,54,47,38,11
round_queries,65,183,2592,4165,11736,27594,72239,176662,465201
round_k,1,4,24,81,255,768,2324,6995,21145
round_shots,54,61,125,80,66,65,50,41,34,1
round_queries,54,183,1125,2640,6930,20735,49750,125665,314194,85327
round_k,1,4,16,52,159,497,1532,4620,13945,42663
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,115,97,88,64,62,51,43,35,3
round_queries,54,345,873,2376,5568,16182,41157,104533,255745,202917
round_k,1,4,13,43,130,403,1215,3653,11045,33819
round_shots,54,50,47,106,76,65,48,41,34,1
round_queries,54,150,423,2862,7372,20475,48240,123615,310046,82955
round_k,1,4,13,48,157,502,1507,4559,13740,41477
round_shots,54,61,162,79,65,59,50,42,27
round_queries,54,183,1458,2923,7345,20119,51850,131250,777897
round_k,1,4,18,56,170,518,1562,4753,14405
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,142,109,56,43,24
round_queries,54,150,423,1161,11502,26487,56056,138933,736200
round_k,1,4,13,40,121,500,1615,5007,15337
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,123,111,72,62,50,42,34,2
round_queries,54,150,1107,2997,6984,18786,46950,119070,293454,158966
round_k,1,4,13,48,151,469,1417,4315,13126,39741
round_shots,54,78,200,109,75,60,50,41,34,2
round_queries,54,234,1800,2943,7425,19260,48350,119515,297466,159214
round_k,1,4,13,49,160,483,1457,4374,13125,39803
round_shots,54,61,255,77,83,61,51,42,35,2
round_queries,54,183,2295,2079,6889,16897,43197,106806,267715,139370
round_k,1,4,13,41,138,423,1271,3824,11548,34842
round_shots,54,50,312,85,69,55,46,37,8
round_queries,54,150,2808,4505,12213,31075,79534,194509,387560
round_k,1,4,26,88,282,864,2628,7903,24222
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,65,121,117,102,62,60,51,42,34,1
round_queries,65,363,1053,3162,6882,19980,51867,130914,318274,86711
round_k,1,4,15,55,166,508,1558,4680,14175,43355
round_shots,83,70,194,100,62,56,46,40,16
round_queries,83,210,1746,4100,8866,24248,61318,160120,586480
round_k,1,4,20,71,216,666,2001,6084,18327
round_shots,54,86,132,94,67,58,50,42,26
round_queries,54,258,1188,3102,7571,20358,53650,135366,757094
round_k,1,4,16,56,175,536,1611,4850,14559
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,70,270,71,65,55,47,41,14
round_queries,54,210,2430,3479,9685,24695,64249,169617,536914
round_k,1,4,24,74,224,683,2068,6368,19175
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,66,119,71,62,51,41,27
round_queries,54,150,594,3213,7313,20026,52173,128371,774765
round_k,1,4,13,51,161,511,1565,4723,14347
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,173,84,55,48,39,17
round_queries,54,150,423,4671,10332,23265,61104,151125,593691
round_k,1,4,13,61,211,636,1937,5820,17461
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,166,80,64,56,48,35,25
round_queries,54,150,1494,2960,7488,19992,51696,113855,740525
round_k,1,4,18,58,178,538,1626,4879,14810
round_shots,83,70,174,85,70,56,48,42,20
round_queries,83,210,1566,3315,8890,22008,56784,149814,664900
round_k,1,4,19,63,196,591,1783,5519,16622
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,66,221,82,55,47,38,13
round_queries,54,150,594,5967,11562,26785,69043,169366,526409
round_k,1,4,13,70,243,734,2228,6694,20246
round_shots,54,70,129,82,68,61,50,42,33,1
round_queries,54,210,1161,2706,7140,20069,50250,128982,310233,85927
round_k,1,4,16,52,164,502,1535,4700,14114,42963
round_shots,54,86,121,76,72,59,50,42,34,2
round_queries,54,258,1089,2508,7272,18349,47450,120750,294338,157282
round_k,1,4,16,50,155,474,1437,4328,12985,39320
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,101,155,89,65,59,52,43,23
round_queries,54,303,1395,3115,7605,20945,56420,146587,715415
round_k,1,4,17,58,177,542,1704,5157,15552
round_shots,54,50,96,100,83,63,48,42,34,1
round_queries,54,150,864,2700,7885,20223,48528,127386,315622,84545
round_k,1,4,13,47,160,505,1516,4641,13947,42272
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,224,86,68,57,48,39,14
round_queries,54,150,2016,3870,10132,25479,65616,163839,533806
round_k,1,4,22,74,223,683,2100,6326,19064
round_shots,54,50,168,76,63,56,48,41,24
round_queries,54,150,1512,2964,7623,20440,52944,135751,728568
round_k,1,4,19,60,182,551,1655,4985,15178
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,134,109,98,72,59,50,41,27
round_queries,54,402,981,3038,7704,20119,51950,129273,775035
round_k,1,4,15,53,170,519,1576,4745,14352
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,70,192,86,64,58,48,40,20
round_queries,54,210,1728,3526,7872,21866,55536,140440,640700
round_k,1,4,20,61,188,578,1755,5294,16017
round_shots,54,50,116,141,70,59,49,41,26
round_queries,54,150,1044,3807,7770,20591,51303,129519,754026
round_k,1,4,13,55,174,523,1579,4792,14500
round_shots,65,70,122,78,72,59,50,43,23,3
round_queries,65,210,1098,2574,7128,17759,45850,119841,194465,229881
round_k,1,4,16,49,150,458,1393,4227,12693,38313
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,101,184,100,64,56,49,40,15
round_queries,54,303,1656,4100,9152,24584,65709,163800,558615
round_k,1,4,20,71,219,670,2047,6168,18620
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,61,74,136,73,59,51,41,25
round_queries,54,183,666,3672,7957,20473,54213,134521,744275
round_k,1,4,13,54,173,531,1640,4933,14885
round_shots,54,70,224,71,71,60,48,34,16
round_queries,54,210,2016,3195,9727,25620,63600,138414,589520
round_k,1,4,22,68,213,662,2035,6106,18422
round_shots,54,50,66,85,89,62,50,43,35,3
round_queries,54,150,594,2295,7743,16182,41050,106081,261485,202527
round_k,1,4,13,43,130,410,1233,3735,11219,33754
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,238,99,78,60,50,42,34,2
round_queries,54,150,2142,2673,7410,18780,47550,120750,294338,157014
round_k,1,4,13,47,156,475,1437,4328,13016,39253
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,65,50,281,93,81,60,50,42,34,3
round_queries,65,150,2529,2511,7209,17580,44150,111930,273462,220995
round_k,1,4,13,44,146,441,1332,4021,12064,36832
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,70,228,109,76,59,50,42,34,1
round_queries,54,210,2052,2943,7524,19057,48850,124950,304402,82087
round_k,1,4,13,49,161,488,1487,4476,13514,41043
round_shots,74,50,152,74,78,62,50,41,22
round_queries,74,150,1368,2738,8814,22258,57450,142721,700854
round_k,1,4,18,56,179,574,1740,5240,15928
round_shots,54,108,122,77,67,61,51,41,34,1
round_queries,54,324,1098,2541,6901,19337,49113,120171,299982,80823
round_k,1,4,16,51,158,481,1465,4411,13308,40411
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,65,86,149,77,65,60,48,41,34,1
round_queries,65,258,1341,2849,7215,20220,49584,127551,317458,85789
round_k,1,4,18,55,168,516,1555,4668,14082,42894
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,308,71,64,55,46,40,12
round_queries,54,150,2772,3621,10048,26235,66286,173960,489492
round_k,1,4,25,78,238,720,2174,6696,20395
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
