round_shots,96,32,23,22,18,17,18,19,17,16,16,16,14,10,15,16,16,9
round_queries,96,96,207,462,810,1581,3402,7391,14195,27856,56144,113392,199626,292070,887955,1913040,3907088,4508055
round_k,0,1,4,10,22,46,94,194,417,870,1754,3543,7129,14603,29598,59782,122096,250447
round_shots,65,142,15,26,19,17,16,17,16,17,16,16,16,16,10,10,8
round_queries,65,426,255,1014,1653,3009,5744,12359,23696,51323,99888,204560,414096,848816,1070090,2151890,3488536
round_k,0,1,8,19,43,88,179,363,740,1509,3121,6392,12940,26525,53504,107594,218033
round_shots,71,46,36,17,12,17,18,17,15,11,16,16,16,15,10,16,16,8
round_queries,71,138,324,391,564,1717,3690,7157,12825,19305,59120,118416,240528,460605,622010,2018960,4139344,4257992
round_k,0,1,4,11,23,50,102,210,427,877,1847,3700,7516,15353,31100,63092,129354,266124
round_shots,38,79,27,29,16,18,19,16,17,17,16,16,16,10,10,16,16,3
round_queries,38,237,351,783,1008,2286,5187,8912,18955,38743,75696,153616,310192,396810,804830,2604688,5360144,2060025
round_k,0,1,6,13,31,63,136,278,557,1139,2365,4800,9693,19840,40241,81396,167504,343337
round_shots,176,53,32,19,19,18,17,11,17,17,15,14,16,16,16,16,10,4
round_queries,176,159,288,475,969,1962,3927,5269,16609,34051,61965,115766,269456,555408,1132720,2319440,2974210,2411396
round_k,0,1,4,12,25,54,115,239,488,1001,2065,4134,8420,17356,35397,72482,148710,301424
round_shots,266,83,26,23,20,20,17,17,17,16,16,14,16,16,16,16,15,3
round_queries,266,249,338,621,1260,2740,5083,10251,20893,40208,81808,146734,339312,691504,1413936,2890000,5562015,2231841
round_k,0,1,6,13,31,68,149,301,614,1256,2556,5240,10603,21609,44185,90312,185400,371973
round_shots,39,24,40,23,22,18,19,18,17,15,16,16,16,14,16,14,15,3
round_queries,39,72,360,621,1386,2466,5339,10782,20723,37305,79888,161168,328016,587538,1367792,2439486,5351445,2143233
round_k,0,1,4,13,31,68,140,299,609,1243,2496,5036,10250,20983,42743,87124,178381,357205
round_shots,114,59,32,18,22,17,20,18,17,16,16,16,16,16,16,16,16,6
round_queries,114,177,288,450,1122,1819,4300,8586,16575,32784,65936,132432,270608,555056,1138384,2319248,4743696,3643374
round_k,0,1,4,12,25,53,107,238,487,1024,2060,4138,8456,17345,35574,72476,148240,303614
round_shots,36,32,25,28,17,22,20,17,18,16,16,16,16,16,16,16,16,7
round_queries,36,96,225,588,833,2178,4140,7157,15642,29584,60176,121360,249808,509040,1048336,2149136,4407568,3953719
round_k,0,1,4,10,24,49,103,210,434,924,1880,3792,7806,15907,32760,67160,137736,282408
round_shots,76,65,19,22,17,22,18,15,17,16,16,16,10,16,16,16,15,8
round_queries,76,195,209,506,833,2222,3798,6675,15249,29232,60304,123344,156530,504336,1028880,2118000,4083285,4365656
round_k,0,1,5,11,24,50,105,222,448,913,1884,3854,7826,15760,32152,66187,136109,272853
round_shots,62,75,32,21,21,21,21,19,17,21,21,17,15,16,16,14,10
round_queries,62,225,416,735,1533,3297,6783,12787,23647,59703,124761,240431,427155,923440,1872752,3305078,4817930
round_k,0,1,6,17,36,78,161,336,695,1421,2970,7071,14238,28857,58523,118038,240896
round_shots,127,79,37,17,19,16,18,17,11,17,16,16,16,16,16,16,13
round_queries,127,237,481,629,1463,2608,5886,11271,14927,47515,92912,189712,387312,792048,1624912,3333520,5560399
round_k,0,1,6,18,38,81,163,331,678,1397,2903,5928,12103,24751,50778,104172,213861
round_shots,177,74,25,24,17,19,17,18,17,16,16,16,16,16,16,16,15,2
round_queries,177,222,275,648,1071,2489,4641,9990,19737,38576,77168,156752,317392,647792,1323632,2697424,5183985,1404762
round_k,0,1,5,13,31,65,136,277,580,1205,2411,4898,9918,20243,41363,84294,172799,351190
round_shots,151,92,24,23,22,18,19,16,16,16,16,17,16,16,16,16,16,3
round_queries,151,276,312,621,1342,2250,5035,8688,17392,35248,70672,150195,294736,590704,1210608,2478704,5094896,1957269
round_k,0,1,6,13,30,62,132,271,543,1101,2208,4417,9210,18459,37831,77459,159215,326211
round_shots,160,75,19,20,17,18,11,17,16,17,15,16,16,15,16,15,10,5
round_queries,160,225,247,540,1037,2250,2849,9129,17232,37043,67455,144592,296144,566415,1218064,2329005,3159290,3205635
round_k,0,1,6,13,30,62,129,268,538,1089,2248,4518,9254,18880,38064,77633,157964,320563
round_shots,124,79,38,24,21,21,16,17,17,16,15,16,16,15,16,16,9
round_queries,124,237,494,888,1743,3717,6448,13889,28203,54384,104745,223728,456304,879135,1908528,3907568,4503951
round_k,0,1,6,18,41,88,201,408,829,1699,3491,6991,14259,29304,59641,122111,250219
round_shots,109,83,29,25,16,18,16,16,17,16,15,16,16,16,16,10,16,5
round_queries,109,249,377,675,1008,2286,4240,8496,18071,34416,65235,140496,288112,586160,1205808,1543770,5007696,3210625
round_k,0,1,6,13,31,63,132,265,531,1075,2174,4390,9003,18317,37681,77188,156490,321062
round_shots,62,79,27,23,19,20,17,12,17,17,10,16,16,16,10,16,16,3
round_queries,62,237,351,621,1197,2660,4947,7092,21029,42653,51290,165392,335984,687856,878510,2848592,5842000,2245485
round_k,0,1,6,13,31,66,145,295,618,1254,2564,5168,10499,21495,43925,89018,182562,374247
round_shots,265,79,23,19,17,18,20,18,16,16,15,16,16,15,16,16,16,5
round_queries,265,237,253,437,799,1746,3980,7758,14224,28464,53715,120016,240848,458265,979280,2010032,4110896,2632435
round_k,0,1,5,11,23,48,99,215,444,889,1790,3750,7526,15275,30602,62813,128465,263243
round_shots,56,92,34,17,16,19,18,15,15,16,14,16,15,16,16,14,14
round_queries,56,276,442,629,1232,2945,5994,10185,20655,45808,81914,188560,361665,778384,1593392,2851226,5869374
round_k,0,1,6,18,38,77,166,339,688,1431,2925,5892,12055,24324,49793,101829,209620
round_shots,44,96,36,25,19,21,18,17,17,16,14,16,16,16,16,15,16,2
round_queries,44,288,468,675,1197,2919,5202,10149,20689,40720,72730,168976,345072,715568,1435568,2711775,5818672,1485846
round_k,0,1,6,13,31,69,144,298,608,1272,2597,5280,10783,22361,44861,90392,181833,371461
round_shots,121,55,25,19,22,20,19,16,16,16,15,16,10,16,16,16,16,3
round_queries,121,165,275,475,1166,2260,4769,8432,16880,34192,64515,138928,176950,570768,1165136,2394640,4896432,1882635
round_k,0,1,5,12,26,56,125,263,527,1068,2150,4341,8847,17836,36410,74832,153013,313772
round_shots,36,79,21,13,18,18,18,17,17,16,16,16,14,16,16,15,16,3
round_queries,36,237,273,351,1062,2214,4590,8857,17867,33648,68304,139568,249858,584368,1200240,2307225,4928208,1893015
round_k,0,1,6,13,29,61,127,260,525,1051,2134,4361,8923,18261,37507,76907,154006,315502
round_shots,130,70,23,27,21,18,18,17,17,14,16,16,15,14,16,15,16,6
round_queries,130,210,253,675,1071,2034,4086,7803,15861,27482,64144,131888,253725,476042,1111056,2136555,4631952,3557166
round_k,0,1,5,12,25,56,113,229,466,981,2004,4121,8457,17001,34720,71218,144748,296430
round_shots,36,59,23,24,17,20,17,17,16,17,16,16,16,15,14,15,16,8
round_queries,36,177,207,504,833,2020,3621,7599,14736,31331,60592,122608,249328,475005,901054,1982505,4244624,4349080
round_k,0,1,4,10,24,50,106,223,460,921,1893,3831,7791,15833,32180,66083,132644,271817
round_shots,347,32,14,17,16,18,16,16,17,16,16,16,14,16,16,16,8
round_queries,347,224,294,833,1616,3654,6768,13552,28815,55952,111920,225264,397978,920464,1877328,3844912,3968184
round_k,0,3,10,24,50,101,211,423,847,1748,3497,7039,14213,28764,58666,120153,248011
round_shots,159,65,26,18,20,21,17,16,17,16,16,16,10,16,16,15,16,6
round_queries,159,195,286,450,1020,2373,4267,8080,17289,32752,66800,134864,171510,553360,1133104,2175105,4702512,3610674
round_k,0,1,5,12,25,56,125,252,508,1023,2087,4214,8575,17292,35409,72503,146953,300889
round_shots,68,75,31,12,22,17,17,18,16,16,16,16,15,16,16,14,10
round_queries,68,225,403,420,1694,2703,5457,11574,21328,42672,86544,174640,336825,719024,1474928,2637110,3869830
round_k,0,1,6,17,38,79,160,321,666,1333,2704,5457,11227,22469,46091,94182,193491
round_shots,89,88,39,18,21,18,16,18,16,14,16,16,15,15,16,16,13
round_queries,89,264,507,666,1575,3114,5680,12798,23536,41678,96144,194320,373845,748305,1603504,3288720,5482295
round_k,0,1,6,18,37,86,177,355,735,1488,3004,6072,12461,24943,50109,102772,210857
round_shots,288,79,29,20,21,18,19,18,16,16,16,16,16,16,16,16,10,3
round_queries,288,237,377,540,1281,2214,4807,10314,19632,39696,79600,163408,330512,675088,1377456,2817616,3616710,2190291
round_k,0,1,6,13,30,61,126,286,613,1240,2487,5106,10328,21096,43045,88050,180835,365048
round_shots,111,79,23,23,18,20,16,17,16,17,15,16,14,16,16,15,16,5
round_queries,111,237,253,575,1062,2460,4080,8687,16496,35751,64905,138768,247618,575024,1178416,2268705,4853968,3109005
round_k,0,1,5,12,29,61,127,255,515,1051,2163,4336,8843,17969,36825,75623,151686,310900
round_shots,128,129,26,23,19,19,16,17,16,16,16,16,16,16,16,16,9
round_queries,128,387,442,897,1653,3477,6288,13685,26672,54000,109712,222320,454800,928112,1907024,3909136,4507281
round_k,0,1,8,19,43,91,196,402,833,1687,3428,6947,14212,29003,59594,122160,250404
round_shots,36,75,35,17,21,18,17,17,12,15,16,16,16,14,16,16,16
round_queries,36,225,455,595,1491,2574,5117,10693,15108,37845,82768,169168,346320,622874,1462096,2991472,6132048
round_k,0,1,6,17,35,71,150,314,629,1261,2586,5286,10822,22245,45690,93483,191626
round_shots,44,59,40,25,20,20,16,17,16,17,16,16,16,16,16,15,16,3
round_queries,44,177,360,675,1220,2580,4304,9265,17808,38335,75120,153104,313296,630832,1295408,2492355,5329104,2056215
round_k,0,1,4,13,30,64,134,272,556,1127,2347,4784,9790,19713,40481,83078,166534,342702
round_shots,224,75,32,25,19,21,18,17,17,14,16,10,16,16,15,14,15
round_queries,224,225,416,675,1197,2919,5814,11407,23443,39438,90640,114630,368304,754288,1447095,2743734,6013065
round_k,0,1,6,13,31,69,161,335,689,1408,2832,5731,11509,23571,48236,97990,200435
round_shots,221,79,37,21,17,17,18,17,16,16,16,16,16,15,16,16,16,3
round_queries,221,237,481,735,1207,2533,5418,10625,20016,40336,80816,163056,328144,621375,1342320,2715344,5572528,2136249
round_k,0,1,6,17,35,74,150,312,625,1260,2525,5095,10254,20712,41947,84854,174141,356041
round_shots,181,59,25,26,19,21,19,17,17,16,17,17,16,16,16,16,14
round_queries,181,177,275,702,1235,2919,5491,10659,22083,43632,93721,195891,389168,781552,1583504,3214192,5757990
round_k,0,1,5,13,32,69,144,313,649,1363,2756,5761,12161,24423,49484,100443,205642
round_shots,39,88,18,26,19,16,19,18,16,15,15,16,16,16,16,15,14,2
round_queries,39,264,234,702,1235,2224,5415,10890,20144,37785,76065,162960,332656,678256,1390064,2660115,5032510,1477402
round_k,0,1,6,13,32,69,142,302,629,1259,2535,5092,10395,21195,43439,88670,179732,369350
round_shots,65,100,24,21,20,17,17,17,17,14,16,10,16,16,16,16,16
round_queries,65,300,360,735,1460,2669,5355,10965,22185,37422,86608,109470,353520,720912,1478512,3031696,6243632
round_k,0,1,7,17,36,78,157,322,652,1336,2706,5473,11047,22528,46203,94740,195113
round_shots,44,74,24,21,17,20,19,18,11,16,16,16,16,16,16,16,16,5
round_queries,44,222,264,483,867,2100,4427,8982,11363,33776,67568,138352,277744,562448,1151664,2363152,4841520,3099175
round_k,0,1,5,11,25,52,116,249,516,1055,2111,4323,8679,17576,35989,73848,151297,309917
round_shots,74,83,35,21,18,11,12,16,16,16,16,14,16,16,16,16,16
round_queries,74,249,455,777,1350,1661,3708,10384,21488,43152,86736,154042,354224,719632,1472624,3047248,6256272
round_k,0,1,6,18,37,75,154,324,671,1348,2710,5501,11069,22488,46019,95226,195508
round_shots,38,55,25,24,19,21,11,18,17,17,16,16,16,16,15,16,16
round_queries,38,165,275,648,1235,2877,3069,10602,21471,44183,87056,176688,359216,736624,1408755,3015216,6179280
round_k,0,1,5,13,32,68,139,294,631,1299,2720,5521,11225,23019,46958,94225,193102
round_shots,82,100,28,24,19,18,17,17,16,16,16,16,16,14,16,16,9
round_queries,82,300,420,936,1653,3330,6341,13141,25712,51824,104048,209264,428848,769090,1798672,3677040,4241277
round_k,0,1,7,19,43,92,186,386,803,1619,3251,6539,13401,27467,56208,114907,235626
round_shots,55,79,18,20,17,19,16,17,16,16,10,16,16,16,16,16,16,4
round_queries,55,237,234,540,1037,2413,4464,9639,18512,37168,47250,152304,310896,632816,1297168,2651824,5419184,2778868
round_k,0,1,6,13,30,63,139,283,578,1161,2362,4759,9715,19775,40536,82869,169349,347358
round_shots,62,75,34,20,24,17,16,17,11,15,16,16,16,16,14,16,9
