round_shots,140,182,123,126,158,672,78,114,5
round_queries,140,546,1107,3402,12798,163296,154518,690042,518385
round_k,1,4,13,40,121,990,3026,9089,51838
round_shots,173,227,120,494,622,143,107,67,88
round_queries,173,681,1080,13338,50382,84227,211325,416003,5075752
round_k,1,4,13,40,294,987,3104,9546,28839
round_shots,205,122,128,177,238,255,139,72,77,25
round_queries,205,366,1152,4779,19278,61965,101331,187848,615461,1852125
round_k,1,4,13,40,121,364,1304,3996,12230,37042
round_shots,199,150,167,866,144,138,95,70,57,12
round_queries,199,450,1503,23382,11664,33534,81985,187250,468939,901764
round_k,1,4,13,40,121,431,1337,4113,12342,37573
round_shots,154,120,130,293,496,283,138,80,63,15
round_queries,154,360,1170,7911,40176,68769,100602,208240,540351,1235295
round_k,1,4,13,40,121,364,1301,4288,13195,41176
round_shots,149,163,186,281,164,109,98,81,62,34
round_queries,149,489,1674,7587,13284,26487,78498,209061,486142,2437494
round_k,1,4,13,40,121,400,1290,3920,11864,35845
round_shots,170,125,112,153,202,578,97,80,41
round_queries,170,375,1008,4131,16362,140454,175085,434160,2165497
round_k,1,4,13,40,121,902,2713,8670,26408
round_shots,204,166,213,110,812,167,142,221,29
round_queries,204,498,1917,2970,65772,116065,296354,1383681,2209307
round_k,1,4,13,40,347,1043,3130,12693,38091
round_shots,170,139,112,217,568,144,181,69,51
round_queries,170,417,1008,5859,46008,80208,361457,419865,2837079
round_k,1,4,13,40,278,998,3042,9232,27814
round_shots,141,186,123,140,450,289,118,128,58,15
round_queries,141,558,1107,3780,36450,70227,100890,408448,588990,1427385
round_k,1,4,13,40,121,427,1595,5077,15639,47579
round_shots,133,122,115,126,152,119,481,123,66,35
round_queries,133,366,1035,3402,12312,28917,352573,270477,435402,2239055
round_k,1,4,13,40,121,366,1099,3298,9896,31986
round_shots,217,124,150,369,380,92,86,71,81,3
round_queries,217,372,1350,9963,30780,37812,111370,302247,1058427,357243
round_k,1,4,13,40,205,647,2128,6533,19726,59540
round_shots,132,136,186,193,340,172,87,81,82,5
round_queries,132,408,1674,5211,27540,62436,116319,359559,1112658,622705
round_k,1,4,13,40,181,668,2219,6784,20486,62270
round_shots,157,120,134,110,368,446,182,179,61
round_queries,157,360,1206,2970,29808,108378,276458,1039095,3279787
round_k,1,4,13,40,121,759,2902,8707,26883
round_shots,216,122,123,553,92,117,84,61,68,4
round_queries,216,366,1107,14931,15732,60957,138852,309697,1036388,569564
round_k,1,4,13,85,260,826,2538,7620,22995,71195
round_shots,184,160,134,117,129,147,393,106,88
round_queries,184,480,1206,3159,10449,36015,291999,487282,4530152
round_k,1,4,13,40,122,371,2298,8136,25739
round_shots,211,256,225,142,232,491,74,106,130,4
round_queries,211,768,2025,3834,18792,119313,119806,530530,2023970,586508
round_k,1,4,13,40,121,809,2502,7784,24013,73313
round_shots,174,180,153,189,367,143,73,66,55,3
round_queries,174,540,1377,5103,29727,56485,102565,280566,726495,361035
round_k,1,4,13,40,197,702,2125,6604,20035,60172
round_shots,188,143,252,347,392,81,87,143,59,7
round_queries,188,429,2268,9369,31752,34263,110925,595309,756557,817901
round_k,1,4,13,40,211,637,2081,6411,19387,58421
