round_shots,1309,241,131,143,89,98,64,36
round_queries,1309,2169,4323,14157,31239,110446,221888,1141956
round_k,4,16,49,175,563,1733,5254,15860
round_shots,1117,218,161,127,114,103,66,62,9
round_queries,1117,1526,3703,9271,25650,73233,151734,436666,577053
round_k,3,11,36,112,355,1149,3521,10650,32058
round_shots,1252,219,181,133,82,73,94,71,3
round_queries,1252,1533,4525,10773,22222,59349,230770,530157,203463
round_k,3,12,40,135,406,1227,3733,11239,33910
round_shots,917,219,129,139,107,90,73,90,8
round_queries,917,1533,3225,11259,26001,67410,167243,622710,516440
round_k,3,12,40,121,374,1145,3459,10674,32277
round_shots,1024,272,118,124,102,76,80,83,3
round_queries,1024,1904,2950,9300,25194,59660,189840,599509,206331
round_k,3,12,37,123,392,1186,3611,11229,34388
round_shots,1226,192,104,103,148,83,76,138,6
round_queries,1226,1728,3432,10197,44844,75447,209532,1153266,472938
round_k,4,16,49,151,454,1378,4178,12775,39411
round_shots,899,263,146,198,117,80,110,74,9
round_queries,899,1841,3650,16830,30069,62000,256410,518518,591759
round_k,3,12,42,128,387,1165,3503,10787,32875
round_shots,1451,195,161,114,99,75,64,85,10
round_queries,1451,1365,4025,9234,26631,60975,158784,641665,711730
round_k,3,12,40,134,406,1240,3774,11772,35586
round_shots,1177,224,107,134,143,70,66,56,4
round_queries,1177,2016,3531,13534,45045,67690,191466,498008,323836
round_k,4,16,50,157,483,1450,4446,13438,40479
round_shots,1234,263,173,144,92,117,84,82,3
round_queries,1234,1841,4325,10800,24196,93951,206220,610326,203199
round_k,3,12,37,131,401,1227,3721,11187,33866
round_shots,963,300,127,124,111,121,67,61,12
round_queries,963,2100,3175,10044,27417,90145,149745,410103,742476
round_k,3,12,40,123,372,1117,3361,10169,30936
round_shots,852,297,246,131,106,79,69,58,5
round_queries,852,2079,6642,10873,26818,62331,166359,426706,340855
round_k,3,13,41,126,394,1205,3678,11229,34085
round_shots,1417,215,141,124,96,197,149,75
round_queries,1417,1935,4653,13020,30240,203895,478439,2230725
round_k,4,16,52,157,517,1605,4896,14871
round_shots,1122,238,153,112,85,75,68,61,13
round_queries,1122,1666,3825,8400,20655,55875,152524,415471,809783
round_k,3,12,37,121,372,1121,3405,10336,31145
round_shots,972,384,144,98,100,78,191,76,4
round_queries,972,2688,3600,7350,23300,57330,423065,510796,248140
round_k,3,12,37,116,367,1107,3360,10246,31017
round_shots,1465,211,102,101,85,94,69,57,5
round_queries,1465,1477,2550,7575,19295,64014,143037,356991,285645
round_k,3,12,37,113,340,1036,3131,9469,28564
round_shots,1067,244,177,120,119,74,91,56,10
round_queries,1067,1708,4071,8760,26061,48914,180453,339304,548590
round_k,3,11,36,109,330,991,3029,9125,27429
round_shots,1195,203,134,109,82,118,62,57,4
round_queries,1195,1827,4422,10791,27142,118118,187426,516933,333420
round_k,4,16,49,165,500,1511,4534,13892,41677
round_shots,1335,254,184,123,139,99,114,74,6
round_queries,1335,1778,4232,8979,31275,67419,241110,500758,370842
round_k,3,11,36,112,340,1057,3383,10164,30903
round_shots,937,195,178,93,108,104,110,72,6
round_queries,937,1365,4450,7533,26244,78728,252010,497592,384246
round_k,3,12,40,121,378,1145,3455,10612,32020
round_shots,1414,290,146,140,121,80,77,71,13
round_queries,1414,2030,3650,11060,29161,58160,171171,476481,795795
round_k,3,12,39,120,363,1111,3355,10141,30607
round_shots,1050,203,127,126,112,128,98,91,8
