round_shots,54,70,159,134,68,61,50,42,27
round_queries,54,210,1431,3618,7276,20313,52050,133014,778167
round_k,1,4,13,53,166,520,1583,4762,14410
round_shots,65,61,184,96,72,57,49,40,16
round_queries,65,183,1656,3936,9864,24111,62279,155320,570736
round_k,1,4,20,68,211,635,1941,5865,17835
round_shots,54,61,302,128,71,57,52,43,26
round_queries,54,183,2718,3456,7455,18639,51636,133515,757042
round_k,1,4,13,52,163,496,1552,4782,14558
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,78,126,76,75,56,50,42,35,2
round_queries,54,234,1134,2508,7575,17640,47250,119406,298725,157818
round_k,1,4,16,50,157,472,1421,4267,13058,39454
round_shots,54,78,205,73,64,54,47,40,20
round_queries,54,234,1845,3139,8512,21546,56259,143800,657580
round_k,1,4,21,66,199,598,1797,5427,16439
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,101,98,85,80,64,50,43,35,2
round_queries,54,303,882,2465,7120,17984,44850,115799,285985,148886
round_k,1,4,14,44,140,448,1346,4085,12398,37221
round_shots,54,61,212,88,67,56,47,40,17
round_queries,54,183,1908,3784,9447,24024,61523,157640,610079
round_k,1,4,21,70,214,654,1970,5953,17943
round_shots,54,50,57,168,68,60,48,40,20
round_queries,54,150,513,4536,8364,22980,57072,143160,653140
round_k,1,4,13,61,191,594,1789,5413,16328
round_shots,54,50,57,258,105,64,51,42,34,1
round_queries,54,150,513,6966,8505,19520,50133,126798,309774,83729
round_k,1,4,13,40,152,491,1509,4555,13790,41864
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,65,61,227,95,68,55,48,38,13
round_queries,65,183,2043,4275,10540,26345,69552,167162,517465
round_k,1,4,22,77,239,724,2199,6598,19902
round_shots,54,50,82,205,88,54,46,39,12
round_queries,54,150,738,5535,11880,25974,67206,173121,491868
round_k,1,4,13,67,240,730,2219,6695,20494
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,61,165,119,70,61,51,42,34,1
round_queries,54,183,1485,3213,7210,18849,49215,123270,303314,82371
round_k,1,4,13,51,154,482,1467,4460,13529,41185
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,70,103,162,80,57,49,41,18
round_queries,54,210,927,4374,9680,23085,60025,153381,621270
round_k,1,4,13,60,202,612,1870,5667,17257
round_shots,54,61,66,110,67,56,51,43,35,2
round_queries,54,183,594,2970,6633,16968,46461,120271,297535,156246
round_k,1,4,13,49,151,455,1398,4250,12957,39061
round_shots,54,108,171,92,63,58,47,41,23
round_queries,54,324,1539,3404,7749,21518,52687,138457,708975
round_k,1,4,18,61,185,560,1688,5100,15412
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,96,82,72,67,52,43,36,4
round_queries,54,150,864,2214,5832,16281,40404,102297,258732,263356
round_k,1,4,13,40,121,388,1189,3593,10908,32919
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,82,75,49,62,53,43,36,4
round_queries,54,150,738,2025,4067,15438,40863,101781,260172,263436
round_k,1,4,13,41,124,385,1183,3613,10950,32929
round_shots,54,86,188,81,72,58,47,41,19
round_queries,54,258,1692,3159,9000,23026,57105,150675,643283
round_k,1,4,19,62,198,607,1837,5583,16928
round_shots,54,50,171,137,74,58,49,40,24
round_queries,54,150,1539,3699,8214,20706,53067,133000,719592
round_k,1,4,13,55,178,541,1662,4989,14991
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,61,110,75,64,65,52,43,35,3
round_queries,54,183,990,2025,5312,16185,41236,103329,254135,198513
round_k,1,4,13,41,124,396,1201,3630,10944,33085
round_shots,54,78,227,98,70,54,47,39,11
round_queries,54,234,2043,4410,11130,27054,71017,178425,468391
round_k,1,4,22,79,250,755,2287,6966,21290
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,78,150,85,69,60,50,41,34,1
round_queries,54,234,1350,2975,7521,19620,50150,126977,317866,84967
round_k,1,4,17,54,163,501,1548,4674,14152,42483
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,78,193,84,66,56,49,40,18
round_queries,54,234,1737,3444,8778,22456,59437,148120,620982
round_k,1,4,20,66,200,606,1851,5616,17249
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,89,253,74,55,46,39,12
round_queries,54,150,801,6831,11174,27445,70058,179049,498300
round_k,1,4,13,75,249,761,2295,6910,20762
round_shots,54,70,209,70,69,56,48,40,20
round_queries,54,210,1881,3010,8901,22120,56976,142760,652020
round_k,1,4,21,64,197,593,1784,5395,16300
round_shots,54,78,243,94,63,57,46,39,13
round_queries,54,234,2187,4418,10017,27303,66930,170235,516269
round_k,1,4,23,79,239,727,2182,6550,19856
round_shots,54,50,47,43,39,35,31,28,24,3
round_queries,54,150,423,1161,3159,8505,22661,61516,160824,187299
round_k,1,4,13,40,121,365,1098,3350,10224,31216
round_shots,54,50,47,43,39,35,31,28,24,3
