round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,156900
round_k,2,11,41,168,784
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,30700,748300
round_k,2,11,37,153,699,3741
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29700,711300
round_k,2,11,39,148,655,3556
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30700,707900
round_k,2,11,39,153,663,3539
round_shots,400,300,100,100,100
round_queries,400,1500,2700,8700,169900
round_k,2,13,43,180,849
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5100,19300,447100
round_k,2,7,25,96,431,2235
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7300,28500,701700
round_k,2,11,36,142,651,3508
round_shots,300,100,100,100,100,100
round_queries,300,300,900,2900,9900,192100
round_k,1,4,14,49,203,960
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26900,671500
round_k,2,9,32,134,622,3357
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,4100,14700,301700
round_k,1,4,20,73,315,1508
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5900,23500,553700
round_k,2,9,29,117,524,2768
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7300,28300,657900
round_k,2,11,36,141,628,3289
round_shots,500,200,100,100,100,100
round_queries,500,600,1300,4700,18100,362500
round_k,1,6,23,90,358,1812
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25700,599300
round_k,2,9,32,128,604,2996
round_shots,400,300,100,100,100
round_queries,400,1500,2300,8500,156500
round_k,2,11,42,167,782
round_shots,300,300,100,100,100
round_queries,300,1500,2300,7500,144500
round_k,2,11,37,158,722
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,26900,652300
round_k,2,9,34,134,601,3261
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,24300,490100
round_k,2,9,30,121,508,2450
round_shots,300,300,100,100,100
round_queries,300,1500,2700,8700,169500
round_k,2,13,43,180,847
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10700,199100
round_k,2,13,53,208,995
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10100,201300
round_k,2,13,50,214,1006
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21900,530100
round_k,2,9,30,109,500,2650
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4900,16500,377900
round_k,2,7,24,82,370,1889
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7100,28900,727900
round_k,2,11,35,144,667,3639
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8900,169100
round_k,2,11,44,178,845
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10700,200700
round_k,2,13,53,211,1003
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8700,168300
round_k,2,11,43,178,841
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28500,736700
round_k,2,11,37,142,671,3683
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23900,547300
round_k,2,9,30,119,526,2736
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,27700,699100
round_k,2,9,35,138,641,3495
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22900,540900
round_k,2,9,30,114,508,2704
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,149700
round_k,2,11,39,160,748
round_shots,200,100,100,100,100,100
round_queries,200,300,900,2700,8700,173500
round_k,1,4,13,43,182,867
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,26100,623700
round_k,2,9,32,130,587,3118
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5900,21500,462300
round_k,2,9,29,107,458,2311
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24700,588700
round_k,2,9,30,123,559,2943
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8700,154100
round_k,2,11,43,170,770
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,6900,27700,666300
round_k,2,11,34,138,632,3331
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,28900,655300
round_k,2,11,39,144,620,3276
round_shots,500,100,100,100,100,100
round_queries,500,500,1500,4700,16700,340500
round_k,2,7,23,83,363,1702
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22700,518900
round_k,2,9,30,113,499,2594
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7100,27900,692100
round_k,2,11,35,139,645,3460
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,18900,414100
round_k,2,7,23,94,405,2070
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28700,695700
round_k,2,9,35,143,649,3478
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27100,667300
round_k,2,9,34,135,626,3336
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,28100,659700
round_k,2,11,37,140,613,3298
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,32100,776300
round_k,2,11,39,160,704,3881
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4900,18700,400300
round_k,2,7,24,93,397,2001
round_shots,300,100,100,100,100,100
round_queries,300,300,900,2700,8700,158500
round_k,1,4,13,43,168,792
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,23900,575900
round_k,2,9,30,119,554,2879
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29500,704900
round_k,2,11,39,147,644,3524
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26100,616500
round_k,2,9,32,130,586,3082
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,26500,613500
round_k,2,9,35,132,574,3067
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5900,21900,516100
round_k,2,9,29,109,503,2580
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,24700,557900
round_k,2,9,32,123,552,2789
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,5700,20700,463100
round_k,2,9,28,103,444,2315
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,29100,704700
round_k,2,9,35,145,649,3523
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9300,175500
round_k,2,13,46,182,877
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3700,13900,286900
round_k,1,4,18,69,293,1434
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7500,141500
round_k,2,11,37,159,707
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,8900,32700,757300
round_k,2,11,44,163,694,3786
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,177900
round_k,2,13,48,190,889
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22100,544700
round_k,2,9,30,110,509,2723
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5700,20700,493100
round_k,2,9,28,103,470,2465
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,23900,560500
round_k,2,9,32,119,542,2802
round_shots,500,300,100,100,100
round_queries,500,1500,2700,8100,163700
round_k,2,13,40,172,818
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9500,182300
round_k,2,13,47,198,911
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22500,505300
round_k,2,9,30,112,482,2526
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,16700,320900
round_k,2,7,23,83,354,1604
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29300,708100
round_k,2,11,39,146,649,3540
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,18500,405300
round_k,2,7,23,92,393,2026
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,190500
round_k,2,13,48,200,952
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27900,633900
round_k,2,9,34,139,600,3169
round_shots,500,200,100,100,100,100
round_queries,500,600,900,3300,11100,221300
round_k,1,4,16,55,231,1106
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,159700
round_k,2,11,41,169,798
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,29100,712100
round_k,2,11,37,145,649,3560
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24900,580300
round_k,2,9,30,124,548,2901
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22100,524300
round_k,2,9,30,110,506,2621
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30700,748500
round_k,2,11,39,153,683,3742
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22100,509900
round_k,2,9,30,110,483,2549
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,190900
round_k,2,13,48,201,954
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23500,525500
round_k,2,9,30,117,506,2627
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8100,155300
round_k,2,11,40,168,776
round_shots,300,100,200,100,100,100
round_queries,300,500,3000,6700,25700,633500
