round_shots,3300,300,400,300,200,300
round_queries,3300,2100,6800,14700,25800,82500
round_k,0,3,8,24,64,137
round_shots,3300,300,300,300,200,300,200
round_queries,3300,2100,5100,12300,18200,59100,97400
round_k,0,3,8,20,45,98,243
round_shots,3100,400,300,300,300,300,100
round_queries,3100,2800,5100,12300,34500,83100,70300
round_k,0,3,8,20,57,138,351
round_shots,3500,500,300,300,200,200,200
round_queries,3500,3500,5100,12300,20200,41800,93800
round_k,0,3,8,20,50,104,234
round_shots,3000,300,300,300,200,200,200
round_queries,3000,2100,5100,12300,18200,41400,94200
round_k,0,3,8,20,45,103,235
round_shots,2200,500,300,200,300,200,200,100
round_queries,2200,1500,2700,5000,15300,27000,55400,56500
round_k,0,1,4,12,25,67,138,282
round_shots,3300,400,300,200,200,200,200
round_queries,3300,2800,5100,8200,17800,37400,84200
round_k,0,3,8,20,44,93,210
round_shots,2800,400,400,300,300,200,100
round_queries,2800,2800,6800,12300,34500,57000,59700
round_k,0,3,8,20,57,142,298
round_shots,2900,400,300,300,200,200,100
round_queries,2900,3600,7500,19500,29400,65400,75900
round_k,0,4,12,32,73,163,379
round_shots,3600,300,300,300,200,300
round_queries,3600,2100,5100,12300,24600,83100
round_k,0,3,8,20,61,138
round_shots,2900,400,400,300,300,300,100
round_queries,2900,2800,6800,12300,28500,62700,51100
round_k,0,3,8,20,47,104,255
round_shots,3400,300,300,300,300,300,200
round_queries,3400,2100,4500,9900,21300,48300,75000
round_k,0,3,7,16,35,80,187
round_shots,3600,400,300,200,200,200,200
round_queries,3600,2800,5100,8200,17800,35800,81400
round_k,0,3,8,20,44,89,203
round_shots,2900,400,300,200,300,200
round_queries,2900,3600,7500,11400,39300,67400
round_k,0,4,12,28,65,168
round_shots,3200,400,400,300,300,300,100
round_queries,3200,2800,6800,14700,33300,69900,59100
round_k,0,3,8,24,55,116,295
round_shots,3400,400,300,300,200,200,100
round_queries,3400,2800,5100,12300,23000,49000,56500
round_k,0,3,8,20,57,122,282
round_shots,2500,400,400,400,300,500,200
round_queries,2500,2800,6800,16400,28500,104500,95800
round_k,0,3,8,20,47,104,239
round_shots,2800,400,300,300,200,200,100
round_queries,2800,2800,5100,12300,23000,47800,50100
round_k,0,3,8,20,57,119,250
round_shots,2700,400,400,300,300,200,100
round_queries,2700,2800,6800,14100,33900,51000,54300
round_k,0,3,8,23,56,127,271
round_shots,2800,300,400,300,300,300,100
round_queries,2800,2100,6800,14100,30900,77100,54300
round_k,0,3,8,23,51,128,271
round_shots,3700,500,300,300,400,300,100
round_queries,3700,3500,5100,12300,40400,79500,70700
round_k,0,3,8,20,50,132,353
round_shots,2700,300,300,300,200,300,200
round_queries,2700,2100,5100,11700,15800,52500,93800
round_k,0,3,8,19,39,87,234
round_shots,2700,400,300,300,200,300,200
round_queries,2700,2800,5100,11700,19400,62700,90600
round_k,0,3,8,19,48,104,226
round_shots,3200,400,300,400,300,200
round_queries,3200,3600,6900,19600,38100,73400
round_k,0,4,11,24,63,183
round_shots,3300,400,300,200,300,200,100
round_queries,3300,2800,5100,8200,27300,47800,52900
round_k,0,3,8,20,45,119,264
round_shots,3700,400,300,200,200,200,200
round_queries,3700,3600,6900,9800,22600,48600,100200
round_k,0,4,11,24,56,121,250
round_shots,3300,200,300,300,300,200,200
round_queries,3300,1400,4500,9300,19500,31800,68600
round_k,0,3,7,15,32,79,171
round_shots,2800,300,200,300,400,400,200
round_queries,2800,2100,3000,9300,28400,67600,85400
round_k,0,3,7,15,35,84,213
round_shots,3400,400,300,200,200,200
round_queries,3400,3600,7500,13000,29400,68600
round_k,0,4,12,32,73,171
round_shots,3200,500,400,300,300,200,100
round_queries,3200,4500,10000,19500,40500,54600,58500
round_k,0,4,12,32,67,136,292
round_shots,3000,300,300,400,300,200,200
round_queries,3000,2100,4500,13200,23700,40200,88200
round_k,0,3,7,16,39,100,220
round_shots,3300,400,300,200,200,200,200
round_queries,3300,2800,5100,9800,21400,45800,100200
round_k,0,3,8,24,53,114,250
round_shots,3100,400,300,300,200,200,100
round_queries,3100,2800,5100,12300,21400,46200,52100
round_k,0,3,8,20,53,115,260
round_shots,2500,400,400,300,200,200,200
round_queries,2500,2800,6800,14100,20600,41400,95800
round_k,0,3,8,23,51,103,239
round_shots,2200,400,400,300,300,300,100
round_queries,2200,2800,6800,11700,30900,69300,63700
round_k,0,3,8,19,51,115,318
round_shots,3200,300,200,300,300,200
round_queries,3200,2700,5000,15300,37500,68600
round_k,0,4,12,25,62,171
round_shots,2100,300,300,300,300,400
round_queries,2100,2100,5100,12300,34500,114000
round_k,0,3,8,20,57,142
round_shots,3300,400,300,300,300,300
round_queries,3300,3600,7500,17700,44700,107700
round_k,0,4,12,29,74,179
round_shots,2700,500,300,300,300,400,200
round_queries,2700,3500,5100,12900,27300,78000,83800
round_k,0,3,8,21,45,97,209
round_shots,2900,300,300,300,300,200,100
round_queries,2900,2100,5100,11700,26700,51400,57100
round_k,0,3,8,19,44,128,285
round_shots,2800,400,300,300,200,200,100
round_queries,2800,3600,7500,17100,26600,56200,66100
round_k,0,4,12,28,66,140,330
round_shots,3700,500,300,200,200,200,100
round_queries,3700,4500,7500,11400,23000,47800,56900
round_k,0,4,12,28,57,119,284
round_shots,3200,300,300,300,300,200,200
round_queries,3200,2100,5100,12300,29100,45800,96200
round_k,0,3,8,20,48,114,240
round_shots,3500,500,300,200,200,300,200
round_queries,3500,3500,5100,8200,16600,56700,97400
round_k,0,3,8,20,41,94,243
round_shots,3600,400,300,300,200,200,200
round_queries,3600,2800,5100,12300,17000,35400,77800
round_k,0,3,8,20,42,88,194
round_shots,3100,400,300,300,300,300,100
round_queries,3100,2800,5100,12300,35100,84300,59900
round_k,0,3,8,20,58,140,299
round_shots,2900,400,300,300,300,200,100
round_queries,2900,2800,5100,12300,29100,49000,50500
round_k,0,3,8,20,48,122,252
round_shots,3000,400,400,300,200,200,200
round_queries,3000,2800,6800,11700,15800,36600,78200
round_k,0,3,8,19,39,91,195
round_shots,3600,400,300,200,300,200,200
round_queries,3600,2800,5100,8200,27300,47800,99400
round_k,0,3,8,20,45,119,248
round_shots,3200,500,300,300,200,300,100
round_queries,3200,3500,5100,12900,20200,65700,59500
round_k,0,3,8,21,50,109,297
round_shots,3600,500,400,300,300,200,200
round_queries,3600,3500,6800,12900,27300,43800,97400
round_k,0,3,8,21,45,109,243
round_shots,3000,400,300,300,200,300,100
round_queries,3000,2800,5100,14700,26200,83100,65500
round_k,0,3,8,24,65,138,327
round_shots,3300,300,300,200,300,200,200
round_queries,3300,2100,5100,8200,24900,44200,95400
round_k,0,3,8,20,41,110,238
round_shots,3700,400,300,300,400,500,100
round_queries,3700,2800,5100,11700,32400,94500,51700
round_k,0,3,8,19,40,94,258
round_shots,2900,300,300,200,200,200,200
round_queries,2900,2100,5100,8200,17800,40600,90600
round_k,0,3,8,20,44,101,226
round_shots,2200,400,400,200,200,200,200
round_queries,2200,2800,6800,7800,17400,37800,86600
round_k,0,3,8,19,43,94,216
round_shots,3100,400,300,200,200,200,200
round_queries,3100,2800,5100,8200,18200,37800,84200
round_k,0,3,8,20,45,94,210
round_shots,3000,400,300,200,200,200,200
round_queries,3000,2800,5100,8200,16600,34600,79400
round_k,0,3,8,20,41,86,198
round_shots,3000,500,300,200,200,200,100
round_queries,3000,4500,7500,13000,27800,59000,68900
round_k,0,4,12,32,69,147,344
round_shots,3400,400,400,300,300,200,100
round_queries,3400,2800,6800,12300,26700,49800,53100
round_k,0,3,8,20,44,124,265
round_shots,3700,500,300,300,200,300,100
round_queries,3700,3500,5100,12300,23000,73500,62300
round_k,0,3,8,20,57,122,311
round_shots,2900,300,300,300,300,400,200
round_queries,2900,2100,4500,9900,23700,72400,87400
round_k,0,3,7,16,39,90,218
round_shots,3200,400,400,400,200,300,100
round_queries,3200,2800,6800,16400,19400,65100,52100
round_k,0,3,8,20,48,108,260
round_shots,3000,400,300,200,300,300,100
round_queries,3000,2800,5100,8200,27300,71100,59100
round_k,0,3,8,20,45,118,295
round_shots,3100,300,300,300,300,300,300
round_queries,3100,2100,4500,9300,21900,45300,110700
round_k,0,3,7,15,36,75,184
round_shots,2200,300,200,200,200,200,200,100
round_queries,2200,2100,3000,6200,14200,33000,66200,69100
round_k,0,3,7,15,35,82,165,345
round_shots,2900,300,300,200,300,200,100
round_queries,2900,2100,5100,8200,24900,49800,57300
round_k,0,3,8,20,41,124,286
round_shots,3400,300,300,400,300,300
round_queries,3400,2700,7500,22800,45300,107100
round_k,0,4,12,28,75,178
round_shots,3300,300,400,300,200,200,200
round_queries,3300,2100,6800,12300,21800,45000,98600
round_k,0,3,8,20,54,112,246
round_shots,3700,300,300,200,200,200
round_queries,3700,2700,7500,13800,29000,66600
round_k,0,4,12,34,72,166
round_shots,3000,300,300,300,200,200,200
round_queries,3000,2100,5100,12300,21000,45400,92200
round_k,0,3,8,20,52,113,230
round_shots,3600,400,300,200,200,300,200
round_queries,3600,2800,5100,8200,18200,59100,99000
round_k,0,3,8,20,45,98,247
round_shots,3300,300,300,300,200,200,100
round_queries,3300,2100,5100,14700,29400,63800,70300
round_k,0,3,8,24,73,159,351
round_shots,2200,300,300,200,300,200,200
round_queries,2200,2100,5100,9800,29700,49000,103000
round_k,0,3,8,24,49,122,257
round_shots,2200,300,200,200,300,200,200
round_queries,2200,2100,3000,6200,21300,34200,71800
round_k,0,3,7,15,35,85,179
round_shots,2100,400,400,200,200,300,100
round_queries,2100,2800,6800,8200,17800,60900,50900
round_k,0,3,8,20,44,101,254
round_shots,2300,300,400,300,300,300,200
round_queries,2300,2100,6800,11700,24300,54900,91400
round_k,0,3,8,19,40,91,228
round_shots,3400,400,200,300,400,200,100
round_queries,3400,3600,5000,15300,42800,63400,65700
round_k,0,4,12,25,53,158,328
round_shots,3000,300,400,300,200,300,100
round_queries,3000,2100,6800,12300,22600,77700,55500
round_k,0,3,8,20,56,129,277
round_shots,2600,400,400,200,300,300
round_queries,2600,2800,6800,8200,26700,77100
round_k,0,3,8,20,44,128
round_shots,3100,400,300,300,300,400,100
round_queries,3100,2800,5100,11700,26100,88400,55700
round_k,0,3,8,19,43,110,278
round_shots,2300,400,300,300,200,200,200
round_queries,2300,2800,5100,11700,22200,45800,110600
round_k,0,3,8,19,55,114,276
round_shots,3100,300,300,300,300,300,100
round_queries,3100,2100,5100,11700,24300,57900,54900
round_k,0,3,8,19,40,96,274
round_shots,2400,300,300,300,300,200,100
round_queries,2400,2100,5100,12300,33900,58600,65100
round_k,0,3,8,20,56,146,325
round_shots,2800,300,300,200,200,300,200
round_queries,2800,2100,5100,8200,17800,58500,97000
round_k,0,3,8,20,44,97,242
round_shots,3200,300,400,300,200,200,100
round_queries,3200,2100,6800,14700,25800,56600,57500
round_k,0,3,8,24,64,141,287
round_shots,3400,500,300,300,200,200,200
round_queries,3400,3500,5100,12300,23000,47400,100200
round_k,0,3,8,20,57,118,250
round_shots,2900,300,200,200,300,300
round_queries,2900,2700,5000,11800,39900,95700
round_k,0,4,12,29,66,159
round_shots,3200,400,400,300,300,300,100
round_queries,3200,2800,6800,14100,31500,76500,61700
round_k,0,3,8,23,52,127,308
round_shots,2300,600,400,200,300,200,200,100
round_queries,2300,1800,3600,5000,15300,25000,52200,57100
round_k,0,1,4,12,25,62,130,285
round_shots,2500,400,400,300,300,200,100
round_queries,2500,2800,6800,12300,29100,55400,60300
round_k,0,3,8,20,48,138,301
round_shots,2900,400,300,300,200,200,100
round_queries,2900,2800,5100,12300,23000,52600,60700
round_k,0,3,8,20,57,131,303
round_shots,2200,400,300,200,200,300,200
round_queries,2200,2800,5100,7800,17400,54900,93400
round_k,0,3,8,19,43,91,233
round_shots,3100,400,300,300,300,500,200
round_queries,3100,2800,5100,11700,26700,95500,88600
round_k,0,3,8,19,44,95,221
round_shots,3700,400,300,400,300,500,100
round_queries,3700,2800,5100,15600,29100,109500,59500
round_k,0,3,8,19,48,109,297
round_shots,1900,500,300,200,300,400,100
round_queries,1900,3500,5100,8200,27300,78000,54900
round_k,0,3,8,20,45,97,274
round_shots,2800,400,300,300,200,200,100
round_queries,2800,2800,5100,14700,27800,61800,71700
round_k,0,3,8,24,69,154,358
round_shots,3800,300,400,200,200,200,200
round_queries,3800,2100,6800,8200,17800,35800,78200
round_k,0,3,8,20,44,89,195
round_shots,3400,400,300,300,300,300,200
round_queries,3400,2800,5100,11700,24300,52500,75400
round_k,0,3,8,19,40,87,188
round_shots,3000,300,200,200,200,200,200
round_queries,3000,2700,5000,10200,21800,48600,99400
round_k,0,4,12,25,54,121,248
round_shots,3100,300,300,300,300,200,200
round_queries,3100,2100,5100,11700,23700,36600,73400
round_k,0,3,8,19,39,91,183
round_shots,3200,400,300,200,200,200,200
round_queries,3200,2800,5100,8200,16600,38200,88200
round_k,0,3,8,20,41,95,220
round_shots,2900,400,400,300,300,200,100
round_queries,2900,2800,6800,12300,29100,49800,58700
round_k,0,3,8,20,48,124,293
round_shots,3400,300,500,400,300,200,200
round_queries,3400,2700,9500,16400,28500,44200,93800
round_k,0,4,9,20,47,110,234
round_shots,2100,400,300,300,300,300,200
round_queries,2100,2800,5100,11700,24300,59700,88200
round_k,0,3,8,19,40,99,220
round_shots,2100,400,300,300,200,200,200
round_queries,2100,2800,5100,12300,19400,43800,100600
round_k,0,3,8,20,48,109,251
round_shots,3600,300,300,300,300,200,200
round_queries,3600,2100,5100,11700,24300,41400,91000
round_k,0,3,8,19,40,103,227
round_shots,3000,300,300,200,200,300,200
round_queries,3000,2100,5100,8200,18200,56700,92600
round_k,0,3,8,20,45,94,231
round_shots,3200,400,400,300,300,300,300
round_queries,3200,2800,6800,11700,24300,54900,125100
round_k,0,3,8,19,40,91,208
round_shots,3700,400,300,200,200,300,300
round_queries,3700,2800,5100,8200,16600,54300,119700
round_k,0,3,8,20,41,90,199
round_shots,3000,400,300,200,200,200,200
round_queries,3000,2800,5100,9800,21000,42200,95800
round_k,0,3,8,24,52,105,239
round_shots,2500,400,300,300,200,200,200
round_queries,2500,2800,5100,10500,15000,30200,68600
round_k,0,3,8,17,37,75,171
round_shots,3600,400,300,300,200,200
round_queries,3600,3600,7500,17100,33000,77400
round_k,0,4,12,28,82,193
round_shots,3500,400,400,300,200,300,200
round_queries,3500,2800,6800,12300,17800,57900,93400
round_k,0,3,8,20,44,96,233
round_shots,3100,400,300,200,400,300,200
round_queries,3100,2800,5100,8200,33200,63300,86600
round_k,0,3,8,20,41,105,216
round_shots,3200,400,300,300,300,300,100
round_queries,3200,2800,5100,11700,29100,69900,51100
round_k,0,3,8,19,48,116,255
round_shots,3600,400,300,200,200,200,200
round_queries,3600,2800,5100,8200,18200,41400,96200
round_k,0,3,8,20,45,103,240
round_shots,3300,300,200,200,300,200,100
round_queries,3300,2700,5000,11400,36900,63800,66500
round_k,0,4,12,28,61,159,332
round_shots,2400,400,300,300,500,500,100
round_queries,2400,2800,5100,11700,40500,94500,50900
round_k,0,3,8,19,40,94,254
round_shots,2600,400,300,300,200,200,200
round_queries,2600,2800,5100,12300,19800,41400,96200
round_k,0,3,8,20,49,103,240
round_shots,2600,400,300,300,200,200,100
round_queries,2600,2800,5100,12300,23000,52600,60700
round_k,0,3,8,20,57,131,303
round_shots,2300,400,300,300,200,200,100
round_queries,2300,2800,5100,12300,23000,49400,52500
round_k,0,3,8,20,57,123,262
round_shots,3300,400,300,200,300,400,100
round_queries,3300,2800,5100,8200,27300,91600,48700
round_k,0,3,8,20,45,114,243
round_shots,2700,400,400,300,300,200,300
round_queries,2700,1200,3600,6900,14700,25800,82500
round_k,0,1,4,11,24,64,137
round_shots,3500,400,300,200,200,300,200
round_queries,3500,2800,5100,8200,18200,56700,92600
round_k,0,3,8,20,45,94,231
round_shots,3400,400,400,300,400,300
round_queries,3400,3600,9200,14700,49200,92100
round_k,0,4,11,24,61,153
round_shots,3300,300,400,300,300,200,200
round_queries,3300,2100,6800,12300,29100,45000,96200
round_k,0,3,8,20,48,112,240
round_shots,2900,400,300,300,200,200,100
round_queries,2900,2800,5100,12300,24600,57400,64700
round_k,0,3,8,20,61,143,323
round_shots,2400,300,300,300,300,300,100
round_queries,2400,2100,4500,9900,24300,67500,65900
round_k,0,3,7,16,40,112,329
round_shots,2400,600,300,200,200,200,200
round_queries,2400,4200,5100,8200,16600,38200,86200
round_k,0,3,8,20,41,95,215
round_shots,3200,400,300,300,400,300,100
round_queries,3200,2800,5100,12300,38800,62100,53500
round_k,0,3,8,20,48,103,267
round_shots,2500,300,400,200,400,200,200
round_queries,2500,2100,6800,8200,35600,44600,95400
round_k,0,3,8,20,44,111,238
round_shots,2200,400,300,300,300,200,200
round_queries,2200,2800,5100,11700,26100,41400,86200
round_k,0,3,8,19,43,103,215
round_shots,2100,400,300,500,400,400,200
round_queries,2100,2800,5100,19500,36400,77200,102200
round_k,0,3,8,19,45,96,255
round_shots,2600,300,300,300,300,400,200
