round_shots,1300,400,200,200,100,100,100
round_queries,1300,2800,5000,21400,47900,161900,2073700
round_k,3,12,53,239,809,2682,10368
round_shots,1500,200,200,200,200,100,100
round_queries,1500,1400,5000,16200,64600,133700,2004300
round_k,3,12,40,161,668,2446,10021
round_shots,1200,300,200,100,100,100,200,100
round_queries,1200,2700,6600,13300,40700,132300,963800,7623100
round_k,4,16,66,203,661,2409,10087,38115
round_shots,900,200,200,200,200,100,100,100
round_queries,900,1400,5000,16600,57000,112900,407300,5913300
round_k,3,12,41,142,564,2036,7628,29566
round_shots,1500,200,200,200,100,100,100
round_queries,1500,1800,6600,21000,40500,129500,1858100
round_k,4,16,52,202,647,2335,9290
round_shots,900,300,200,200,200,200,100,100
round_queries,900,2100,5000,19400,72200,320200,610700,7388900
round_k,3,12,48,180,800,3053,11759,36944
round_shots,1500,300,200,200,100,100,100,100
round_queries,1500,2700,8200,30200,48100,161700,578900,7536300
round_k,4,20,75,240,808,2894,10639,37681
round_shots,1000,300,200,200,100,200,100,100
round_queries,1000,2100,5000,16200,31100,191400,454100,7303700
round_k,3,12,40,155,478,2270,8102,36518
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,17400,38900,121700,428500,5956700
round_k,3,12,43,194,608,2142,6688,29783
round_shots,1500,200,200,100,100,100,100,100
round_queries,1500,1400,5000,9100,27500,89100,267700,4429700
round_k,3,12,45,137,445,1338,5097,22148
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,2100,4600,14600,25100,78300,260900,3165100
round_k,3,11,36,125,391,1304,4303,15825
round_shots,1000,300,300,200,300,200,100,100
round_queries,1000,900,2700,6600,31500,82200,161300,2475700
round_k,1,4,16,52,205,806,2996,12378
round_shots,1400,400,200,200,100,200,100
round_queries,1400,2800,5000,18200,39100,263000,2272300
round_k,3,12,45,195,657,2784,11361
round_shots,1300,400,200,200,100,100,200
round_queries,1300,2800,5000,18200,41500,141900,4073400
round_k,3,12,45,207,709,2630,10183
round_shots,800,300,300,200,100,100,200,100
round_queries,800,2100,6900,16600,33700,110300,777400,6449900
round_k,3,11,41,168,551,1943,7547,32249
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,2100,5000,16200,70600,138500,445700,5800100
round_k,3,12,40,176,692,2228,6748,29000
round_shots,1000,300,200,200,200,100,100
round_queries,1000,2100,5000,19800,82200,189500,2317300
round_k,3,12,49,205,947,3579,11586
round_shots,1500,300,200,200,100,100,100
round_queries,1500,2100,5000,17800,38300,125500,1795300
round_k,3,12,44,191,627,2215,8976
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2700,6600,26600,47900,164700,609300,7239100
round_k,4,16,66,239,823,3046,10645,36195
round_shots,1100,300,200,200,200,100,100,100
round_queries,1100,2100,5000,15800,56200,125100,419500,7599900
round_k,3,12,39,140,625,2097,8498,37999
round_shots,1100,200,200,200,200,200,200,100
round_queries,1100,600,1800,6600,26200,118200,461000,4454700
round_k,1,4,16,65,295,1152,5732,22273
round_shots,1300,200,300,200,300,100,100
round_queries,1300,1800,9300,21000,122700,161900,2695900
round_k,4,15,52,204,809,2881,13479
round_shots,1400,400,200,200,100,200,200
round_queries,1400,2800,5000,16600,33900,221800,3744200
round_k,3,12,41,169,554,2316,9360
round_shots,800,200,300,200,100,100,100,100
round_queries,800,600,2700,6600,11500,35500,120500,1756900
round_k,1,4,16,57,177,602,2179,8784
round_shots,900,300,200,200,100,200,100,100
round_queries,900,2100,5000,17800,36500,229800,385900,5677500
round_k,3,12,44,182,574,1929,7477,28387
round_shots,900,300,200,200,200,200,100,100
round_queries,900,2100,5000,15800,62600,260600,529900,7234300
round_k,3,12,39,156,651,2649,9600,36171
round_shots,1500,400,200,300,200,200,300,100
round_queries,1500,2800,5000,24300,55000,213800,1158300,7070700
round_k,3,12,40,137,534,1930,7870,35353
round_shots,1200,300,200,200,100,200,200,100
round_queries,1200,2100,5000,16600,28500,174600,659000,6977300
round_k,3,12,41,142,436,1647,6565,34886
round_shots,900,300,200,200,100,100,100
round_queries,900,2100,5000,17800,38700,129100,2317300
round_k,3,12,44,193,645,2404,11586
round_shots,1300,300,200,200,200,100,100,100
round_queries,1300,2100,4600,15800,64600,155700,543900,6083300
round_k,3,11,39,161,778,2719,9689,30416
round_shots,1200,300,200,200,200,200,100,100
round_queries,1200,2100,5000,19400,65800,243800,381300,6062100
round_k,3,12,48,164,609,1906,6787,30310
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,2100,5000,16600,51800,100900,370300,6220900
round_k,3,12,41,129,504,1851,6923,31104
round_shots,800,300,200,200,200,100,200
round_queries,800,2100,4600,15800,70600,158900,4961000
round_k,3,11,39,176,794,2997,12402
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,16200,28700,90900,282100,3868900
round_k,3,12,40,143,454,1410,4614,19344
round_shots,600,200,200,200,100,100,100,100
round_queries,600,600,1800,6600,13300,41500,137100,2048700
round_k,1,4,16,66,207,685,2497,10243
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,5000,18200,37700,122100,413300,6240300
round_k,3,12,45,188,610,2066,6960,31201
round_shots,1100,300,200,200,100,200,200,100
round_queries,1100,2100,5000,16200,32100,199400,802200,4519500
round_k,3,12,40,160,498,2005,6604,22597
round_shots,1500,300,200,100,100,100,100,100
round_queries,1500,2700,6200,11300,36300,113900,412100,5733700
round_k,4,15,56,181,569,2060,6837,28668
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,2100,4600,15800,30300,95700,340700,5629500
round_k,3,11,39,151,478,1703,6401,28147
round_shots,1300,400,200,200,100,100,100,100
round_queries,1300,2800,5000,16200,35900,117500,433300,7678300
round_k,3,12,40,179,587,2166,8528,38391
round_shots,1200,300,200,200,100,100,100
round_queries,1200,2700,8600,33400,73900,249100,4132100
round_k,4,21,83,369,1245,4780,20660
round_shots,1400,300,200,100,200,100,200,100
round_queries,1400,2100,4600,8700,55400,122900,911800,6499500
round_k,3,11,43,138,614,2279,7547,32497
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,2100,5000,18200,36300,115700,415900,7182700
round_k,3,12,45,181,578,2079,8203,35913
round_shots,1596,288,96,192,96,96,96,96
round_queries,1596,2592,3168,19008,39648,130080,460704,6481632
round_k,4,16,49,206,677,2399,8043,33758
round_shots,900,400,300,200,200,100,100
round_queries,900,2800,8100,20200,89800,184900,2545900
round_k,3,13,50,224,924,3159,12729
round_shots,1200,200,300,200,200,100,300,100
round_queries,1200,600,2700,6200,22200,45300,419700,2589900
round_k,1,4,15,55,226,699,3095,12949
round_shots,900,300,200,200,100,200,100,100
round_queries,900,2100,5000,16200,36700,227400,392700,6724700
round_k,3,12,40,183,568,1963,7451,33623
round_shots,1000,200,200,200,100,200,100
round_queries,1000,1400,5000,18200,39500,242600,2157500
round_k,3,12,45,197,606,2616,10787
round_shots,1300,300,200,200,200,100,200
round_queries,1300,2100,5000,16200,65000,123300,3269400
round_k,3,12,40,162,616,2224,8173
round_shots,800,300,200,200,100,100,200,100,100
round_queries,800,900,1800,6600,13900,41900,253800,501100,7787500
round_k,1,4,16,69,209,634,2505,8728,38937
round_shots,1300,300,200,200,100,100,100
round_queries,1300,2700,6600,23400,49100,164900,2584900
round_k,4,16,58,245,824,3089,12924
round_shots,1400,200,200,200,200,100,100,100
round_queries,1400,1400,5000,19400,63800,106500,369100,5992100
round_k,3,12,48,159,532,1845,6941,29960
round_shots,1200,300,300,200,100,100,100
round_queries,1200,2700,9300,19800,42700,140300,2082900
round_k,4,15,49,213,701,2552,10414
round_shots,1000,300,300,200,200,200,100
round_queries,1000,2100,6900,20600,80600,311800,2940700
round_k,3,11,51,201,779,3589,14703
round_shots,1400,200,200,200,100,100,100
round_queries,1400,1800,6600,23000,50300,176500,2497100
round_k,4,16,57,251,882,3066,12485
round_shots,1000,200,200,200,100,100,100,100
round_queries,1000,1400,5000,19800,40900,141500,515100,6873100
round_k,3,12,49,204,707,2575,8297,34365
round_shots,900,200,300,200,100,200,100,100
round_queries,900,600,2700,8200,17900,111800,229100,2602500
round_k,1,4,20,89,279,1145,4133,13012
round_shots,900,300,200,200,200,100,100,100
round_queries,900,2100,4600,14200,51000,104100,312700,5128500
round_k,3,11,35,127,520,1563,6146,25642
round_shots,1400,300,200,200,200,100,100,100
round_queries,1400,2100,5000,16200,60600,129100,468500,7405300
round_k,3,12,40,151,645,2342,9358,37026
round_shots,1400,300,300,200,100,200,100
round_queries,1400,2100,7500,22600,46700,289800,2384900
round_k,3,12,56,233,724,3106,11924
round_shots,1400,200,200,200,100,100,100
round_queries,1400,1400,5000,19400,42900,139900,2279300
round_k,3,12,48,214,699,2608,11396
round_shots,1100,300,200,200,100,100,100
round_queries,1100,2100,5000,21400,47500,163700,2557500
round_k,3,12,53,237,818,3086,12787
round_shots,1400,300,200,200,100,100,100
round_queries,1400,2700,6200,26600,52700,170900,2451900
round_k,4,15,66,263,854,2975,12259
round_shots,1100,200,200,200,200,200,100,100
round_queries,1100,600,1800,6600,27800,110600,242900,2907300
round_k,1,4,16,69,276,1214,4560,14536
round_shots,1100,200,200,200,200,100,200
round_queries,1100,1400,5000,18200,65000,145900,3533400
round_k,3,12,45,162,729,2206,8833
round_shots,1400,300,200,200,200,100,100,100
round_queries,1400,2100,5000,16600,51800,101700,355300,6224100
round_k,3,12,41,129,508,1776,7102,31120
round_shots,800,200,200,200,200,200,100,100
round_queries,800,1400,4600,16200,51400,204600,386500,5345500
round_k,3,11,40,128,511,1932,6774,26727
round_shots,1000,300,200,100,100,100,100,100
round_queries,1000,2100,4600,8700,26300,85100,288100,4724100
round_k,3,11,43,131,425,1440,5472,23620
round_shots,1596,384,192,192,192,192,96,96
round_queries,1596,2688,4800,15552,47808,182208,372192,5775456
round_k,3,12,40,124,474,1938,6871,30080
round_shots,1200,200,200,200,100,100,100
round_queries,1200,1400,5000,19400,43100,136300,2054100
round_k,3,12,48,215,681,2486,10270
round_shots,1100,300,200,200,300,100,100,100
round_queries,1100,2100,5000,16200,84300,113100,390700,4325700
round_k,3,12,40,140,565,1953,6058,21628
round_shots,1200,200,200,200,200,100,100,100
round_queries,1200,600,1800,6600,28200,60100,197300,2902700
round_k,1,4,16,70,300,986,3463,14513
round_shots,1000,300,200,200,100,300,100,100
round_queries,1000,2100,5000,19800,43300,398700,482700,6930100
round_k,3,12,49,216,664,2413,7670,34650
round_shots,1300,300,200,200,200,200,100
round_queries,1300,2700,6600,25800,115000,399800,2944900
round_k,4,16,64,287,999,3502,14724
round_shots,1596,288,192,192,96,288,96,96
round_queries,1596,2016,4800,19008,40224,382752,389088,4484640
round_k,3,12,49,209,664,2026,6796,23357
round_shots,1596,288,288,192,96,96,192,96
round_queries,1596,2016,6624,14400,23520,74592,515136,3631968
round_k,3,11,37,122,388,1341,4306,18916
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,2100,5000,17400,77800,168700,545500,7542700
round_k,3,12,43,194,843,2727,8793,37713
round_shots,900,300,200,100,100,100,100,100
round_queries,900,2100,5000,8500,26300,79100,274700,4044100
round_k,3,12,42,131,395,1373,5170,20220
round_shots,1200,300,200,200,200,100,200,100
round_queries,1200,2100,5000,16200,71400,155500,1101800,7512100
round_k,3,12,40,178,777,2754,9089,37560
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,16200,31500,107500,339900,5584100
round_k,3,12,40,157,537,1699,6371,27920
round_shots,1300,400,200,100,200,100,100
round_queries,1300,2800,5000,9300,57400,133100,2006100
round_k,3,12,46,143,665,2442,10030
round_shots,1300,300,200,100,100,100,200,100
round_queries,1300,2700,6600,13900,44100,147100,1001000,6093100
round_k,4,16,69,220,735,2502,7936,30465
round_shots,1300,300,200,200,100,200,100
round_queries,1300,2700,6200,22600,43100,260600,2106900
round_k,4,15,56,215,651,2586,10534
round_shots,1000,200,200,200,200,100,100
round_queries,1000,1400,4600,16200,64200,138900,1849300
round_k,3,11,40,160,694,2353,9246
round_shots,1000,200,200,300,100,100,200,100
round_queries,1000,600,1800,9300,13700,42700,271800,2326900
round_k,1,4,15,68,213,679,2978,11634
round_shots,1400,300,200,200,100,100,100,100
