round_shots,1400,1100,300,300,300,200,200
round_queries,1400,3300,3300,7500,21900,36600,83000
round_k,0,1,5,12,36,91,207
round_shots,1000,1300,400,400,200,200,300
round_queries,1000,3900,4400,10800,15000,32600,108900
round_k,0,1,5,13,37,81,181
round_shots,1000,1300,300,300,200,300,200
round_queries,1000,3900,3300,7500,14600,44700,78600
round_k,0,1,5,12,36,74,196
round_shots,1100,1100,400,400,200,200,200
round_queries,1100,3300,4400,10800,15000,35400,83400
round_k,0,1,5,13,37,88,208
round_shots,1400,1000,200,300,200,200,200,100
round_queries,1400,3000,2200,6900,12200,26600,55400,62900
round_k,0,1,5,11,30,66,138,314
round_shots,1100,1200,300,200,300,200,200,100
round_queries,1100,3600,3300,5000,15300,25000,55400,56300
round_k,0,1,5,12,25,62,138,281
round_shots,900,1100,200,300,200,200,200,100
round_queries,900,3300,2600,8100,13400,29400,63800,74500
round_k,0,1,6,13,33,73,159,372
round_shots,1200,1300,300,300,300,200,200
round_queries,1200,3900,3300,7500,18300,33800,70200
round_k,0,1,5,12,30,84,175
round_shots,1300,1200,400,300,400,200,200,100
round_queries,1300,3600,4400,8100,24400,28200,58200,58500
round_k,0,1,5,13,30,70,145,292
round_shots,1300,1100,300,300,300,400,200
round_queries,1300,3300,3300,7500,18900,53200,69000
round_k,0,1,5,12,31,66,172
round_shots,800,1200,300,300,200,200,300
round_queries,800,3600,3300,7500,14600,31400,101700
round_k,0,1,5,12,36,78,169
round_shots,1900,1300,300,300,400,300,300,100
round_queries,1900,3900,3300,7500,22800,36300,74100,59300
round_k,0,1,5,12,28,60,123,296
round_shots,1200,1400,300,300,300,200,200,100
round_queries,1200,4200,3300,7500,17700,29000,58200,64500
round_k,0,1,5,12,29,72,145,322
round_shots,1300,1100,300,400,200,200,200,100
round_queries,1300,3300,3300,10800,12200,25000,55000,61100
round_k,0,1,5,13,30,62,137,305
round_shots,600,1200,500,200,300,200,200,100
round_queries,600,3600,5500,5400,16500,26600,53800,61900
round_k,0,1,5,13,27,66,134,309
round_shots,900,1200,300,300,300,300,200
round_queries,900,3600,3300,7500,18300,48900,76600
round_k,0,1,5,12,30,81,191
round_shots,2000,1100,400,500,200,200,300,100
round_queries,2000,3300,4400,13500,14600,29800,92100,69300
round_k,0,1,5,13,36,74,153,346
round_shots,900,1300,300,200,500,300,300,100
round_queries,900,3900,3300,5000,26500,41100,91500,73100
round_k,0,1,5,12,26,68,152,365
round_shots,1200,1100,400,300,200,200,200,100
round_queries,1200,3300,4400,8100,13000,31400,67800,75900
round_k,0,1,5,13,32,78,169,379
round_shots,1500,1100,400,300,200,200,200,100
round_queries,1500,3300,4400,8100,12600,27800,63400,72100
round_k,0,1,5,13,31,69,158,360
round_shots,1400,1300,300,300,200,200,200,100
round_queries,1400,3900,3300,7500,12200,27000,61000,67300
round_k,0,1,5,12,30,67,152,336
