round_shots,100,300,100,100,100,100,100,100,100
round_queries,100,900,2300,9700,45900,226300,1371700,6894300,34906900
round_k,0,1,11,48,229,1131,6858,34471,174534
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10500,50900,241500,1213700,6034100,30097100
round_k,0,1,3,12,52,254,1207,6068,30170,150485
round_shots,100,200,200,100,100,100,100,100,100,100
round_queries,100,600,1400,3900,22100,111100,560700,2817300,14292900,72278900
round_k,0,1,3,19,110,555,2803,14086,71464,361394
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,62700,317300,1564900,7926100,40160900
round_k,0,1,3,14,63,313,1586,7824,39630,200804
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12300,58500,292900,1478300,7362300,37256100
round_k,0,1,3,13,61,292,1464,7391,36811,186280
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,900,3100,14500,67100,327900,1651500,8312300,41868700
round_k,0,1,4,15,72,335,1639,8257,41561,209343
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,53500,258100,1301900,6580100,33291500
round_k,0,1,3,13,59,267,1290,6509,32900,166457
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13100,61700,304500,1532900,7741100,39189100
round_k,0,1,3,14,65,308,1522,7664,38705,195945
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12100,59300,290100,1446300,7261100,36861500
round_k,0,1,3,13,60,296,1450,7231,36305,184307
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,9900,46300,231100,1152700,5791900,29350700
round_k,0,1,3,12,49,231,1155,5763,28959,146753
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10900,52300,253300,1211900,6022700,30244100
round_k,0,1,3,11,54,261,1266,6059,30113,151220
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7500,34700,173100,869100,4422100,22074300
round_k,0,2,9,37,173,865,4345,22110,110371
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12100,60500,299300,1500300,7517700,38038100
round_k,0,1,3,13,60,302,1496,7501,37588,190190
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11100,51500,254100,1270500,6397700,32492700
round_k,0,1,3,12,55,257,1270,6352,31988,162463
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1900,7900,37900,184700,916900,4607500,23305700
round_k,0,1,9,39,189,923,4584,23037,116528
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,61300,302500,1520100,7692300,38917500
round_k,0,1,3,13,64,306,1512,7600,38461,194587
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,11900,59700,289900,1423500,7178100,36365100
round_k,0,1,3,14,59,298,1449,7117,35890,181825
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1700,6900,30900,151500,754900,3806100,19265900
round_k,0,1,8,34,154,757,3774,19030,96329
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,700,2700,11900,56500,280500,1411900,7131900,36228300
round_k,0,1,3,13,59,282,1402,7059,35659,181141
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12900,62900,308500,1555300,7839900,39597500
round_k,0,1,3,13,64,314,1542,7776,39199,197987
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,14900,70100,339700,1692300,8559700,42855500
round_k,0,1,3,15,74,350,1698,8461,42798,214277
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12300,58700,293100,1483700,7395100,37513900
round_k,0,1,3,13,61,293,1465,7418,36975,187569
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7900,37500,182500,907500,4548700,22981700
round_k,0,1,9,39,187,912,4537,22743,114908
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,700,2700,11500,55300,273500,1361100,6833100,34386900
round_k,0,1,3,13,57,276,1367,6805,34165,171934
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,60100,288500,1444900,7268100,36699700
round_k,0,1,3,13,64,300,1442,7224,36340,183498
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12700,63900,322700,1613500,8117900,40959300
round_k,0,1,3,13,63,319,1613,8067,40589,204796
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2100,9100,43900,213700,1070700,5394700,27359900
round_k,0,1,3,10,45,219,1068,5353,26973,136799
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,14500,71100,347700,1745300,8837500,44779700
round_k,0,1,3,14,72,355,1738,8726,44187,223898
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12100,58500,293700,1480100,7475100,37758500
round_k,0,1,3,13,60,292,1468,7400,37375,188792
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,2100,9700,47300,235100,1177900,5901700,29870700
round_k,0,1,10,48,236,1175,5889,29508,149353
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,8900,41100,198300,987700,4986500,25018300
round_k,0,1,3,11,44,205,991,4938,24932,125091
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13900,64300,320900,1570700,7918500,39939700
round_k,0,1,3,14,69,321,1604,7853,39592,199698
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,11900,56100,274700,1380700,6993300,35482700
round_k,0,1,3,12,59,280,1373,6903,34966,177413
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15500,73100,364100,1842500,9284300,46698700
round_k,0,1,4,16,77,365,1820,9212,46421,233493
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12300,59700,297500,1504100,7626100,38653900
round_k,0,1,3,13,61,298,1487,7520,38130,193269
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12100,58900,292700,1467300,7425500,37537900
round_k,0,1,3,14,60,294,1463,7336,37127,187689
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2300,10100,47700,237700,1182900,5999300,30380700
round_k,0,2,11,50,238,1188,5914,29996,151903
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,13100,63700,319500,1595700,8022700,40694900
round_k,0,1,3,13,65,318,1597,7978,40113,203474
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,12700,60900,302500,1505700,7637300,38417100
round_k,0,1,3,14,63,304,1512,7528,38186,192085
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,57700,285900,1357700,6614100,33224900
