round_shots,100,200,200,500,100,100,100
round_queries,100,600,2200,16500,25900,92100,1919300
round_k,1,5,16,129,460,1995,9596
round_shots,200,100,100,100,200,200,100,100
round_queries,200,300,900,2900,19000,63000,175300,3608900
round_k,1,4,14,47,157,876,3575,18044
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7400,12700,44100,153900,3420500
round_k,1,4,18,63,220,769,3347,17102
round_shots,200,100,100,200,100,400,100,100
round_queries,200,300,900,5800,9500,131600,101100,1991700
round_k,1,4,14,47,164,505,2044,9958
round_shots,200,200,100,200,100,200,100,100
round_queries,200,600,900,5400,11900,79800,185300,5419300
round_k,1,4,13,59,199,926,3168,27096
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,900,2900,9500,71800,125500,1830100
round_k,1,4,14,47,179,627,2251,9150
round_shots,200,200,200,400,100,100,100
round_queries,200,600,2600,15600,26700,106100,2263900
round_k,1,6,19,133,530,2298,11319
round_shots,200,200,300,400,100,100,100
round_queries,200,600,3900,16400,27100,97300,2034500
round_k,1,6,20,135,486,2078,10172
round_shots,200,100,100,300,400,100,100,100
round_queries,200,300,900,8700,38000,66700,250300,6091300
round_k,1,4,14,47,333,1251,5655,30456
round_shots,100,100,200,200,200,100,100,100
round_queries,100,300,1800,5400,17800,47100,170700,3998700
round_k,1,4,13,44,235,853,3876,19993
round_shots,200,200,100,100,400,100,100,100
round_queries,200,600,1100,3300,45200,36300,121700,2146100
round_k,1,5,16,56,181,608,2268,10730
round_shots,200,300,200,300,200,100,100,100
round_queries,200,900,1800,11700,23400,60500,229300,5473100
round_k,1,4,19,58,302,1146,5152,27365
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,2200,7400,27800,52500,181500,3521900
round_k,1,5,18,69,262,907,3466,17609
round_shots,200,200,100,600,100,100,100
round_queries,200,600,1100,21000,30100,108900,2281900
round_k,1,5,17,150,544,2312,11409
round_shots,200,200,200,300,100,100,100,100
round_queries,200,600,1800,9900,11300,42100,165300,3706900
round_k,1,4,16,56,210,826,3613,18534
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,2200,10200,16900,60300,220700,5308500
round_k,1,5,25,84,301,1103,5125,26542
round_shots,100,100,200,100,200,300,200,100
round_queries,100,300,1800,3500,24200,146700,317000,4066100
round_k,1,4,17,60,244,792,3961,20330
round_shots,100,200,200,100,100,100,200,100
round_queries,100,600,1800,3700,12300,39700,283800,4436300
round_k,1,4,18,61,198,709,4445,22181
round_shots,300,100,100,100,500,100,100
round_queries,300,300,900,2700,45500,73700,1429900
round_k,1,4,13,45,368,1513,7149
round_shots,200,100,100,200,200,200,100,100
round_queries,200,300,900,5400,19000,67400,193100,3695900
round_k,1,4,13,47,168,965,3627,18479
round_shots,100,200,100,100,100,200,100,100
round_queries,100,600,900,2900,8700,59800,103700,1920300
round_k,1,4,14,43,149,518,2255,9601
round_shots,100,200,200,600,100,100,100
round_queries,100,600,2200,19800,27500,100500,2062700
round_k,1,5,16,137,502,2108,10313
round_shots,200,200,100,200,100,100,100,100
round_queries,200,600,1100,7000,14500,43700,172500,2944500
round_k,1,5,17,72,218,862,2602,14722
round_shots,300,200,200,100,100,200,200,100
round_queries,300,600,2200,4500,16300,98600,313000,4528900
round_k,1,5,22,81,246,782,4434,22644
round_shots,200,200,200,500,100,100,100,100
round_queries,200,600,2200,18500,11100,42300,146700,3159300
round_k,1,5,18,55,211,733,3130,15796
round_shots,200,200,200,600,100,100,100
round_queries,200,600,2600,31800,45900,178300,4164900
round_k,1,6,26,229,891,4013,20824
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,2700,18200,31500,111300,2956700
round_k,1,4,13,45,157,556,1775,14783
round_shots,200,200,200,100,100,500,100,100
round_queries,200,600,2200,3500,10700,186500,322300,6697500
round_k,1,5,17,53,186,1611,6184,33487
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1100,3300,10300,32900,127500,2392100
round_k,1,5,16,51,164,637,2455,11960
round_shots,200,200,200,200,200,100,100
round_queries,200,600,2600,10600,34600,93900,1918700
round_k,1,6,26,86,469,2032,9593
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,900,5400,17000,25500,91700,1754700
round_k,1,4,13,42,127,458,1892,8773
round_shots,200,200,200,500,100,100,100
round_queries,200,600,2200,18500,29100,98300,2502500
round_k,1,5,18,145,491,2124,12512
round_shots,100,200,200,300,100,100,100,100
round_queries,100,600,2200,11700,12900,48100,172500,3949100
round_k,1,5,19,64,240,862,3829,19745
round_shots,200,200,200,100,400,100,100,100
round_queries,200,600,1800,3100,37200,68700,266300,6611500
round_k,1,4,15,46,343,1331,6071,33057
round_shots,200,300,200,300,100,100,100
round_queries,200,900,2200,15900,32300,115900,2459100
round_k,1,5,26,161,579,2483,12295
round_shots,200,100,200,500,200,100,100,100
round_queries,200,300,1800,18500,22600,45500,187500,4338700
round_k,1,4,18,56,227,937,4146,21693
round_shots,100,100,100,200,500,100,100,100
round_queries,100,300,900,5400,43500,66900,257900,6225900
round_k,1,4,13,43,334,1289,5807,31129
round_shots,200,100,200,100,100,300,100,100
round_queries,200,300,1800,3700,11300,113700,251900,5540100
round_k,1,4,18,56,189,1259,5192,27700
round_shots,200,200,200,200,200,100,100
round_queries,200,600,2600,9000,33400,86900,1789100
round_k,1,6,22,83,434,1880,8945
round_shots,200,100,100,200,200,400,100,100
round_queries,200,300,900,5800,27400,173200,135500,2362100
round_k,1,4,14,68,216,677,2559,11810
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,900,5400,16600,38500,143100,3063700
round_k,1,4,13,41,192,715,3054,15318
round_shots,200,200,200,300,100,100,100,100
round_queries,200,600,1800,8700,9100,30700,103700,2077700
round_k,1,4,14,45,153,518,2122,10388
round_shots,200,200,100,200,100,100,100,100
round_queries,200,600,900,5400,8300,28700,94500,1923500
round_k,1,4,13,41,143,472,1983,9617
round_shots,200,100,100,100,200,400,100,100
round_queries,200,300,900,2700,17000,117200,225100,5120700
round_k,1,4,13,42,146,1125,4878,25603
round_shots,200,200,100,500,100,100,100,100
round_queries,200,600,1300,20500,12700,40100,152300,3368700
round_k,1,6,20,63,200,761,3323,16843
round_shots,200,200,200,500,100,100,100,100
round_queries,200,600,2600,22500,14100,43500,155100,3501300
round_k,1,6,22,70,217,775,3427,17506
round_shots,200,200,100,500,100,100,100,100
round_queries,200,600,1300,19500,13300,44100,162500,3729500
round_k,1,6,19,66,220,812,3640,18647
round_shots,300,200,200,100,200,400,100
round_queries,300,600,2200,3900,23800,162800,1590700
round_k,1,5,19,59,203,1677,7953
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,2200,7800,26600,67100,261300,6580500
round_k,1,5,19,66,335,1306,6057,32902
round_shots,200,200,200,400,100,100,100
round_queries,200,600,2200,18800,33500,110500,2393700
round_k,1,5,23,167,552,2434,11968
round_shots,200,200,300,400,100,100,100
round_queries,200,600,3300,17200,30100,105700,2179300
round_k,1,5,21,150,528,2214,10896
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,1100,3300,20600,65800,178100,4091700
round_k,1,5,16,51,164,890,4002,20458
round_shots,200,200,200,100,500,100,100,100
round_queries,200,600,1800,2700,40500,66500,237700,5683100
round_k,1,4,13,40,332,1188,5289,28415
round_shots,200,200,200,500,100,100,100,100
round_queries,200,600,2200,20500,12700,48500,200300,4605300
round_k,1,5,20,63,242,1001,4388,23026
round_shots,200,100,200,400,100,100,100,100
round_queries,200,300,1800,11600,9100,33700,129900,2818300
round_k,1,4,14,45,168,649,2805,14091
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,900,2900,9500,32900,121700,2096100
round_k,1,4,14,47,164,608,2217,10480
round_shots,200,100,100,200,400,100,100,100
round_queries,200,300,900,5400,33200,56700,210300,4989700
round_k,1,4,13,41,283,1051,4728,24948
round_shots,200,200,100,100,200,100,100,100
round_queries,200,600,1100,3700,24600,39500,132700,2563300
round_k,1,5,18,61,197,663,2598,12816
round_shots,200,100,100,200,300,100,100
round_queries,200,300,900,5800,37500,72900,1447900
round_k,1,4,14,62,364,1528,7239
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,3300,10900,40500,122300,2420300
round_k,1,5,16,54,202,611,2469,12101
round_shots,200,100,200,100,300,100,100,100
round_queries,200,300,1800,3900,35700,38700,139900,2859300
round_k,1,4,19,59,193,699,2880,14296
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,8700,19800,47900,188900,4451100
round_k,1,4,14,49,239,944,4281,22255
round_shots,200,100,200,500,100,100,100
round_queries,200,300,1800,21500,34100,133700,2958900
round_k,1,4,21,170,668,2935,14794
round_shots,100,200,200,200,300,100,100,100
round_queries,100,600,1800,6200,39300,39900,144300,2599700
round_k,1,4,15,65,199,721,2707,12998
round_shots,200,100,200,200,300,100,100
round_queries,200,300,1800,7400,51300,109700,1902700
round_k,1,4,18,85,548,2010,9513
round_shots,200,200,100,100,300,300,100,100
round_queries,200,600,1100,3300,30900,132900,286300,6258900
round_k,1,5,16,51,221,1431,5923,31294
round_shots,200,200,300,200,300,100,100
round_queries,200,600,3900,9000,42900,81100,1493900
round_k,1,6,22,71,405,1614,7469
round_shots,200,200,200,100,200,100,100
round_queries,200,600,2200,4500,29800,77500,1553300
round_k,1,5,22,74,387,1654,7766
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,6200,21400,50500,197500,4716900
round_k,1,4,15,53,252,987,4485,23584
round_shots,200,100,200,400,200,100,100
round_queries,200,300,1800,14000,47800,125700,2792300
round_k,1,4,17,119,628,2776,13961
round_shots,100,200,200,100,100,100,100,100
round_queries,100,600,2200,3900,13500,52100,160100,3310500
