round_shots,200,200,200,200
round_queries,200,600,2200,32600
round_k,1,5,25,81
round_shots,100,200,100,100
round_queries,100,600,1300,39900
round_k,1,6,22,199
round_shots,200,100,200,300
round_queries,200,300,1800,39900
round_k,1,4,16,66
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,27500
round_k,1,4,13,41,137
round_shots,200,100,100,300
round_queries,200,300,900,35100
round_k,1,4,13,58
round_shots,100,200,100,200,100
round_queries,100,600,1100,7400,50700
round_k,1,5,18,56,253
round_shots,200,200,100,200,100
round_queries,200,600,1100,6600,45300
round_k,1,5,16,66,226
round_shots,100,100,100,200
round_queries,100,300,900,42200
round_k,1,4,15,105
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,27700
round_k,1,4,13,44,138
round_shots,200,200,100,100,100
round_queries,200,600,900,3100,68100
round_k,1,4,15,55,340
round_shots,200,100,200,200,100
round_queries,200,300,1800,8200,65900
round_k,1,4,20,72,329
round_shots,200,200,200,100
round_queries,200,600,2600,18900
round_k,1,6,22,94
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,31500
round_k,1,4,16,51,157
round_shots,200,200,300,300,100
round_queries,200,600,3300,11700,44500
round_k,1,5,19,63,222
round_shots,200,100,100,500,100
round_queries,200,300,900,15500,29100
round_k,1,4,15,48,145
round_shots,200,100,100,200,100
round_queries,200,300,900,5800,62700
round_k,1,4,14,73,313
round_shots,200,100,100,500,100
round_queries,200,300,900,14500,27900
round_k,1,4,14,46,139
round_shots,200,200,100,100,100
round_queries,200,600,1300,4500,64500
round_k,1,6,22,71,322
round_shots,200,100,200,300
round_queries,200,300,1800,33300
round_k,1,4,16,55
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,28700
round_k,1,4,13,41,143
round_shots,200,100,200,300
round_queries,200,300,1800,34500
round_k,1,4,18,57
round_shots,100,200,100,200
round_queries,100,600,1300,36200
round_k,1,6,21,90
round_shots,200,100,400,300,100
round_queries,200,300,3600,9300,29700
round_k,1,4,15,49,148
round_shots,200,300,200,200
round_queries,200,900,2200,27800
round_k,1,5,22,69
round_shots,200,200,100,500,100
round_queries,200,600,1300,22500,52700
round_k,1,6,22,70,263
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,30300
round_k,1,4,13,50,151
round_shots,200,200,100,400
round_queries,200,600,1100,40400
round_k,1,5,16,50
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,39100
round_k,1,4,13,47,195
round_shots,200,200,100,100,100
round_queries,200,600,1100,4100,65100
round_k,1,5,20,64,325
round_shots,200,200,100,300
round_queries,200,600,1100,38100
round_k,1,5,18,63
round_shots,200,200,100,300,100
round_queries,200,600,1300,11700,35700
round_k,1,6,19,59,178
round_shots,200,100,100,400
round_queries,200,300,900,41200
round_k,1,4,14,51
round_shots,200,200,200,200
round_queries,200,600,2600,34200
round_k,1,6,28,85
round_shots,200,100,100,100
round_queries,200,300,900,22100
round_k,1,4,14,110
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,39500
round_k,1,4,15,50,197
round_shots,200,200,100,300
round_queries,200,600,1300,36900
round_k,1,6,19,61
round_shots,200,100,100,300
round_queries,200,300,900,36900
round_k,1,4,13,61
round_shots,200,200,100,200
round_queries,200,600,1100,29800
round_k,1,5,17,74
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,48900
round_k,1,4,15,50,244
round_shots,200,200,100,400,100
round_queries,200,600,900,10800,27700
round_k,1,4,13,42,138
round_shots,200,100,200,200,100
round_queries,200,300,1800,7000,39500
round_k,1,4,17,53,197
round_shots,200,200,100,300,100
round_queries,200,600,900,8700,56300
round_k,1,4,14,49,281
round_shots,100,100,100,200,100
round_queries,100,300,900,5400,56500
round_k,1,4,13,70,282
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,29100
round_k,1,4,13,47,145
round_shots,200,100,100,100
round_queries,200,300,900,21500
round_k,1,4,15,107
round_shots,200,100,200,200,100
round_queries,200,300,1800,8200,53300
round_k,1,4,20,61,266
round_shots,200,200,100,200,100
round_queries,200,600,1100,7400,57700
round_k,1,5,18,59,288
round_shots,200,100,100,400,100
round_queries,200,300,900,10800,34100
round_k,1,4,13,42,170
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,40700
round_k,1,4,13,56,203
round_shots,200,100,100,400
round_queries,200,300,900,43600
round_k,1,4,13,54
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,38900
round_k,1,4,15,52,194
round_shots,200,200,200,300,100
round_queries,200,600,2200,12900,56500
round_k,1,5,21,67,282
round_shots,200,100,100,200,100
round_queries,200,300,900,6200,45500
round_k,1,4,15,63,227
round_shots,200,200,100,100,100
round_queries,200,600,1100,3500,66900
round_k,1,5,17,54,334
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,37700
round_k,1,4,14,48,188
round_shots,200,200,100,200,100
round_queries,200,600,1300,8200,75700
round_k,1,6,20,74,378
round_shots,200,200,200,200,100
round_queries,200,600,1800,6600,46100
round_k,1,4,16,53,230
round_shots,200,200,100,200
round_queries,200,600,1100,33400
round_k,1,5,20,83
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,47900
round_k,1,4,14,57,239
round_shots,200,100,200,100,100
round_queries,200,300,1800,2900,35100
round_k,1,4,14,48,175
round_shots,100,100,100,300,100
round_queries,100,300,900,9300,69500
round_k,1,4,15,48,347
round_shots,200,200,100,200,100
round_queries,200,600,900,5400,34900
round_k,1,4,13,43,174
round_shots,200,100,100,400
round_queries,200,300,900,44400
round_k,1,4,16,55
round_shots,200,100,200,100
round_queries,200,300,1800,30900
round_k,1,4,20,154
round_shots,200,200,200,100
round_queries,200,600,2600,28300
round_k,1,6,28,141
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,28900
round_k,1,4,13,47,144
round_shots,200,200,200,500,100
round_queries,200,600,2200,16500,34900
round_k,1,5,16,50,174
round_shots,200,100,100,300,100
round_queries,200,300,900,8700,59300
round_k,1,4,14,48,296
round_shots,200,200,100,200
round_queries,200,600,1300,27000
round_k,1,6,20,67
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,30500
round_k,1,4,13,44,152
round_shots,200,200,200,300,100
round_queries,200,600,2600,14100,59500
round_k,1,6,23,86,297
round_shots,200,200,100,200,100
round_queries,200,600,1100,6600,54700
round_k,1,5,16,56,273
round_shots,100,200,100,300,100
round_queries,100,600,1300,11700,57500
round_k,1,6,19,62,287
round_shots,100,200,100,100,100
round_queries,100,600,1300,3900,51300
round_k,1,6,19,64,256
round_shots,200,100,200,200,100
round_queries,200,300,1800,5800,56900
round_k,1,4,14,45,284
round_shots,200,100,200,200
round_queries,200,300,1800,28600
round_k,1,4,21,71
round_shots,200,200,200,300,100
round_queries,200,600,1800,11100,38700
round_k,1,4,18,64,193
round_shots,200,100,200,200,100
round_queries,200,300,1800,7400,58100
round_k,1,4,18,65,290
round_shots,200,200,100,400,100
round_queries,200,600,1100,14000,31500
round_k,1,5,17,52,157
round_shots,200,200,100,200
round_queries,200,600,1100,29800
round_k,1,5,16,74
round_shots,100,100,200,200,100
round_queries,100,300,1800,7400,52700
round_k,1,4,18,57,263
round_shots,200,200,100,200
round_queries,200,600,1300,29000
round_k,1,6,20,72
round_shots,200,200,100,200
round_queries,200,600,1300,27000
round_k,1,6,20,67
round_shots,200,200,400,400,100
round_queries,200,600,3600,10800,66500
round_k,1,4,13,93,332
round_shots,200,200,200,200
round_queries,200,600,2600,31400
round_k,1,6,22,78
round_shots,200,200,200,200,100
round_queries,200,600,1800,5800,36300
round_k,1,4,14,49,181
round_shots,100,100,200,300,100
round_queries,100,300,1800,8700,26700
round_k,1,4,14,44,133
round_shots,200,100,200,100,100
round_queries,200,300,1800,3700,52500
round_k,1,4,18,55,262
round_shots,100,200,200,400,100
round_queries,100,600,2600,18000,44100
round_k,1,6,22,73,220
round_shots,200,200,200,100
round_queries,200,600,2200,21500
round_k,1,5,19,107
round_shots,200,100,100,400
round_queries,200,300,900,38800
round_k,1,4,13,48
round_shots,200,100,100,200
round_queries,200,300,900,31800
round_k,1,4,16,79
round_shots,200,100,200,100
round_queries,200,300,1800,25300
round_k,1,4,17,126
round_shots,100,200,200,100,100
round_queries,100,600,2200,4300,52900
round_k,1,5,21,67,264
round_shots,200,100,200,400,100
round_queries,200,300,1800,13200,30300
round_k,1,4,16,50,151
round_shots,200,200,100,400,100
round_queries,200,600,1300,15600,44500
round_k,1,6,19,61,222
round_shots,200,100,200,100,100
round_queries,200,300,1800,2900,29300
round_k,1,4,14,46,146
round_shots,200,100,100,300
round_queries,200,300,900,32700
round_k,1,4,13,54
round_shots,100,100,100,400,100
round_queries,100,300,900,11600,27900
round_k,1,4,14,46,139
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,35700
round_k,1,4,15,55,178
round_shots,300,100,300,100
round_queries,300,300,2700,22900
round_k,1,4,14,114
round_shots,200,100,100,300,100
round_queries,200,300,900,9300,33500
round_k,1,4,15,48,167
round_shots,200,200,100,400
round_queries,200,600,900,38800
round_k,1,4,14,48
round_shots,200,200,200,300,100
round_queries,200,600,2600,14100,48100
round_k,1,6,23,70,240
round_shots,100,200,300,100
round_queries,100,600,3300,32700
round_k,1,5,19,163
round_shots,100,100,100,400
round_queries,100,300,900,40400
round_k,1,4,15,50
round_shots,100,100,500,300,100
round_queries,100,300,4500,8100,43900
round_k,1,4,13,64,219
round_shots,300,200,100,500,100
round_queries,300,600,1100,18500,34500
round_k,1,5,18,57,172
round_shots,200,100,200,100,100
round_queries,200,300,1800,4300,63500
round_k,1,4,21,78,317
round_shots,100,100,100,200,100
round_queries,100,300,900,6200,65300
round_k,1,4,15,51,326
round_shots,200,100,200,400,100
round_queries,200,300,1800,11600,27900
round_k,1,4,14,46,139
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,41100
round_k,1,4,16,53,205
round_shots,200,200,100,100,100
round_queries,200,600,1300,4300,42900
round_k,1,6,21,71,214
round_shots,200,100,100,200
