round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6300,29700,150300
round_k,0,1,7,31,148,751
round_shots,200,100,100,100,100,100
round_queries,200,700,3500,16100,81900,415100
round_k,0,3,17,80,409,2075
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,22300,116900,604500
round_k,0,1,5,23,111,584,3022
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,30100,147300,767300
round_k,0,1,6,29,150,736,3836
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6500,30300,152700
round_k,0,1,7,32,151,763
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,24700,126300,657700
round_k,0,1,5,26,123,631,3288
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24100,125900,657700
round_k,0,1,6,25,120,629,3288
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24500,124100,626700
round_k,0,1,6,26,122,620,3133
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,24300,125900,654300
round_k,0,1,5,24,121,629,3271
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24100,117300,579300
round_k,0,1,6,25,120,586,2896
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,22900,101700,504300
round_k,0,1,5,23,114,508,2521
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,7100,31500,160700
round_k,0,1,7,35,157,803
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,24100,124100,649700
round_k,0,1,6,25,120,620,3248
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18900,94300,482300
round_k,0,1,5,19,94,471,2411
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,7100,33500,175100
round_k,0,1,7,35,167,875
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3700,18700,94900,494500
round_k,0,1,4,18,93,474,2472
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6100,30100,152300
round_k,0,1,7,30,150,761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,26900,139700,722900
round_k,0,1,6,29,134,698,3614
round_shots,300,200,100,100,100,100
round_queries,300,600,1500,6500,30700,150500
round_k,0,1,7,32,153,752
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20900,102500,532100
round_k,0,1,5,20,104,512,2660
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,26300,133100,688500
round_k,0,1,6,26,131,665,3442
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,24100,124100,644900
round_k,0,1,5,24,120,620,3224
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,24100,124100,644900
round_k,0,1,6,25,120,620,3224
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,32500,160700
round_k,0,1,6,31,162,803
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,4900,23500,119100,617100
round_k,0,1,6,24,117,595,3085
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,116300,605100
round_k,0,1,5,24,111,581,3025
round_shots,200,200,100,100,100,100
round_queries,200,600,1300,6300,32300,162100
round_k,0,1,6,31,161,810
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6100,26300,127700,644700
round_k,0,1,6,30,131,638,3223
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4300,20900,106500,546100
round_k,0,1,5,21,104,532,2730
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15700,78900,380300
round_k,0,1,4,17,78,394,1901
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,5300,27100,140100
round_k,0,1,6,26,135,700
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,4700,22100,108700,559500
round_k,0,1,5,23,110,543,2797
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,29500,152700
round_k,0,1,6,30,147,763
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5500,27300,139700,731100
round_k,0,1,6,27,136,698,3655
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,28900,147500,761900
round_k,0,1,6,30,144,737,3809
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6300,29700,146900,768700
round_k,0,1,6,31,148,734,3843
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,23900,119700,618900
round_k,0,1,6,25,119,598,3094
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30500,154100
round_k,0,1,6,30,152,770
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6500,31100,159300
round_k,0,1,6,32,155,796
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,7300,36100,183500
round_k,0,1,7,36,180,917
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1500,6100,27700,135100,691900
round_k,0,1,7,30,138,675,3459
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30700,187300
round_k,0,1,6,30,153,936
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6500,33300,171100
round_k,0,1,6,32,166,855
round_shots,300,200,100,100,100,100
round_queries,300,600,1500,6300,29900,149700
round_k,0,1,7,31,149,748
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30700,157100
round_k,0,1,6,31,153,785
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30900,153700
round_k,0,1,6,30,154,768
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6900,33300,169300
round_k,0,1,7,34,166,846
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24700,127500,632500
round_k,0,1,6,25,123,637,3162
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24700,125700,661100
round_k,0,1,5,25,123,628,3305
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,24100,122700,638100
round_k,0,1,6,25,120,613,3190
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,24100,108500,551500
round_k,0,1,5,24,120,542,2757
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30300,156500
round_k,0,1,6,30,151,782
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,20700,107100,551100
round_k,0,1,5,23,103,535,2755
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22900,111700,582500
round_k,0,1,5,24,114,558,2912
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22900,117700,611100
round_k,0,1,5,24,114,588,3055
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22300,106500,523300
round_k,0,1,5,23,111,532,2616
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,4900,23100,115100,596100
round_k,0,1,6,24,115,575,2980
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30100,157100
round_k,0,1,6,31,150,785
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25700,133500,703700
round_k,0,1,5,25,128,667,3518
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,28700,148900
round_k,0,1,6,31,143,744
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,26100,134100,687300
round_k,0,1,6,29,130,670,3436
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,21700,96100,456700
round_k,0,1,5,24,108,480,2283
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6100,30300,148700
round_k,0,1,6,30,151,743
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24100,126300,657700
round_k,0,1,5,25,120,631,3288
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,25100,129500,671900
round_k,0,1,6,25,125,647,3359
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3700,18700,94700,498500
round_k,0,1,4,18,93,473,2492
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25100,128300,671100
round_k,0,1,5,25,125,641,3355
round_shots,200,200,100,100,100,100
round_queries,200,600,1300,6300,31100,160300
round_k,0,1,6,31,155,801
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,7300,36900,188300
round_k,0,1,7,36,184,941
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,23700,116700,605100
round_k,0,1,6,25,118,583,3025
round_shots,200,100,100,100,100,100
