round_shots,400,200,100,100,100
round_queries,400,1000,2500,7900,142700
round_k,2,12,39,155,713
round_shots,500,200,100,100,100
round_queries,500,1400,3100,12100,231900
round_k,3,15,60,245,1159
round_shots,600,200,100,200,100
round_queries,600,1000,1900,13400,176700
round_k,2,9,33,194,883
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,8900,27500,594500
round_k,2,11,44,137,579,2972
round_shots,700,100,100,100,100,100
round_queries,700,700,2300,7700,30300,709300
round_k,3,11,38,151,651,3546
round_shots,500,200,100,100,100
round_queries,500,1400,2500,7900,156700
round_k,3,12,39,167,783
round_shots,400,200,200,100,100,100
round_queries,400,1000,3800,6700,24900,543900
round_k,2,9,33,124,511,2719
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,6700,21100,489300
round_k,2,8,33,105,467,2446
round_shots,500,200,100,100,100,100
round_queries,500,1400,2300,7300,26500,648500
round_k,3,11,36,132,621,3242
round_shots,600,200,200,100,100
round_queries,600,1000,3800,8500,168300
round_k,2,9,42,181,841
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8900,152500
round_k,2,11,44,159,762
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7300,26300,554300
round_k,2,11,36,131,536,2771
round_shots,400,100,100,200,100
round_queries,400,500,1700,11800,148300
round_k,2,8,29,163,741
round_shots,700,200,200,100,100,100
round_queries,700,1000,3400,6500,26100,545500
round_k,2,8,32,130,524,2727
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6900,28500,717500
round_k,2,9,34,142,666,3587
round_shots,500,300,100,100,100,100
round_queries,500,1500,1900,7100,29100,645900
round_k,2,9,35,145,609,3229
round_shots,600,200,200,100,100,100
round_queries,600,1000,3800,7700,28100,491100
round_k,2,9,38,140,476,2455
round_shots,500,100,100,100,100,100
round_queries,500,700,2300,7700,26300,657700
round_k,3,11,38,131,613,3288
round_shots,700,200,100,100,100
round_queries,700,1400,2500,9100,144300
round_k,3,12,45,166,721
round_shots,600,200,200,200,100,100
round_queries,600,1000,3400,12200,30900,704300
round_k,2,8,30,154,646,3521
round_shots,600,200,100,100,100,100
round_queries,600,1400,2300,7300,30900,743500
round_k,3,11,36,154,679,3717
round_shots,500,200,100,100,100
round_queries,500,1400,2500,9500,177700
round_k,3,12,47,189,888
round_shots,400,100,100,100,100,100
round_queries,400,500,1700,5900,23300,547900
round_k,2,8,29,116,522,2739
round_shots,600,200,200,100,100
round_queries,600,1000,3400,7900,159300
round_k,2,8,39,168,796
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,6500,23700,520500
round_k,2,8,32,118,497,2602
round_shots,700,200,100,100,100,100
round_queries,700,1000,1700,6100,23300,564900
round_k,2,8,30,116,532,2824
round_shots,500,200,100,100,100
round_queries,500,1400,2900,9500,157300
round_k,3,14,47,184,786
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5900,17900,380900
round_k,2,8,29,89,401,1904
round_shots,300,200,200,100,100,100
round_queries,300,1000,3400,6700,23100,516900
round_k,2,8,33,115,489,2584
round_shots,500,200,200,100,100
round_queries,500,1000,4600,8500,169500
round_k,2,11,42,180,847
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,6100,21700,460100
round_k,2,8,30,108,471,2300
round_shots,300,300,100,100,100,100
round_queries,300,1500,1900,6700,21300,492700
round_k,2,9,33,106,473,2463
round_shots,600,200,100,100,100
round_queries,600,1400,2900,10500,207300
round_k,3,14,52,216,1036
round_shots,600,200,100,100,100,100
round_queries,600,1400,2300,7700,24500,572900
round_k,3,11,38,122,554,2864
round_shots,700,200,200,100,100
round_queries,700,1000,4600,9500,172900
round_k,2,11,47,183,864
round_shots,700,200,200,100,100
round_queries,700,1000,5000,13500,255700
round_k,2,12,67,263,1278
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5900,21700,513700
round_k,2,8,29,108,484,2568
round_shots,600,200,200,100,100
round_queries,600,1000,4600,12100,221500
round_k,2,11,60,227,1107
round_shots,500,200,200,100,100
round_queries,500,1400,6200,17700,381700
round_k,3,15,88,381,1908
round_shots,700,200,100,100,100,100
round_queries,700,1000,1900,6500,22500,492100
round_k,2,9,32,112,467,2460
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,8500,26500,609900
round_k,2,11,42,132,581,3049
round_shots,500,200,200,200,100
round_queries,500,1000,4600,20200,155500
round_k,2,11,50,212,777
round_shots,700,200,100,100,100,100
round_queries,700,1000,1900,6500,23300,460100
round_k,2,9,32,116,450,2300
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5900,21900,484300
round_k,2,8,29,109,463,2421
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,5300,20300,438700
round_k,2,8,26,101,441,2193
round_shots,700,200,200,100,100
round_queries,700,1400,5000,10100,167100
round_k,3,12,50,173,835
round_shots,400,200,100,100,100,100
round_queries,400,1000,2500,7900,28700,700300
round_k,2,12,39,143,649,3501
round_shots,600,200,100,200,100,100
round_queries,600,1000,1700,11800,28300,594100
round_k,2,8,29,141,558,2970
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,6100,21900,494300
round_k,2,8,30,109,469,2471
round_shots,500,200,200,100,100
round_queries,500,1400,6200,17700,372700
round_k,3,15,88,362,1863
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5300,17900,360300
round_k,2,8,26,89,357,1801
round_shots,300,200,200,100,100
round_queries,300,1000,4600,10100,178500
round_k,2,11,50,211,892
round_shots,300,200,200,100,100
round_queries,300,1000,3400,8900,161700
round_k,2,8,44,171,808
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,23500,511500
round_k,2,9,30,117,484,2557
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,28100,662300
round_k,2,11,39,140,614,3311
round_shots,600,200,200,100,100,100
round_queries,600,1000,5000,9500,30700,531100
round_k,2,12,47,153,504,2655
round_shots,600,200,100,100,100
round_queries,600,1400,3100,10100,154100
round_k,3,15,50,178,770
round_shots,500,300,100,100,100,100
round_queries,500,1500,1900,6700,23900,533500
round_k,2,9,33,119,509,2667
round_shots,600,200,100,100,100
round_queries,600,1400,3500,13300,187700
round_k,3,17,66,215,938
round_shots,400,200,100,200,100
round_queries,400,1000,1700,11000,141300
round_k,2,8,27,154,706
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5900,17900,386100
round_k,2,8,29,89,386,1930
round_shots,300,200,200,100,100
round_queries,300,1000,3800,7900,151700
round_k,2,9,39,168,758
round_shots,700,200,100,100,100,100
round_queries,700,1000,1700,5300,22100,501100
round_k,2,8,26,110,479,2505
round_shots,700,200,100,100,100,100
round_queries,700,1000,1900,6100,25500,625900
round_k,2,9,30,127,585,3129
round_shots,300,100,100,100,100,100
round_queries,300,500,1700,5900,20700,476700
round_k,2,8,29,103,462,2383
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,6100,20500,449900
round_k,2,8,30,102,455,2249
round_shots,700,200,200,100,100
round_queries,700,1000,3400,7700,148900
round_k,2,8,38,158,744
round_shots,500,200,200,100,100
round_queries,500,1000,5000,13300,253700
round_k,2,12,66,269,1268
round_shots,500,200,100,100,100
round_queries,500,1400,3500,13500,296900
round_k,3,17,67,299,1484
round_shots,300,200,100,100,100
round_queries,300,1000,2500,8500,163700
round_k,2,12,42,175,818
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,20900,497500
round_k,2,9,30,104,473,2487
round_shots,700,100,100,200,100
round_queries,700,700,2500,17000,179100
round_k,3,12,42,202,895
round_shots,500,300,200,100,100
round_queries,500,1500,5000,10100,197700
round_k,2,12,50,203,988
round_shots,700,200,200,100,100
round_queries,700,1400,5000,10900,195100
round_k,3,12,54,203,975
round_shots,400,200,100,200,100
round_queries,400,1000,2300,16600,145700
round_k,2,11,41,200,728
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,151300
round_k,2,11,39,164,756
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,7100,24100,588300
round_k,2,9,35,120,546,2941
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5900,23100,534300
round_k,2,8,29,115,500,2671
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5300,20100,418700
round_k,2,8,26,100,413,2093
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5900,22700,521100
round_k,2,8,29,113,494,2605
round_shots,600,300,100,100,100,100
round_queries,600,1500,2500,7900,33700,600700
round_k,2,12,39,168,594,3003
round_shots,600,200,200,100,100
round_queries,600,1000,5000,10100,181900
round_k,2,12,50,209,909
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7500,149300
round_k,2,11,37,157,746
round_shots,500,200,100,100,100,100
round_queries,500,1400,2300,7700,24500,573100
round_k,3,11,38,122,541,2865
round_shots,600,200,100,100,100
round_queries,600,1400,3100,10500,205500
round_k,3,15,52,217,1027
round_shots,600,200,200,100,100
round_queries,600,1000,4600,12100,172500
round_k,2,11,60,194,862
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,6700,24100,480300
round_k,2,8,33,120,458,2401
round_shots,500,100,200,100,100
round_queries,500,500,3400,8500,160300
round_k,2,8,42,166,801
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7100,24700,577700
round_k,2,11,35,123,543,2888
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,7300,29500,613700
round_k,2,9,36,147,587,3068
round_shots,400,300,100,100,100,100
round_queries,400,1500,2500,8300,31500,739100
round_k,2,12,41,157,671,3695
round_shots,500,100,100,100,100,100
round_queries,500,700,2500,7900,29700,670100
round_k,3,12,39,148,633,3350
round_shots,600,100,200,100,100,100
round_queries,600,500,3400,5900,24500,582500
round_k,2,8,29,122,545,2912
round_shots,400,200,100,100,100
round_queries,400,1000,2500,9100,145700
round_k,2,12,45,160,728
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8300,145700
round_k,2,9,41,154,728
round_shots,600,200,200,200,100
round_queries,600,1000,3400,17800,173300
round_k,2,8,44,185,866
round_shots,600,200,100,100,100
round_queries,600,1400,3100,11700,216500
round_k,3,15,58,226,1082
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,7300,28700,692700
round_k,2,8,36,143,644,3463
round_shots,500,200,100,100,100,100
round_queries,500,1400,2300,8500,28700,671300
round_k,3,11,42,143,628,3356
round_shots,500,200,100,100,100,100
round_queries,500,1400,2500,8500,31300,721300
round_k,3,12,42,156,665,3606
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,7100,23700,500500
round_k,2,9,35,118,483,2502
round_shots,600,300,100,100,100,100
round_queries,600,1500,1900,7100,27700,448500
round_k,2,9,35,138,485,2242
round_shots,600,200,100,100,100
round_queries,600,1400,2900,11100,194900
round_k,3,14,55,206,974
round_shots,600,200,200,100,100
round_queries,600,1400,6200,16300,320900
round_k,3,15,81,325,1604
round_shots,600,200,200,100,100
round_queries,600,1000,4600,11500,171100
round_k,2,11,57,237,855
round_shots,600,200,100,100,100,100
round_queries,600,1400,2300,7300,26100,563100
round_k,3,11,36,130,533,2815
round_shots,500,200,200,100,100
round_queries,500,1000,4600,8900,160100
round_k,2,11,44,173,800
round_shots,500,100,100,100,100
round_queries,500,700,2300,8900,177500
round_k,3,11,44,188,887
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,25100,623300
round_k,2,9,32,125,578,3116
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,5900,22100,432300
round_k,2,8,29,110,420,2161
round_shots,700,200,200,100,100,100
round_queries,700,1000,3400,7900,29300,715900
round_k,2,8,39,146,658,3579
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,25100,613500
round_k,2,9,30,125,574,3067
round_shots,600,200,200,100,100
round_queries,600,1400,6200,13100,243500
round_k,3,15,65,287,1217
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5300,19700,415100
round_k,2,8,26,98,406,2075
round_shots,500,200,100,100,100
round_queries,500,1400,2500,7900,149700
round_k,3,12,39,163,748
round_shots,500,200,100,100,100
round_queries,500,1400,2900,11300,201700
round_k,3,14,56,221,1008
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,7300,28900,633700
round_k,2,9,36,144,600,3168
round_shots,500,200,100,100,100
round_queries,500,1400,2500,8500,147300
round_k,3,12,42,162,736
round_shots,300,200,200,100,100,100
round_queries,300,1000,3800,7300,30100,748500
round_k,2,9,36,150,679,3742
round_shots,500,200,100,100,100
round_queries,500,1400,2900,8900,152700
round_k,3,14,44,166,763
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,5900,22100,481500
round_k,2,9,29,110,464,2407
round_shots,400,300,200,100,100
round_queries,400,1500,4600,9500,187700
round_k,2,11,47,201,938
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,6500,23300,563100
round_k,2,8,32,116,532,2815
round_shots,400,200,200,100,100
round_queries,400,1000,5000,10900,207700
round_k,2,12,54,215,1038
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,8500,30300,754500
round_k,2,8,42,151,696,3772
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5900,22500,509300
round_k,2,8,29,112,487,2546
round_shots,600,300,100,100,100
round_queries,600,1500,2500,7900,147900
round_k,2,12,39,167,739
round_shots,600,200,100,100,100,100
round_queries,600,1000,2300,7100,29100,679700
round_k,2,11,35,145,626,3398
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,6100,18500,372300
round_k,2,8,30,92,367,1861
round_shots,600,200,100,100,100
round_queries,600,1400,3100,11500,231700
round_k,3,15,57,236,1158
round_shots,400,300,100,100,100
round_queries,400,1500,2500,9700,180100
round_k,2,12,48,185,900
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5300,20900,352500
round_k,2,8,26,104,361,1762
round_shots,300,300,100,100,100
round_queries,300,1500,3100,10100,196300
round_k,2,15,50,209,981
round_shots,700,300,100,100,100,100
round_queries,700,1500,2300,7100,22900,444500
round_k,2,11,35,114,443,2222
round_shots,400,200,200,200,100
round_queries,400,1000,3400,15800,169100
round_k,2,8,39,187,845
round_shots,500,200,100,100,100
round_queries,500,1400,2900,11300,219100
round_k,3,14,56,245,1095
round_shots,600,200,200,100,100
round_queries,600,1000,3400,7700,146900
round_k,2,8,38,159,734
round_shots,700,200,200,100,100,100
round_queries,700,1000,3400,7900,27900,683100
round_k,2,8,39,139,632,3415
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,8900,32900,654100
round_k,2,8,44,164,633,3270
round_shots,500,200,100,100,100
round_queries,500,1400,3100,12100,189900
round_k,3,15,60,202,949
round_shots,500,300,200,100,100
round_queries,500,1500,4600,12700,217100
round_k,2,11,63,243,1085
round_shots,600,300,100,100,100,100
round_queries,600,1500,1900,6700,26700,617100
round_k,2,9,33,133,574,3085
round_shots,700,200,200,100,100,100
round_queries,700,1000,4600,8500,28900,565100
round_k,2,11,42,144,600,2825
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,6500,22300,488900
round_k,2,8,32,111,472,2444
round_shots,700,200,100,100,100,100
round_queries,700,1400,2300,7100,29100,680900
round_k,3,11,35,145,624,3404
round_shots,600,200,100,100,100,100
round_queries,600,1400,2300,8300,26500,633700
round_k,3,11,41,132,597,3168
round_shots,500,200,200,100,100
round_queries,500,1000,3400,8700,173300
round_k,2,8,43,184,866
round_shots,600,200,100,100,100,100
