round_shots,87,48,19,12
round_queries,87,240,361,492
round_k,0,2,9,20
round_shots,92,44,22,15
round_queries,92,220,330,555
round_k,0,2,7,18
round_shots,95,17,26,23,5
round_queries,95,85,286,529,295
round_k,0,2,5,11,29
round_shots,80,24,18,19,4
round_queries,80,120,198,437,220
round_k,0,2,5,11,27
round_shots,119,35,36,17,5
round_queries,119,105,324,459,295
round_k,0,1,4,13,29
round_shots,84,33,26,12
round_queries,84,165,390,492
round_k,0,2,7,20
round_shots,145,46,29,15,3
round_queries,145,230,377,495,207
round_k,0,2,6,16,34
round_shots,80,46,18,15,5
round_queries,80,230,234,435,305
round_k,0,2,6,14,30
round_shots,123,52,18,12
round_queries,123,260,342,492
round_k,0,2,9,20
round_shots,84,17,18,20,5
round_queries,84,85,198,460,255
round_k,0,2,5,11,25
round_shots,35,42,15,24,7
round_queries,35,126,135,456,357
round_k,0,1,4,9,25
round_shots,82,20,21,14,9
round_queries,82,60,189,294,405
round_k,0,1,4,10,22
round_shots,101,23,16,20,4
round_queries,101,115,208,540,220
round_k,0,2,6,13,27
round_shots,84,53,13,18,4
round_queries,84,265,169,522,260
round_k,0,2,6,14,32
round_shots,103,28,23,19,6
round_queries,103,84,207,437,330
round_k,0,1,4,11,27
round_shots,126,55,18,17,4
round_queries,126,275,234,493,260
round_k,0,2,6,14,32
round_shots,93,28,28,23,3
round_queries,93,84,252,529,177
round_k,0,1,4,11,29
round_shots,134,35,18,11
round_queries,134,175,270,385
round_k,0,2,7,17
round_shots,77,48,26,19,6
round_queries,77,144,234,437,330
round_k,0,1,4,11,27
round_shots,138,53,19,18,6
round_queries,138,265,247,486,342
round_k,0,2,6,13,28
round_shots,115,26,18,19,6
round_queries,115,130,198,437,330
round_k,0,2,5,11,27
round_shots,80,17,26,18,7
round_queries,80,85,286,414,357
round_k,0,2,5,11,25
round_shots,140,46,16,20,3
round_queries,140,230,208,540,195
round_k,0,2,6,13,32
round_shots,99,35,13,13,3
round_queries,99,175,169,377,207
round_k,0,2,6,14,34
round_shots,131,28,18,15,6
round_queries,131,140,234,405,330
round_k,0,2,6,13,27
round_shots,102,30,22,15
round_queries,102,150,330,555
round_k,0,2,7,18
round_shots,162,17,26,15,9
round_queries,162,85,286,345,423
round_k,0,2,5,11,23
round_shots,130,55,22,15,4
round_queries,130,275,286,495,268
round_k,0,2,6,16,33
round_shots,131,48,16,17,6
round_queries,131,240,208,459,330
round_k,0,2,6,13,27
round_shots,98,46,25,16,6
round_queries,98,230,325,432,330
round_k,0,2,6,13,27
round_shots,93,28,27,18,4
round_queries,93,140,351,486,228
round_k,0,2,6,13,28
round_shots,71,28,21,15,9
round_queries,71,84,189,345,423
round_k,0,1,4,11,23
round_shots,140,30,26,15
round_queries,140,150,390,555
round_k,0,2,7,18
round_shots,116,42,23,17,4
round_queries,116,210,299,493,260
round_k,0,2,6,14,32
round_shots,91,23,16,17,4
round_queries,91,115,208,459,220
