round_shots,524,326,103,103,206,42
round_queries,524,1630,2781,8961,57062,111426
round_k,2,13,43,138,424,1326
round_shots,848,243,112,100,88,60,5
round_queries,848,1215,2576,7300,19448,41580,31375
round_k,2,11,36,110,346,1042,3137
round_shots,727,260,124,216,91,90,3
round_queries,727,1300,2852,15336,20293,61650,18837
round_k,2,11,35,111,342,1046,3139
round_shots,787,229,80,95,69,61,4
round_queries,787,1145,1840,6555,14421,39101,23364
round_k,2,11,34,104,320,973,2920
round_shots,802,149,149,97,73,59,5
round_queries,802,745,2831,6693,15987,39117,29985
round_k,2,9,34,109,331,999,2998
round_shots,527,186,87,90,72,70,5
round_queries,527,930,1653,5130,12888,38850,25155
round_k,2,9,28,89,277,838,2515
round_shots,918,154,160,104,75,70,70,4
round_queries,918,462,1440,2808,6225,17430,52990,28740
round_k,1,4,13,41,124,378,1194,3592
round_shots,662,234,117,85,70,69,3
round_queries,662,1170,2691,6715,17150,51129,20763
round_k,2,11,39,122,370,1119,3460
round_shots,1032,218,115,77,107,60,7
round_queries,1032,1090,2185,5005,20865,35820,37737
round_k,2,9,32,97,298,898,2695
round_shots,598,97,224,166,74,58,8
round_queries,598,485,3360,8466,12950,30914,38696
round_k,2,7,25,87,266,804,2418
round_shots,731,108,135,89,83,74,13
round_queries,731,540,2025,4183,12533,35742,57707
round_k,2,7,23,75,241,730,2219
round_shots,591,226,124,72,79,59,8
round_queries,591,1130,2852,5112,16827,38999,51368
round_k,2,11,35,106,330,1038,3210
round_shots,682,180,124,98,97,61,13
round_queries,682,900,2356,5978,17945,35441,69017
round_k,2,9,30,92,290,874,2654
round_shots,719,223,103,133,73,65,3
round_queries,719,1115,2369,9177,15987,42705,18369
round_k,2,11,34,109,328,1003,3061
round_shots,669,225,102,82,70,67,7
round_queries,669,1125,2346,6150,15750,45493,45479
round_k,2,11,37,112,339,1019,3248
round_shots,973,225,105,79,71,67,6
round_queries,973,1125,2415,6241,17111,48977,39510
round_k,2,11,39,120,365,1097,3292
round_shots,736,230,116,82,75,59,5
round_queries,736,1150,2668,6478,18075,43837,34395
round_k,2,11,39,120,371,1146,3439
round_shots,754,135,252,150,194,83,16
round_queries,754,675,3780,7650,31234,40919,72048
round_k,2,7,25,80,246,745,2251
round_shots,737,223,106,93,71,199,9
round_queries,737,1115,2438,6417,14839,126365,51579
round_k,2,11,34,104,317,952,2865
round_shots,716,97,361,288,99,203,7
round_queries,716,485,5415,12960,15147,96425,31325
round_k,2,7,22,76,237,735,2237
round_shots,1040,176,173,214,94,58,7
round_queries,1040,880,3287,12626,17014,32422,36267
round_k,2,9,29,90,279,845,2590
round_shots,776,92,312,193,419,156,18
round_queries,776,460,4680,10615,71649,80028,87102
round_k,2,7,27,85,256,806,2419
round_shots,888,183,101,96,107,54,13
round_queries,888,915,1919,5856,20009,30402,68367
round_k,2,9,30,93,281,844,2629
round_shots,513,222,120,88,72,68,9
round_queries,513,1110,2280,5368,13752,38964,46953
round_k,2,9,30,95,286,869,2608
round_shots,441,202,113,94,108,61,12
round_queries,441,1010,2147,6110,21708,36905,66108
round_k,2,9,32,100,302,914,2754
round_shots,450,102,269,103,80,61,19
round_queries,450,510,4035,5253,12400,28975,81225
round_k,2,7,25,77,237,712,2137
round_shots,792,156,90,92,100,57,5
round_queries,792,780,1710,5244,18100,31065,25295
round_k,2,9,28,90,272,829,2529
round_shots,1057,147,148,216,87,71,30
round_queries,1057,441,1332,7128,9483,23359,93570
round_k,1,4,16,54,164,506,1559
round_shots,830,226,113,91,62,78,8
round_queries,830,1130,2599,6279,13206,49842,46680
round_k,2,11,34,106,319,959,2917
round_shots,709,154,181,98,265,94,31
round_queries,709,462,1629,3234,28885,31678,95201
round_k,1,4,16,54,168,511,1535
round_shots,654,183,151,84,92,95,5
round_queries,654,915,2869,5796,19596,62225,30475
round_k,2,9,34,106,327,1002,3047
round_shots,1025,151,113,99,64,190,4
round_queries,1025,755,2147,6435,12608,112290,23236
round_k,2,9,32,98,295,940,2904
round_shots,791,174,114,109,87,77,6
round_queries,791,870,2166,6649,16095,43967,32778
round_k,2,9,30,92,285,885,2731
round_shots,795,189,82,113,67,56,5
round_queries,795,945,1558,6441,11993,30072,24435
round_k,2,9,28,89,268,814,2443
round_shots,816,223,111,83,76,93,3
round_queries,816,1115,2553,6225,17708,68355,21759
round_k,2,11,37,116,367,1164,3626
round_shots,786,261,106,93,88,132,3
round_queries,786,1305,2438,6603,19448,90948,18819
round_k,2,11,35,110,344,1045,3136
round_shots,1019,173,148,193,92,72,3
round_queries,1019,865,2812,13317,19412,46440,18429
round_k,2,9,34,105,322,1015,3071
round_shots,441,154,89,94,88,81,14
round_queries,441,770,1691,5358,15752,44469,69398
round_k,2,9,28,89,274,824,2478
round_shots,567,254,93,84,124,63,8
round_queries,567,1270,2139,5796,27900,44919,52808
round_k,2,11,34,112,356,1079,3300
round_shots,844,330,104,70,73,137,9
round_queries,844,1650,2808,5670,17739,101517,62001
round_k,2,13,40,121,370,1133,3444
round_shots,936,188,117,122,127,84,8
round_queries,936,940,2223,7442,24765,50148,43304
round_k,2,9,30,97,298,901,2706
round_shots,749,215,147,88,80,68,9
round_queries,749,1075,2793,6072,17040,44268,54513
round_k,2,9,34,106,325,1000,3028
round_shots,779,221,150,93,102,78,3
round_queries,779,1105,2850,6417,23562,54990,19083
round_k,2,9,34,115,352,1058,3180
round_shots,1021,174,116,90,91,65,11
round_queries,1021,870,2204,5850,18655,41015,65131
round_k,2,9,32,102,315,972,2960
round_shots,564,268,80,105,70,124,7
round_queries,564,1340,1840,7245,14630,80476,41097
round_k,2,11,34,104,324,978,2935
round_shots,665,227,111,88,88,56,8
round_queries,665,1135,2553,6600,19800,38472,51336
round_k,2,11,37,112,343,1044,3208
round_shots,908,185,135,135,212,63,5
round_queries,908,925,2565,7965,37524,33453,24345
round_k,2,9,29,88,265,799,2434
round_shots,752,146,93,94,101,96,9
round_queries,752,730,1767,5358,17473,50016,42471
round_k,2,9,28,86,260,785,2359
round_shots,442,149,149,135,80,63,13
round_queries,442,745,2831,7965,14160,33957,68107
round_k,2,9,29,88,269,854,2619
round_shots,654,202,95,96,71,63,4
round_queries,654,1010,1805,5856,13561,37611,21588
round_k,2,9,30,95,298,899,2698
round_shots,981,208,131,72,76,81,13
round_queries,981,1040,2489,4680,14820,49005,71409
round_k,2,9,32,97,302,915,2746
round_shots,435,182,103,103,69,58,4
round_queries,435,910,1957,5871,13317,33814,21372
round_k,2,9,28,96,291,890,2671
round_shots,579,152,163,96,70,59,23
round_queries,579,760,2445,4512,10570,26963,96301
round_k,2,7,23,75,228,697,2093
round_shots,567,253,187,81,70,57,3
round_queries,567,1265,4301,6561,17990,44403,21321
round_k,2,11,40,128,389,1184,3553
round_shots,744,185,119,92,75,77,9
round_queries,744,925,2261,5980,15225,47355,51471
round_k,2,9,32,101,307,937,2859
round_shots,694,303,126,129,64,66,3
round_queries,694,1515,2898,9933,15552,48114,20241
