round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,240,71,3
round_queries,240,355,177
round_k,2,9,29
round_shots,291,93,3
round_queries,291,465,171
round_k,2,8,28
round_shots,291,29
round_queries,291,725
round_k,3,12
round_shots,321,29
round_queries,321,725
round_k,3,12
round_shots,271,29
round_queries,271,725
round_k,3,12
round_shots,313,35
round_queries,313,805
round_k,3,11
round_shots,263,29
round_queries,263,725
round_k,3,12
round_shots,209,95,4
round_queries,209,475,244
round_k,2,9,30
round_shots,330,29
round_queries,330,725
round_k,3,12
round_shots,298,81,3
round_queries,298,405,177
round_k,2,9,29
round_shots,287,50,2
round_queries,287,350,142
round_k,3,11,35
round_shots,138,48,5
round_queries,138,240,265
round_k,2,8,26
round_shots,303,29
round_queries,303,725
round_k,3,12
round_shots,348,29
round_queries,348,725
round_k,3,12
round_shots,291,74,4
round_queries,291,370,244
round_k,2,9,30
round_shots,348,77,1
round_queries,348,539,75
round_k,3,12,37
round_shots,174,74,4
round_queries,174,370,236
round_k,2,9,29
round_shots,284,84,3
round_queries,284,420,165
round_k,2,8,27
round_shots,337,29
round_queries,337,725
round_k,3,12
round_shots,205,55,4
round_queries,205,275,236
round_k,2,8,29
round_shots,184,66,5
round_queries,184,330,265
round_k,2,8,26
round_shots,286,29
round_queries,286,725
round_k,3,12
round_shots,250,84,3
round_queries,250,420,177
round_k,2,9,29
round_shots,247,60,3
round_queries,247,300,183
round_k,2,9,30
round_shots,311,53,5
round_queries,311,265,265
round_k,2,8,26
round_shots,291,35
round_queries,291,805
round_k,3,11
round_shots,281,60,4
round_queries,281,300,236
round_k,2,9,29
round_shots,362,29
round_queries,362,725
round_k,3,12
round_shots,304,35
round_queries,304,805
round_k,3,11
round_shots,260,64,3
round_queries,260,320,201
round_k,2,9,33
round_shots,150,61,3
round_queries,150,305,183
round_k,2,9,30
round_shots,304,52,5
round_queries,304,260,265
round_k,2,8,26
round_shots,134,60,3
round_queries,134,300,183
round_k,2,9,30
round_shots,142,74,4
round_queries,142,370,212
round_k,2,8,26
round_shots,324,29
round_queries,324,725
round_k,3,12
round_shots,264,48,5
round_queries,264,240,265
round_k,2,8,26
round_shots,141,93,5
round_queries,141,465,275
round_k,2,8,27
round_shots,256,53,1
round_queries,256,371,75
round_k,3,12,37
round_shots,267,73,5
round_queries,267,365,265
round_k,2,8,26
round_shots,184,63,5
round_queries,184,315,265
round_k,2,8,26
round_shots,243,57,5
round_queries,243,285,265
round_k,2,8,26
round_shots,304,50,5
round_queries,304,250,265
round_k,2,8,26
round_shots,170,74,5
round_queries,170,370,265
round_k,2,8,26
round_shots,134,53,5
round_queries,134,265,265
round_k,2,8,26
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,316,29
round_queries,316,725
round_k,3,12
round_shots,331,48,4
round_queries,331,240,212
round_k,2,8,26
round_shots,237,99,4
round_queries,237,495,212
round_k,2,8,26
round_shots,237,50,3
round_queries,237,250,207
round_k,2,8,34
round_shots,174,74,4
round_queries,174,370,244
round_k,2,9,30
round_shots,311,35
round_queries,311,805
round_k,3,11
round_shots,219,94,5
round_queries,219,470,275
round_k,2,8,27
round_shots,310,29
round_queries,310,725
round_k,3,12
round_shots,260,79,2
round_queries,260,395,126
round_k,2,8,31
round_shots,324,35
round_queries,324,805
round_k,3,11
round_shots,304,57,6
round_queries,304,285,306
round_k,2,8,25
round_shots,134,53,5
round_queries,134,265,265
round_k,2,8,26
round_shots,202,70,4
round_queries,202,350,244
round_k,2,9,30
round_shots,250,67,4
round_queries,250,335,236
round_k,2,9,29
round_shots,271,71,2
round_queries,271,355,126
round_k,2,8,31
round_shots,309,35
round_queries,309,805
round_k,3,11
round_shots,177,71,4
round_queries,177,355,244
round_k,2,9,30
round_shots,135,60,4
round_queries,135,300,236
round_k,2,9,29
round_shots,177,57,5
round_queries,177,285,265
round_k,2,8,26
round_shots,205,69,5
round_queries,205,345,265
round_k,2,8,26
round_shots,417,65,1
round_queries,417,455,75
round_k,3,11,37
round_shots,291,29
round_queries,291,725
round_k,3,12
round_shots,256,35
round_queries,256,805
round_k,3,11
round_shots,268,35
round_queries,268,805
round_k,3,11
round_shots,304,35
round_queries,304,805
round_k,3,11
round_shots,212,62,5
round_queries,212,310,265
round_k,2,8,26
round_shots,134,71,3
round_queries,134,355,183
round_k,2,9,30
round_shots,321,69,4
round_queries,321,345,244
round_k,2,9,30
round_shots,181,50,3
round_queries,181,250,165
round_k,2,8,27
round_shots,274,29
round_queries,274,725
round_k,3,12
round_shots,351,75,2
round_queries,351,525,142
round_k,3,11,35
round_shots,216,64,5
round_queries,216,320,265
round_k,2,8,26
round_shots,212,74,3
round_queries,212,370,165
round_k,2,8,27
round_shots,280,23,2
round_queries,280,161,126
round_k,3,10,31
round_shots,209,64,4
round_queries,209,320,244
round_k,2,9,30
round_shots,301,77,3
round_queries,301,385,165
round_k,2,8,27
round_shots,315,74,4
round_queries,315,370,244
round_k,2,9,30
round_shots,290,29
round_queries,290,725
round_k,3,12
round_shots,240,53,5
round_queries,240,265,265
round_k,2,8,26
round_shots,224,98,5
round_queries,224,490,275
round_k,2,8,27
round_shots,184,60,3
round_queries,184,300,165
round_k,2,8,27
round_shots,280,35
round_queries,280,805
round_k,3,11
round_shots,328,68,5
round_queries,328,340,265
round_k,2,8,26
round_shots,290,29
round_queries,290,725
round_k,3,12
round_shots,346,29
round_queries,346,725
round_k,3,12
round_shots,149,48,5
round_queries,149,240,265
round_k,2,8,26
round_shots,184,90,3
round_queries,184,450,171
round_k,2,9,28
round_shots,247,73,5
round_queries,247,365,275
round_k,2,8,27
round_shots,312,29
round_queries,312,725
round_k,3,12
round_shots,184,83,5
round_queries,184,415,265
round_k,2,8,26
round_shots,134,67,5
round_queries,134,335,275
round_k,2,8,27
round_shots,277,38,5
round_queries,277,190,225
round_k,2,7,22
round_shots,219,53
round_queries,219,1007
round_k,2,9
round_shots,240,88,4
round_queries,240,440,236
round_k,2,9,29
round_shots,315,57,5
round_queries,315,285,265
round_k,2,8,26
round_shots,138,60,4
round_queries,138,300,244
round_k,2,9,30
round_shots,294,64,4
round_queries,294,320,244
round_k,2,9,30
round_shots,216,86,5
round_queries,216,430,265
round_k,2,8,26
round_shots,328,68,3
round_queries,328,340,165
round_k,2,8,27
round_shots,254,90,5
round_queries,254,450,275
round_k,2,8,27
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,149,81,3
round_queries,149,405,183
round_k,2,9,30
round_shots,406,29
round_queries,406,725
round_k,3,12
round_shots,288,48,5
round_queries,288,240,275
round_k,2,8,27
round_shots,341,63,3
round_queries,341,315,165
round_k,2,8,27
round_shots,294,91,4
round_queries,294,455,244
round_k,2,9,30
round_shots,284,79,5
round_queries,284,395,265
round_k,2,8,26
round_shots,169,48,5
round_queries,169,240,265
round_k,2,8,26
round_shots,348,52,4
round_queries,348,260,212
round_k,2,8,26
round_shots,205,63,5
round_queries,205,315,265
round_k,2,8,26
round_shots,145,60,4
round_queries,145,300,244
round_k,2,9,30
round_shots,230,79,3
round_queries,230,395,165
round_k,2,8,27
round_shots,195,88,3
round_queries,195,440,177
round_k,2,9,29
round_shots,282,29
round_queries,282,725
round_k,3,12
round_shots,212,78,4
round_queries,212,390,236
round_k,2,9,29
round_shots,333,35
round_queries,333,805
round_k,3,11
round_shots,310,76,1
round_queries,310,532,75
round_k,3,12,37
round_shots,280,35
round_queries,280,805
round_k,3,11
round_shots,375,81,4
round_queries,375,405,212
round_k,2,8,26
round_shots,344,29
round_queries,344,725
round_k,3,12
round_shots,321,35
round_queries,321,805
round_k,3,11
round_shots,167,86,5
round_queries,167,430,275
round_k,2,8,27
round_shots,157,79,4
round_queries,157,395,212
round_k,2,8,26
round_shots,233,60,4
round_queries,233,300,212
round_k,2,8,26
round_shots,257,66,5
round_queries,257,330,265
round_k,2,8,26
round_shots,284,84,5
round_queries,284,420,265
round_k,2,8,26
round_shots,281,29
round_queries,281,725
round_k,3,12
round_shots,141,67,4
round_queries,141,335,244
round_k,2,9,30
round_shots,294,107,4
round_queries,294,535,236
round_k,2,9,29
round_shots,139,74,4
round_queries,139,370,244
round_k,2,9,30
round_shots,284,100,2
round_queries,284,500,126
round_k,2,9,31
round_shots,264,71,4
round_queries,264,355,244
round_k,2,9,30
round_shots,240,80,2
round_queries,240,400,138
round_k,2,9,34
round_shots,313,29
round_queries,313,725
round_k,3,12
round_shots,294,53,5
round_queries,294,265,265
round_k,2,8,26
round_shots,287,52,2
round_queries,287,364,142
round_k,3,11,35
round_shots,325,55,4
round_queries,325,275,204
round_k,2,8,25
round_shots,152,91,3
round_queries,152,455,183
round_k,2,9,30
round_shots,177,57,4
round_queries,177,285,212
round_k,2,8,26
round_shots,295,29
round_queries,295,725
round_k,3,12
round_shots,284,84,4
round_queries,284,420,236
round_k,2,9,29
round_shots,240,48,3
round_queries,240,240,183
round_k,2,8,30
round_shots,291,29
round_queries,291,725
round_k,3,12
round_shots,264,63,3
round_queries,264,315,165
round_k,2,8,27
round_shots,286,29
round_queries,286,725
round_k,3,12
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,267,60,2
round_queries,267,300,138
round_k,2,9,34
round_shots,159,84,3
round_queries,159,420,177
round_k,2,9,29
round_shots,148,57,5
round_queries,148,285,275
round_k,2,8,27
round_shots,269,29
round_queries,269,725
round_k,3,12
