round_shots,1165,174,115,277,92,68,73,40
round_queries,1165,1566,3795,29085,31924,75140,242579,1223640
round_k,4,16,52,173,552,1661,5069,15295
round_shots,803,200,127,102,91,79,69,52,5
round_queries,803,1400,3175,8262,22295,61383,165255,383500,332765
round_k,3,12,40,122,388,1197,3687,11070,33276
round_shots,1413,208,141,135,109,178,118,74,10
round_queries,1413,1456,3525,10935,26705,131542,264674,505050,626190
round_k,3,12,40,122,369,1121,3412,10243,31309
round_shots,799,212,98,120,98,77,138,92,3
round_queries,799,1484,2450,9000,24206,57211,313122,631396,187377
round_k,3,12,37,123,371,1134,3431,10349,31229
round_shots,1393,195,127,102,110,76,68,53,3
round_queries,1393,1365,3175,8262,26950,56164,155108,363421,185139
round_k,3,12,40,122,369,1140,3428,10285,30856
round_shots,849,200,135,177,106,139,132,52,6
round_queries,849,1400,3375,14337,28090,115787,330660,400764,423402
round_k,3,12,40,132,416,1252,3853,11560,35283
round_shots,1196,224,98,115,90,81,70,63,9
round_queries,1196,1568,2450,8625,20430,57105,150570,412209,540369
round_k,3,12,37,113,352,1075,3271,9909,30020
round_shots,772,212,117,124,106,70,65,56,5
round_queries,772,1484,2925,9300,27242,54250,151125,400344,329385
round_k,3,12,37,128,387,1162,3574,10772,32938
round_shots,785,130,200,151,107,110,123,60,25
round_queries,785,390,1800,4983,13375,44770,151659,226260,858575
round_k,1,4,16,62,203,616,1885,5677,17171
round_shots,774,152,199,166,99,146,115,90,41
round_queries,774,456,1791,5478,10197,46574,111435,262170,1108353
round_k,1,4,16,51,159,484,1456,4432,13516
round_shots,1133,194,156,113,166,120,66,61,5
round_queries,1133,1358,3588,8249,37350,81720,139854,393633,298045
round_k,3,11,36,112,340,1059,3226,9842,29804
round_shots,1368,239,135,138,100,106,68,60,3
round_queries,1368,1673,3375,11178,24700,82362,159868,424020,190809
round_k,3,12,40,123,388,1175,3533,10600,31801
round_shots,1262,149,381,100,117,73,70,62,3
round_queries,1262,1341,10287,8300,30303,60079,176330,476098,214173
round_k,4,13,41,129,411,1259,3839,11640,35695
round_shots,1038,216,116,210,87,72,64,65,7
round_queries,1038,1512,2900,15750,24099,61704,166080,507195,505211
round_k,3,12,37,138,428,1297,3901,11988,36086
round_shots,957,213,147,184,102,105,80,74,7
round_queries,957,1491,3675,14536,24582,77385,177040,529470,455525
round_k,3,12,39,120,368,1106,3577,10732,32537
round_shots,1234,219,177,139,93,78,64,60,4
round_queries,1234,1533,4425,11259,25947,65754,165952,470580,289844
round_k,3,12,40,139,421,1296,3921,11918,36230
round_shots,1044,244,116,111,90,74,69,54,9
round_queries,1044,1708,2900,8325,20790,52614,148281,348462,529263
round_k,3,12,37,115,355,1074,3226,9679,29403
round_shots,1188,199,161,104,88,77,65,64,3
round_queries,1188,1393,4025,8424,21384,58597,154765,463936,198765
round_k,3,12,40,121,380,1190,3624,10988,33127
round_shots,1351,167,161,120,102,78,60,39
round_queries,1351,1503,5313,12120,33150,76986,178020,1058421
round_k,4,16,50,162,493,1483,4450,13569
round_shots,1081,195,165,106,103,82,81,153,9
round_queries,1081,1365,4125,8586,26883,68470,205335,1177947,623619
round_k,3,12,40,130,417,1267,3849,11548,34645
round_shots,400,166,261,117,123,106,87,68,29
round_queries,400,498,2349,3861,12915,35934,97179,235348,924723
round_k,1,4,16,52,169,558,1730,5253,15943
round_shots,1291,255,103,107,85,101,130,110,8
round_queries,1291,1785,2575,8025,19635,69993,271830,690030,452856
round_k,3,12,37,115,346,1045,3136,9410,28303
round_shots,783,232,160,118,109,113,63,57,3
round_queries,783,1624,4000,9322,26051,81473,137529,375573,178605
round_k,3,12,39,119,360,1091,3294,9922,29767
round_shots,855,199,147,349,275,103,68,59,6
round_queries,855,1393,3675,27571,67375,84975,169660,458725,425526
round_k,3,12,39,122,412,1247,3887,11720,35460
round_shots,1261,171,139,117,108,80,68,35
round_queries,1261,1539,4587,13689,40932,91280,237524,1124445
round_k,4,16,58,189,570,1746,5288,16063
round_shots,968,201,123,130,89,77,63,74,3
round_queries,968,1407,3075,10530,23407,63371,155673,557738,208101
round_k,3,12,40,131,411,1235,3768,11439,34683
round_shots,1410,167,143,126,82,76,67,93,10
round_queries,1410,1169,3289,8946,20582,57228,153363,638817,620470
round_k,3,11,35,125,376,1144,3434,10316,31023
round_shots,1110,186,169,107,114,85,74,63,112
round_queries,1110,558,1521,3531,11286,25755,67414,175203,2859248
round_k,1,4,16,49,151,455,1390,4204,12764
round_shots,903,228,147,110,179,104,72,77,3
round_queries,903,1596,3675,8690,42781,74984,188712,628705,233493
round_k,3,12,39,119,360,1310,4082,12786,38915
round_shots,956,138,170,123,133,115,81,59,40
round_queries,956,414,1530,4059,13965,41285,95499,213167,1317480
round_k,1,4,16,52,179,589,1806,5431,16468
round_shots,1049,200,126,115,98,75,90,59,5
round_queries,1049,1400,3150,9315,23814,54825,202410,404563,309945
round_k,3,12,40,121,365,1124,3428,10292,30994
round_shots,898,244,134,127,116,130,70,54,5
round_queries,898,1708,3350,10287,28652,96850,157430,365526,311905
round_k,3,12,40,123,372,1124,3384,10280,31190
