round_shots,168,20,21,8
round_queries,168,140,441,392
round_k,0,3,10,24
round_shots,98,35,28,18,3
round_queries,98,105,252,486,183
round_k,0,1,4,13,30
round_shots,69,84,23,15
round_queries,69,252,345,555
round_k,0,1,7,18
round_shots,60,102,28,13
round_queries,60,306,420,507
round_k,0,1,7,19
round_shots,30,80,25,12
round_queries,30,240,375,468
round_k,0,1,7,19
round_shots,157,35,19,21,7
round_queries,157,105,171,441,343
round_k,0,1,4,10,24
round_shots,117,70,19,18,5
round_queries,117,210,247,486,305
round_k,0,1,6,13,30
round_shots,30,50,16,16,9
round_queries,30,150,176,368,423
round_k,0,1,5,11,23
round_shots,72,74,25,14,4
round_queries,72,222,325,378,220
round_k,0,1,6,13,27
round_shots,100,105,26,13
round_queries,100,315,390,507
round_k,0,1,7,19
round_shots,93,28,23,17,7
round_queries,93,84,207,391,357
round_k,0,1,4,11,25
round_shots,68,65,16,14,6
round_queries,68,195,176,322,282
round_k,0,1,5,11,23
round_shots,190,45,18,17,7
round_queries,190,135,198,391,357
round_k,0,1,5,11,25
round_shots,48,55,20,19,5
round_queries,48,165,220,513,305
round_k,0,1,5,13,30
round_shots,54,84,23,14
round_queries,54,252,345,518
round_k,0,1,7,18
round_shots,101,74,16,15,6
round_queries,101,222,208,405,330
round_k,0,1,6,13,27
round_shots,253,20,12,8
round_queries,253,180,252,392
round_k,0,4,10,24
round_shots,60,55,17,19,7
round_queries,60,165,187,475,357
round_k,0,1,5,12,25
round_shots,33,50,17,17,7
round_queries,33,150,187,425,357
round_k,0,1,5,12,25
round_shots,163,45,20,23,4
round_queries,163,135,220,621,260
round_k,0,1,5,13,32
round_shots,154,65,20,19,4
round_queries,154,195,220,513,252
round_k,0,1,5,13,31
round_shots,38,80,25,16
round_queries,38,240,375,560
round_k,0,1,7,17
round_shots,165,20,21,8
round_queries,165,140,441,392
round_k,0,3,10,24
round_shots,114,55,19,17,7
round_queries,114,165,209,425,357
round_k,0,1,5,12,25
round_shots,35,74,27,15
round_queries,35,222,351,555
round_k,0,1,6,18
round_shots,30,62,14,21,4
round_queries,30,186,182,567,260
round_k,0,1,6,13,32
round_shots,33,35,23,16,7
round_queries,33,105,207,368,343
round_k,0,1,4,11,24
round_shots,50,45,20,21,3
round_queries,50,135,220,567,189
round_k,0,1,5,13,31
round_shots,292,29,14,7
round_queries,292,261,350,357
round_k,0,4,12,25
round_shots,41,91,23,13
round_queries,41,273,345,507
round_k,0,1,7,19
round_shots,122,60,18,16,8
round_queries,122,180,198,368,392
round_k,0,1,5,11,24
round_shots,63,60,17,17,7
round_queries,63,180,187,425,357
round_k,0,1,5,12,25
round_shots,87,65,16,16,7
round_queries,87,195,176,368,343
round_k,0,1,5,11,24
round_shots,206,28,21,9
round_queries,206,196,441,423
round_k,0,3,10,23
round_shots,97,62,25,23,3
round_queries,97,186,325,621,189
round_k,0,1,6,13,31
round_shots,97,62,31,16
round_queries,97,186,403,560
round_k,0,1,6,17
round_shots,53,86,20,19,3
round_queries,53,258,260,513,189
round_k,0,1,6,13,31
round_shots,33,84,23,14
round_queries,33,252,345,518
round_k,0,1,7,18
round_shots,42,70,23,15,2
round_queries,42,210,299,495,138
round_k,0,1,6,16,34
round_shots,153,48,24,17,8
round_queries,153,144,216,357,392
round_k,0,1,4,10,24
round_shots,101,78,20,19,3
round_queries,101,234,260,513,183
round_k,0,1,6,13,30
round_shots,229,45,18,19,4
round_queries,229,135,198,437,212
round_k,0,1,5,11,26
round_shots,166,80,23,13
round_queries,166,240,345,507
round_k,0,1,7,19
round_shots,39,50,17,14,8
round_queries,39,150,187,322,376
round_k,0,1,5,11,23
round_shots,71,50,19,14,7
round_queries,71,150,209,350,357
round_k,0,1,5,12,25
round_shots,134,62,29,14
round_queries,134,186,377,518
round_k,0,1,6,18
round_shots,45,95,26,13
round_queries,45,285,390,507
round_k,0,1,7,19
round_shots,36,62,27,15
round_queries,36,186,351,555
round_k,0,1,6,18
round_shots,39,48,31,21,5
round_queries,39,144,279,525,305
round_k,0,1,4,12,30
round_shots,101,20,23,17,7
round_queries,101,60,207,391,357
round_k,0,1,4,11,25
round_shots,54,62,18,14,4
round_queries,54,186,234,378,220
round_k,0,1,6,13,27
round_shots,144,45,14,19,8
round_queries,144,135,154,437,392
round_k,0,1,5,11,24
round_shots,32,66,18,12,4
round_queries,32,198,234,348,252
round_k,0,1,6,14,31
round_shots,33,65,18,16,8
round_queries,33,195,198,368,392
round_k,0,1,5,11,24
round_shots,147,55,19,21,5
round_queries,147,165,209,525,305
round_k,0,1,5,12,30
round_shots,82,60,14,17,9
round_queries,82,180,154,391,423
round_k,0,1,5,11,23
round_shots,30,74,19,25,4
round_queries,30,222,247,675,260
round_k,0,1,6,13,32
round_shots,117,62,22,18,3
round_queries,117,186,286,486,183
round_k,0,1,6,13,30
round_shots,143,28,33,17,5
round_queries,143,84,297,425,255
round_k,0,1,4,12,25
round_shots,85,80,21,16
round_queries,85,240,315,560
round_k,0,1,7,17
