round_shots,161,475,63,23
round_queries,161,1425,1575,6417
round_k,1,12,44,139
round_shots,62,242,47,63,17
round_queries,62,726,423,1701,5423
round_k,1,4,13,49,159
round_shots,64,257,85,46,4
round_queries,64,771,1445,3082,2452
round_k,1,8,33,100,306
round_shots,144,365,61,42,2
round_queries,144,1095,1281,2982,1410
round_k,1,10,35,115,352
round_shots,125,441,39,65,18
round_queries,125,1323,351,1755,5598
round_k,1,4,13,50,155
round_shots,81,426,44,37,2
round_queries,81,1278,1012,2627,1334
round_k,1,11,35,110,333
round_shots,62,428,57,24
round_queries,62,1284,1425,6504
round_k,1,12,43,135
round_shots,213,299,64,39,3
round_queries,213,897,1344,2925,2067
round_k,1,10,37,114,344
round_shots,84,429,44,40,3
round_queries,84,1287,1012,2840,2091
round_k,1,11,35,112,348
round_shots,87,395,44,32,3
round_queries,87,1185,1012,2272,1965
round_k,1,11,35,106,327
round_shots,153,359,59,42,1
round_queries,153,1077,1239,3066,731
round_k,1,10,36,120,365
round_shots,111,321,30,56,21
round_queries,111,963,270,1512,6111
round_k,1,4,13,46,145
round_shots,116,362,60,39,2
round_queries,116,1086,1260,2925,1434
round_k,1,10,37,116,358
round_shots,84,435,39,62,18
round_queries,84,1305,351,1674,5562
round_k,1,4,13,49,154
round_shots,62,247,87,41,2
round_queries,62,741,1479,2911,1378
round_k,1,8,35,111,344
round_shots,75,344,64,29
round_queries,75,1032,1344,7279
round_k,1,10,38,125
round_shots,117,435,47,34,3
round_queries,117,1305,1081,2346,1863
round_k,1,11,34,103,310
round_shots,111,338,63,45,1
round_queries,111,1014,1323,3375,749
round_k,1,10,37,120,374
round_shots,132,367,52,44,2
round_queries,132,1101,1196,3212,1434
round_k,1,11,36,119,358
round_shots,87,421,30,56,27
round_queries,87,1263,270,1512,7047
round_k,1,4,13,40,130
round_shots,110,314,47,62,20
round_queries,110,942,423,1674,5980
round_k,1,4,13,49,149
round_shots,110,421,54,38,1
round_queries,110,1263,1242,2926,743
round_k,1,11,38,121,371
round_shots,120,225,30,48,28
round_queries,120,675,270,1296,7084
round_k,1,4,13,40,126
round_shots,111,298,57,62,15
round_queries,111,894,513,1798,5055
round_k,1,4,14,52,168
round_shots,225,378,65,25
round_queries,225,1134,1495,6725
round_k,1,11,42,134
round_shots,84,389,44,39,3
round_queries,84,1167,1012,2691,2025
round_k,1,11,34,108,337
round_shots,99,442,48,38,2
round_queries,99,1326,1200,2850,1386
round_k,1,12,37,114,346
round_shots,102,347,67,29
round_queries,102,1041,1407,7279
round_k,1,10,39,125
round_shots,66,298,39,45,25
round_queries,66,894,351,1215,6625
round_k,1,4,13,42,132
round_shots,177,361,54,41,1
round_queries,177,1083,1242,3157,749
round_k,1,11,38,123,374
round_shots,62,426,45,36,2
round_queries,62,1278,1125,2700,1354
round_k,1,12,37,112,338
round_shots,174,351,64,40,25
round_queries,174,1053,576,1160,6625
round_k,1,4,14,43,132
round_shots,110,430,68,19
round_queries,110,1290,1700,5795
round_k,1,12,47,152
round_shots,158,372,42,39,2
round_queries,158,1116,966,2691,1302
round_k,1,11,34,105,325
round_shots,213,420,30,58,20
round_queries,213,1260,270,1566,5900
round_k,1,4,13,46,147
round_shots,80,398,49,39,2
round_queries,80,1194,1127,2847,1410
round_k,1,11,36,115,352
round_shots,69,456,44,39,1
round_queries,69,1368,1100,3003,735
round_k,1,12,38,120,367
round_shots,161,344,75,29
round_queries,161,1032,1575,7279
round_k,1,10,41,125
round_shots,161,284,56,43,2
round_queries,161,852,1064,2795,1250
round_k,1,9,32,103,312
round_shots,123,496,66,50,18
round_queries,123,1488,594,1550,5634
round_k,1,4,15,50,156
round_shots,119,278,73,43,12
round_queries,119,834,657,1419,3852
round_k,1,4,16,51,160
round_shots,114,442,51,39,1
round_queries,114,1326,1275,3081,727
round_k,1,12,39,119,363
round_shots,76,302,67,38,2
round_queries,76,906,1407,2926,1434
round_k,1,10,38,118,358
round_shots,92,269,39,70,16
round_queries,92,807,351,1890,5200
round_k,1,4,13,51,162
round_shots,147,364,57,28
round_queries,147,1092,1311,7140
round_k,1,11,39,127
round_shots,67,501,40,28
round_queries,67,1503,1080,7140
round_k,1,13,40,127
round_shots,64,314,66,58,13
round_queries,64,942,594,1798,4615
round_k,1,4,15,55,177
round_shots,84,101,39,60,21
round_queries,84,303,351,1620,6111
round_k,1,4,13,48,145
round_shots,96,380,66,50,18
round_queries,96,1140,594,1550,5634
round_k,1,4,15,50,156
round_shots,140,250,66,42,2
round_queries,140,750,1254,2898,1338
round_k,1,9,34,107,334
round_shots,108,99,30,61,22
round_queries,108,297,270,1647,6270
round_k,1,4,13,46,142
round_shots,102,400,55,40,39,1
round_queries,102,1200,495,1080,3159,743
round_k,1,4,13,40,123,371
round_shots,169,241,39,70,16
round_queries,169,723,351,1890,5200
round_k,1,4,13,51,162
round_shots,72,222,47,56,20
round_queries,72,666,423,1512,5860
round_k,1,4,13,46,146
round_shots,113,372,44,39,2
round_queries,113,1116,1012,2691,1290
round_k,1,11,34,105,322
round_shots,62,292,100,43,12
round_queries,62,876,900,1677,4500
round_k,1,4,19,59,187
round_shots,69,434,47,45,26
round_queries,69,1302,423,1215,6838
round_k,1,4,13,42,131
round_shots,163,395,51,39,1
round_queries,163,1185,1173,2925,735
round_k,1,11,37,116,367
round_shots,62,375,73,50,16
round_queries,62,1125,657,1650,5296
round_k,1,4,16,54,165
round_shots,188,329,64,43,1
round_queries,188,987,1344,3311,755
round_k,1,10,38,125,377
round_shots,62,401,51,41,1
round_queries,62,1203,1173,3075,727
round_k,1,11,37,118,363
round_shots,78,486,66,20
round_queries,78,1458,1650,5940
round_k,1,12,46,148
round_shots,131,241,81,41,3
round_queries,131,723,1377,2829,1953
round_k,1,8,34,105,325
round_shots,72,361,45,43,2
round_queries,72,1083,1035,2967,1358
round_k,1,11,34,110,339
round_shots,99,155,30,56,20
round_queries,99,465,270,1512,5980
round_k,1,4,13,46,149
round_shots,153,61,30,69,16
round_queries,153,183,270,1863,5264
round_k,1,4,13,51,164
round_shots,108,426,46,42,1
round_queries,108,1278,1150,3234,735
round_k,1,12,38,122,367
round_shots,108,372,60,25
round_queries,108,1116,1380,6675
round_k,1,11,40,133
round_shots,96,299,63,41,2
round_queries,96,897,1323,3075,1438
round_k,1,10,37,118,359
round_shots,66,426,44,37,1
round_queries,66,1278,1100,2849,725
round_k,1,12,38,118,362
round_shots,70,291,60,39,2
round_queries,70,873,1140,2535,1238
round_k,1,9,32,100,309
round_shots,64,328,47,48,27
round_queries,64,984,423,1296,6993
round_k,1,4,13,42,129
round_shots,96,190,57,67,15
round_queries,96,570,513,1943,5055
round_k,1,4,14,54,168
round_shots,162,445,69,19
round_queries,162,1335,1725,5795
round_k,1,12,47,152
round_shots,62,209,45,39,7
round_queries,62,627,765,1989,3255
round_k,1,8,25,77,232
round_shots,69,424,50,41,2
round_queries,69,1272,1150,2993,1398
round_k,1,11,36,116,349
round_shots,129,361,44,39,2
round_queries,129,1083,1012,2769,1302
round_k,1,11,35,108,325
round_shots,105,308,71,28
round_queries,105,924,1491,7084
round_k,1,10,39,126
round_shots,75,363,39,44,28
round_queries,75,1089,351,1188,7084
round_k,1,4,13,41,126
round_shots,76,407,63,28
round_queries,76,1221,1449,7084
round_k,1,11,41,126
round_shots,86,421,58,31,2
round_queries,86,1263,1334,2387,1406
round_k,1,11,38,115,351
round_shots,102,462,44,37,2
round_queries,102,1386,1100,2849,1442
round_k,1,12,38,116,360
round_shots,76,490,30,52,21
round_queries,76,1470,270,1404,6069
round_k,1,4,13,45,144
round_shots,62,435,55,37,2
round_queries,62,1305,1265,2849,1446
round_k,1,11,38,116,361
round_shots,96,214,86,39,2
round_queries,96,642,1462,2691,1298
round_k,1,8,34,105,324
round_shots,76,473,56,40,1
round_queries,76,1419,1400,3000,741
round_k,1,12,37,119,370
round_shots,75,329,59,36,3
round_queries,75,987,1239,2628,2049
round_k,1,10,36,109,341
round_shots,141,298,57,57,12
round_queries,141,894,513,1653,3780
round_k,1,4,14,48,157
round_shots,178,381,50,42,2
round_queries,178,1143,1150,2982,1446
round_k,1,11,35,117,361
round_shots,102,443,59,27
round_queries,102,1329,1357,6993
round_k,1,11,39,129
round_shots,92,241,78,51,5
round_queries,92,723,1326,2601,2605
round_k,1,8,25,84,260
round_shots,76,409,71,65,12
round_queries,76,1227,639,2015,4428
round_k,1,4,15,58,184
round_shots,105,370,39,59,21
round_queries,105,1110,351,1593,6069
round_k,1,4,13,46,144
round_shots,132,64,47,51,27
round_queries,132,192,423,1377,6993
round_k,1,4,13,40,129
round_shots,147,213,47,61,28
round_queries,147,639,423,1647,7196
round_k,1,4,13,40,128
round_shots,129,426,49,45,1
round_queries,129,1278,1127,3285,735
round_k,1,11,36,119,367
round_shots,140,284,74,42,2
round_queries,140,852,1406,3066,1374
round_k,1,9,36,114,343
round_shots,78,311,72,29
round_queries,78,933,1512,7221
round_k,1,10,40,124
round_shots,129,445,50,40,1
round_queries,129,1335,1250,3240,747
round_k,1,12,40,121,373
round_shots,67,329,57,44,2
round_queries,67,987,1197,3124,1430
round_k,1,10,35,114,357
round_shots,80,361,57,28
round_queries,80,1083,1311,7140
round_k,1,11,39,127
round_shots,108,308,56,39,2
round_queries,108,924,1176,2769,1322
round_k,1,10,35,109,330
round_shots,70,387,47,47,26
round_queries,70,1161,423,1269,6890
round_k,1,4,13,42,132
round_shots,75,255,57,59,25
round_queries,75,765,513,1711,6675
round_k,1,4,14,43,133
round_shots,135,456,57,50,25
round_queries,135,1368,513,1450,6625
round_k,1,4,14,43,132
round_shots,120,198,28,43,6
round_queries,120,594,420,1935,2670
round_k,1,7,22,72,222
round_shots,64,414,39,65,38,1
round_queries,64,1242,351,1755,3078,747
round_k,1,4,13,40,124,373
round_shots,73,305,73,57,13
round_queries,73,915,657,1881,4641
round_k,1,4,16,57,178
round_shots,95,294,65,39,2
round_queries,95,882,1235,2691,1278
round_k,1,9,34,103,319
round_shots,141,387,51,39,1
round_queries,141,1161,1173,2925,737
round_k,1,11,37,119,368
round_shots,104,392,49,38,2
round_queries,104,1176,1127,2774,1342
round_k,1,11,36,110,335
round_shots,73,118,47,59,28
round_queries,73,354,423,1593,7084
round_k,1,4,13,40,126
round_shots,166,326,58,37,3
round_queries,166,978,1218,2627,2025
round_k,1,10,35,107,337
round_shots,62,216,30,45,25
round_queries,62,648,270,1215,6625
round_k,1,4,13,40,132
round_shots,76,380,39,70,18
round_queries,76,1140,351,1890,5562
round_k,1,4,13,51,154
round_shots,285,341,50,40,2
round_queries,285,1023,1050,2600,1258
round_k,1,10,32,103,314
round_shots,132,314,68,36,1
round_queries,132,942,1428,2844,747
round_k,1,10,39,118,373
round_shots,111,62,66,62,13
round_queries,111,186,594,1922,4667
round_k,1,4,15,57,179
round_shots,178,428,72,20
round_queries,178,1284,1800,5860
round_k,1,12,46,146
round_shots,78,440,54,24
round_queries,78,1320,1350,6360
round_k,1,12,41,132
round_shots,72,289,39,59,19
round_queries,72,867,351,1593,5719
round_k,1,4,13,47,150
round_shots,217,218,84,51,6
round_queries,217,654,1428,2601,3102
round_k,1,8,25,85,258
round_shots,153,256,69,37,2
round_queries,153,768,1311,2627,1306
round_k,1,9,35,108,326
round_shots,64,361,49,42,1
round_queries,64,1083,1127,3066,731
round_k,1,11,36,120,365
round_shots,144,326,50,40,2
round_queries,144,978,1050,2680,1270
round_k,1,10,33,102,317
round_shots,69,90,39,66,20
round_queries,69,270,351,1782,5980
round_k,1,4,13,49,149
round_shots,90,373,39,50,26
round_queries,90,1119,351,1350,6786
round_k,1,4,13,42,130
round_shots,62,321,30,42,34,1
round_queries,62,963,270,1134,2754,739
round_k,1,4,13,40,121,369
round_shots,70,428,49,26
round_queries,70,1284,1225,6786
