round_shots,107,650,84,102
round_queries,107,1950,2100,27438
round_k,1,12,41,134
round_shots,212,420,162,72,3
round_queries,212,1260,3078,5112,2007
round_k,1,9,35,111,334
round_shots,194,400,118,98,81
round_queries,194,1200,1062,2646,21789
round_k,1,4,13,40,134
round_shots,88,560,77,181,7
round_queries,88,1680,1771,13213,5313
round_k,1,11,36,121,379
round_shots,212,603,107,49
round_queries,212,1809,2461,12593
round_k,1,11,40,128
round_shots,271,509,99,60,9
round_queries,271,1527,2079,4380,6165
round_k,1,10,36,111,342
round_shots,200,423,77,101,34
round_queries,200,1269,693,2727,10438
round_k,1,4,13,48,153
round_shots,271,566,131,100,41
round_queries,271,1698,1179,2700,11685
round_k,1,4,13,47,142
round_shots,118,526,116,62,4
round_queries,118,1578,2436,4650,2940
round_k,1,10,37,114,367
round_shots,113,648,84,104,52
round_queries,113,1944,756,2808,15236
round_k,1,4,13,47,146
round_shots,99,547,130,52,6
round_queries,99,1641,2730,4004,4170
round_k,1,10,38,115,347
round_shots,182,650,65,77,4
round_queries,182,1950,1625,5775,2900
round_k,1,12,37,118,362
round_shots,110,569,95,98,4
round_queries,110,1707,2185,7742,2996
round_k,1,11,39,122,374
round_shots,173,416,112,60,52
round_queries,173,1248,1008,1620,13572
round_k,1,4,13,40,130
round_shots,176,620,95,136,7
round_queries,176,1860,2185,10744,5047
round_k,1,11,39,118,360
round_shots,236,510,99,59,3
round_queries,236,1530,2079,4307,2055
round_k,1,10,36,112,342
round_shots,163,560,99,71
round_queries,163,1680,2277,17537
round_k,1,11,39,123
round_shots,172,560,62,132,6
round_queries,172,1680,1426,9108,4170
round_k,1,11,34,112,347
round_shots,112,681,125,65,45
round_queries,112,2043,1125,1755,11565
round_k,1,4,13,40,128
round_shots,104,422,105,89,45
round_queries,104,1266,945,2403,11475
round_k,1,4,13,40,127
round_shots,141,650,70,56,5
round_queries,141,1950,1750,4200,3465
round_k,1,12,37,112,346
round_shots,98,475,91,101,37
round_queries,98,1425,819,2727,11433
round_k,1,4,13,51,154
round_shots,164,699,91,98,31
round_queries,164,2097,819,2646,9517
round_k,1,4,13,50,153
round_shots,102,747,99,57,3
round_queries,102,2241,2673,4617,2235
round_k,1,13,40,123,372
round_shots,161,560,65,96,9
round_queries,161,1680,1495,6816,6201
round_k,1,11,35,113,344
round_shots,217,560,86,103,4
round_queries,217,1680,1978,7725,2852
round_k,1,11,37,116,356
round_shots,224,429,125,72,3
round_queries,224,1287,2375,4968,2091
round_k,1,9,34,108,348
round_shots,116,583,114,42
round_queries,116,1749,2622,11046
round_k,1,11,40,131
round_shots,237,490,251,70,6
round_queries,237,1470,4769,5390,4482
round_k,1,9,38,123,373
round_shots,161,490,168,72,8
round_queries,161,1470,3192,5256,5640
round_k,1,9,36,116,352
round_shots,102,252,98,97,32
round_queries,102,756,882,2619,10080
round_k,1,4,13,49,157
round_shots,229,654,86,63,5
round_queries,229,1962,1978,4725,3485
round_k,1,11,37,114,348
round_shots,184,620,95,182,4
round_queries,184,1860,2185,14378,2884
round_k,1,11,39,119,360
round_shots,143,600,77,65,6
round_queries,143,1800,1771,4875,4434
round_k,1,11,37,122,369
round_shots,161,688,98,98,29
round_queries,161,2064,882,2646,9193
round_k,1,4,13,51,158
round_shots,199,617,88,47
round_queries,199,1851,2024,11703
round_k,1,11,37,124
round_shots,185,597,84,63,8
round_queries,185,1791,1932,4851,5576
round_k,1,11,38,115,348
round_shots,155,623,73,176,3
round_queries,155,1869,1679,12496,2151
round_k,1,11,35,117,358
round_shots,200,422,188,59,3
round_queries,200,1266,3572,4307,2121
round_k,1,9,36,109,353
round_shots,123,482,98,60,59
round_queries,123,1446,882,1620,15281
round_k,1,4,13,40,129
round_shots,218,577,81,54,6
round_queries,218,1731,1863,4050,4362
round_k,1,11,37,113,363
round_shots,234,489,78,62,7
round_queries,234,1467,1638,4154,4417
round_k,1,10,33,102,315
round_shots,182,560,64,66,6
round_queries,182,1680,1472,4554,4062
round_k,1,11,34,106,338
round_shots,194,686,75,54,3
round_queries,194,2058,1875,4050,2031
round_k,1,12,37,112,338
round_shots,170,576,119,84,4
round_queries,170,1728,2499,6300,2892
round_k,1,10,37,117,361
round_shots,246,694,105,100,28
round_queries,246,2082,945,2700,8988
round_k,1,4,13,50,160
round_shots,101,563,67,69,5
round_queries,101,1689,1541,4761,3375
round_k,1,11,34,112,337
round_shots,88,634,173,100,41
round_queries,88,1902,1557,2700,13489
round_k,1,4,13,51,164
round_shots,104,653,70,57,4
round_queries,104,1959,1750,4389,2860
round_k,1,12,38,116,357
round_shots,173,678,99,35
round_queries,173,2034,2475,10115
round_k,1,12,47,144
