round_shots,38,160,20,19,15,17,10
round_queries,38,480,380,855,1515,3621,4510
round_k,0,1,9,22,50,106,225
round_shots,127,90,84,20,15,17,15,3
round_queries,127,270,588,660,1185,2703,5055,2103
round_k,0,1,3,16,39,79,168,350
round_shots,77,112,30,18,11,15,6
round_queries,77,336,510,882,1221,3525,2850
round_k,0,1,8,24,55,117,237
round_shots,51,56,40,25,22,16,16,9
round_queries,51,168,280,575,1034,1808,3696,4221
round_k,0,1,3,11,23,56,115,234
round_shots,41,107,71,23,19,15,15,2
round_queries,41,321,497,713,1463,2565,5205,1402
round_k,0,1,3,15,38,85,173,350
round_shots,89,33,48,26,19,11,10,3
round_queries,89,99,336,650,1273,1661,3150,1995
round_k,0,1,3,12,33,75,157,332
round_shots,34,68,40,17,15,15,17,11
round_queries,34,204,280,391,735,1545,3519,4741
round_k,0,1,3,11,24,51,103,215
round_shots,64,103,60,17,20,17,16,4
round_queries,64,309,420,459,1180,2295,4464,2236
round_k,0,1,3,13,29,67,139,279
round_shots,91,38,48,25,21,17,15,7
round_queries,91,114,336,625,1071,2057,3975,3773
round_k,0,1,3,12,25,60,132,269
round_shots,38,108,84,28,19,17,15,2
round_queries,38,324,588,924,1653,2975,5535,1482
round_k,0,1,3,16,43,87,184,370
round_shots,57,111,55,28,15,17,10,3
round_queries,57,333,385,756,1095,2601,3250,2067
round_k,0,1,3,13,36,76,162,344
round_shots,71,72,24,24,17,15,10,13
round_queries,71,216,168,456,799,1425,1950,5239
round_k,0,1,3,9,23,47,97,201
round_shots,40,111,46,17,15,18,15,14
round_queries,40,333,322,391,705,1710,2865,5390
round_k,0,1,3,11,23,47,95,192
round_shots,52,71,71,20,15,15,10,5
round_queries,52,213,497,620,1065,2175,2990,3185
round_k,0,1,3,15,35,72,149,318
round_shots,41,40,65,27,16,11,15,3
round_queries,41,120,455,783,1200,1815,5115,2121
round_k,0,1,3,14,37,82,170,353
round_shots,38,20,61,24,15,15,16,3
round_queries,38,60,427,696,1095,2235,4816,1863
round_k,0,1,3,14,36,74,150,310
round_shots,32,157,30,19,15,15,6
round_queries,32,471,570,1083,1995,4035,3330
round_k,0,1,9,28,66,134,277
round_shots,41,88,46,16,18,15,15,10
round_queries,41,264,322,368,846,1575,3315,4510
round_k,0,1,3,11,23,52,110,225
round_shots,34,158,30,18,16,17,16,13
round_queries,34,474,210,378,720,1649,3120,5265
round_k,0,1,3,10,22,48,97,202
round_shots,41,108,30,19,22,15,15,9
round_queries,41,324,210,399,1078,1755,3555,4365
round_k,0,1,3,10,24,58,118,242
round_shots,68,137,53,18,21,17,15,6
round_queries,68,411,371,450,1155,2159,3945,3282
round_k,0,1,3,12,27,63,131,273
round_shots,46,70,40,15,15,16,11,12
round_queries,46,210,280,345,705,1552,2233,5004
round_k,0,1,3,11,23,48,101,208
round_shots,32,92,21,13,11,10,13
round_queries,32,276,273,507,1001,1950,5239
round_k,0,1,6,19,45,97,201
round_shots,51,96,48,18,19,10,10,8
round_queries,51,288,336,450,1007,1190,2510,4120
round_k,0,1,3,12,26,59,125,257
round_shots,38,20,61,27,15,15,17,2
round_queries,38,60,427,783,1185,2415,5525,1418
round_k,0,1,3,14,39,80,162,354
round_shots,37,38,48,18,15,15,16,10
round_queries,37,114,336,450,795,1605,3440,4510
round_k,0,1,3,12,26,53,107,225
round_shots,35,128,23,19,15,15,13
round_queries,35,384,391,817,1515,3045,5343
round_k,0,1,8,21,50,101,205
round_shots,32,34,48,26,16,14,16,3
