round_shots,469,29
round_queries,469,725
round_k,3,12
round_shots,271,29
round_queries,271,725
round_k,3,12
round_shots,265,25
round_queries,265,675
round_k,3,13
round_shots,393,35,16
round_queries,393,105,528
round_k,1,4,16
round_shots,443,50,1
round_queries,443,350,73
round_k,3,11,36
round_shots,321,35,16
round_queries,321,105,528
round_k,1,4,16
round_shots,283,26,17
round_queries,283,78,527
round_k,1,4,15
round_shots,458,35
round_queries,458,805
round_k,3,11
round_shots,259,29
round_queries,259,725
round_k,3,12
round_shots,415,35
round_queries,415,805
round_k,3,11
round_shots,261,29
round_queries,261,725
round_k,3,12
round_shots,213,35,16
round_queries,213,105,528
round_k,1,4,16
round_shots,354,29
round_queries,354,725
round_k,3,12
round_shots,304,49,16
round_queries,304,147,528
round_k,1,4,16
round_shots,188,33,6
round_queries,188,165,294
round_k,2,7,24
round_shots,492,29
round_queries,492,725
round_k,3,12
round_shots,243,35,18
round_queries,243,105,558
round_k,1,4,15
round_shots,327,49,18
round_queries,327,147,558
round_k,1,4,15
round_shots,56,63,14
round_queries,56,189,490
round_k,1,5,17
round_shots,92,26,18
round_queries,92,78,558
round_k,1,4,15
round_shots,265,26,16
round_queries,265,78,528
round_k,1,4,16
round_shots,274,58,1
round_queries,274,406,75
round_k,3,11,37
round_shots,230,26,16
round_queries,230,78,528
round_k,1,4,16
round_shots,263,48,1
round_queries,263,336,73
round_k,3,11,36
round_shots,320,29
round_queries,320,725
round_k,3,12
round_shots,369,26,16
round_queries,369,78,528
round_k,1,4,16
round_shots,317,73,16
round_queries,317,219,528
round_k,1,5,16
round_shots,328,26,16
round_queries,328,78,528
round_k,1,4,16
round_shots,290,54,2
round_queries,290,378,142
round_k,3,11,35
round_shots,348,54,1
round_queries,348,378,75
round_k,3,12,37
round_shots,190,26,15
round_queries,190,78,435
round_k,1,4,14
round_shots,419,56,16
round_queries,419,168,528
round_k,1,4,16
round_shots,301,29
round_queries,301,725
round_k,3,12
round_shots,278,29
round_queries,278,725
round_k,3,12
round_shots,429,29
round_queries,429,725
round_k,3,12
round_shots,174,24,5
round_queries,174,120,225
round_k,2,7,22
round_shots,446,48,1
round_queries,446,336,73
round_k,3,11,36
round_shots,407,56,16
round_queries,407,168,528
round_k,1,4,16
round_shots,452,18
round_queries,452,558
round_k,4,15
round_shots,376,42,16
round_queries,376,126,528
round_k,1,4,16
round_shots,313,25
round_queries,313,675
round_k,3,13
round_shots,304,60,1
round_queries,304,420,75
round_k,3,12,37
round_shots,372,49,18
round_queries,372,147,558
round_k,1,4,15
round_shots,280,42,1
round_queries,280,294,75
round_k,3,11,37
round_shots,262,35
round_queries,262,805
round_k,3,11
round_shots,270,26,15
round_queries,270,78,435
round_k,1,4,14
round_shots,280,29
round_queries,280,725
round_k,3,12
round_shots,269,23
round_queries,269,621
round_k,3,13
round_shots,515,18
round_queries,515,558
round_k,4,15
round_shots,368,35
round_queries,368,805
round_k,3,11
round_shots,290,26,16
round_queries,290,78,528
round_k,1,4,16
round_shots,230,62,15
round_queries,230,186,435
round_k,1,4,14
round_shots,361,35,16
round_queries,361,105,528
round_k,1,4,16
round_shots,386,29
round_queries,386,725
round_k,3,12
round_shots,477,16
round_queries,477,528
round_k,4,16
round_shots,475,29
round_queries,475,725
round_k,3,12
round_shots,307,29
round_queries,307,725
round_k,3,12
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,296,26,24
round_queries,296,78,648
round_k,1,4,13
round_shots,230,33,4
round_queries,230,165,196
round_k,2,7,24
round_shots,172,56,18
round_queries,172,168,558
round_k,1,4,15
round_shots,407,26,16
round_queries,407,78,528
round_k,1,4,16
round_shots,287,29
round_queries,287,725
round_k,3,12
round_shots,292,29
round_queries,292,725
round_k,3,12
round_shots,313,35
round_queries,313,805
round_k,3,11
round_shots,310,29
round_queries,310,725
round_k,3,12
round_shots,472,52,2
round_queries,472,364,142
round_k,3,11,35
round_shots,394,29
round_queries,394,725
round_k,3,12
round_shots,265,35
round_queries,265,805
round_k,3,11
round_shots,210,26,16
round_queries,210,78,528
round_k,1,4,16
round_shots,420,35,16
round_queries,420,105,528
round_k,1,4,16
round_shots,383,29
round_queries,383,725
round_k,3,12
round_shots,480,16
round_queries,480,528
round_k,4,16
round_shots,230,35,16
round_queries,230,105,528
round_k,1,4,16
round_shots,440,18
round_queries,440,558
round_k,4,15
round_shots,277,50,2
round_queries,277,350,138
round_k,3,11,34
round_shots,463,29
round_queries,463,725
round_k,3,12
round_shots,463,20
round_queries,463,580
round_k,3,14
round_shots,250,35,17
round_queries,250,105,459
round_k,1,4,13
round_shots,307,26,25
round_queries,307,78,675
round_k,1,4,13
round_shots,398,26,18
round_queries,398,78,558
round_k,1,4,15
round_shots,134,26,16
round_queries,134,78,528
round_k,1,4,16
round_shots,259,17
round_queries,259,459
round_k,3,13
round_shots,386,29
round_queries,386,725
round_k,3,12
round_shots,268,51,1
round_queries,268,357,75
round_k,3,12,37
round_shots,256,54,3
round_queries,256,378,189
round_k,3,10,31
round_shots,324,26,16
round_queries,324,78,528
round_k,1,4,16
round_shots,190,35,18
round_queries,190,105,558
round_k,1,4,15
round_shots,463,29
round_queries,463,725
round_k,3,12
round_shots,470,18
round_queries,470,558
round_k,4,15
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,383,62,13
round_queries,383,186,403
round_k,1,4,15
round_shots,461,25
round_queries,461,675
round_k,3,13
round_shots,355,35,16
round_queries,355,105,528
round_k,1,4,16
round_shots,399,26,25
round_queries,399,78,675
round_k,1,4,13
round_shots,287,26,16
round_queries,287,78,528
round_k,1,4,16
round_shots,292,25
round_queries,292,675
round_k,3,13
round_shots,259,63,2
round_queries,259,441,142
round_k,3,11,35
round_shots,271,35
round_queries,271,805
round_k,3,11
round_shots,51,42,18
round_queries,51,126,558
round_k,1,4,15
round_shots,429,29
round_queries,429,725
round_k,3,12
round_shots,73,26,16
round_queries,73,78,528
round_k,1,4,16
round_shots,268,25
round_queries,268,675
round_k,3,13
round_shots,265,29
round_queries,265,725
round_k,3,12
round_shots,272,69,25
round_queries,272,207,675
round_k,1,4,13
round_shots,395,62,17
round_queries,395,186,527
round_k,1,4,15
round_shots,264,73,1
round_queries,264,511,75
round_k,3,12,37
round_shots,255,42,25
round_queries,255,126,675
round_k,1,4,13
round_shots,67,35,16
round_queries,67,105,528
round_k,1,4,16
round_shots,263,42,13
round_queries,263,126,403
round_k,1,4,15
round_shots,452,18
round_queries,452,558
round_k,4,15
round_shots,480,17
round_queries,480,459
round_k,4,13
round_shots,421,18
round_queries,421,558
round_k,4,15
round_shots,330,29
round_queries,330,725
round_k,3,12
round_shots,492,29
round_queries,492,725
round_k,3,12
round_shots,270,56,18
round_queries,270,168,558
round_k,1,4,15
round_shots,391,29
round_queries,391,725
round_k,3,12
round_shots,273,25
round_queries,273,675
round_k,3,13
round_shots,511,16
round_queries,511,528
round_k,4,16
round_shots,316,29
round_queries,316,725
round_k,3,12
round_shots,469,29
round_queries,469,725
round_k,3,12
round_shots,469,29
round_queries,469,725
round_k,3,12
round_shots,226,42,16
round_queries,226,126,528
round_k,1,4,16
round_shots,465,20
round_queries,465,580
round_k,4,14
round_shots,438,18
round_queries,438,558
round_k,4,15
round_shots,277,49,16
round_queries,277,147,528
round_k,1,4,16
round_shots,334,26,25
round_queries,334,78,675
round_k,1,4,13
round_shots,128,35,16
round_queries,128,105,528
round_k,1,4,16
round_shots,333,29
round_queries,333,725
round_k,3,12
round_shots,503,25
round_queries,503,675
round_k,4,13
round_shots,277,29
round_queries,277,725
round_k,3,12
round_shots,348,35,16
round_queries,348,105,528
round_k,1,4,16
round_shots,79,26,18
round_queries,79,78,558
round_k,1,4,15
round_shots,293,26,23
round_queries,293,78,621
round_k,1,4,13
round_shots,113,49,25
round_queries,113,147,675
round_k,1,4,13
round_shots,318,35
round_queries,318,805
round_k,3,11
round_shots,368,42,16
round_queries,368,126,528
round_k,1,4,16
round_shots,174,35,16
round_queries,174,105,528
round_k,1,4,16
round_shots,110,35,25
round_queries,110,105,675
round_k,1,4,13
round_shots,209,35,25
round_queries,209,105,675
round_k,1,4,13
round_shots,372,35,18
round_queries,372,105,558
round_k,1,4,15
round_shots,406,29
round_queries,406,725
round_k,3,12
round_shots,210,56,16
round_queries,210,168,528
round_k,1,4,16
round_shots,344,26,17
round_queries,344,78,459
round_k,1,4,13
round_shots,116,26,18
round_queries,116,78,558
round_k,1,4,15
round_shots,287,29
round_queries,287,725
round_k,3,12
round_shots,463,35
round_queries,463,805
round_k,3,11
round_shots,222,26,16
round_queries,222,78,528
round_k,1,4,16
round_shots,426,29
round_queries,426,725
round_k,3,12
round_shots,365,56,16
round_queries,365,168,528
round_k,1,4,16
round_shots,242,35,16
round_queries,242,105,528
round_k,1,4,16
round_shots,222,35,16
round_queries,222,105,528
round_k,1,4,16
round_shots,236,26,25
round_queries,236,78,675
round_k,1,4,13
round_shots,54,63,14
round_queries,54,189,490
round_k,1,5,17
round_shots,272,26,18
round_queries,272,78,558
round_k,1,4,15
round_shots,300,29
round_queries,300,725
round_k,3,12
round_shots,316,29
round_queries,316,725
round_k,3,12
round_shots,354,70,1
round_queries,354,490,75
round_k,3,12,37
round_shots,318,29
round_queries,318,725
round_k,3,12
round_shots,301,58,1
round_queries,301,406,73
round_k,3,11,36
round_shots,318,35
round_queries,318,805
round_k,3,11
round_shots,271,29
round_queries,271,725
round_k,3,12
round_shots,325,33,5
round_queries,325,165,225
round_k,2,7,22
round_shots,250,56,23
round_queries,250,168,621
round_k,1,4,13
round_shots,304,35,18
round_queries,304,105,558
round_k,1,4,15
round_shots,70,35,16
round_queries,70,105,528
round_k,1,4,16
round_shots,463,29
round_queries,463,725
round_k,3,12
round_shots,310,29
round_queries,310,725
round_k,3,12
round_shots,351,29
round_queries,351,725
round_k,3,12
round_shots,458,16
round_queries,458,528
round_k,4,16
round_shots,80,42,18
round_queries,80,126,558
round_k,1,4,15
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,61,35,16
round_queries,61,105,528
round_k,1,4,16
round_shots,273,29
round_queries,273,725
round_k,3,12
round_shots,374,25
round_queries,374,675
round_k,3,13
round_shots,273,26,18
round_queries,273,78,558
round_k,1,4,15
round_shots,174,49,18
round_queries,174,147,558
round_k,1,4,15
round_shots,400,35
round_queries,400,805
round_k,3,11
round_shots,262,56,2
round_queries,262,392,138
round_k,3,11,34
round_shots,240,26,16
round_queries,240,78,528
round_k,1,4,16
round_shots,268,29
round_queries,268,725
round_k,3,12
round_shots,259,52,1
round_queries,259,364,73
round_k,3,11,36
round_shots,383,42,18
round_queries,383,126,558
round_k,1,4,15
round_shots,335,24,6
round_queries,335,120,294
round_k,2,7,24
round_shots,426,35
round_queries,426,805
round_k,3,11
round_shots,409,44,1
round_queries,409,308,73
round_k,3,11,36
round_shots,487,13
round_queries,487,403
round_k,4,15
round_shots,339,65,2
round_queries,339,455,142
round_k,3,11,35
round_shots,435,29
round_queries,435,725
round_k,3,12
round_shots,268,52,1
round_queries,268,364,75
round_k,3,12,37
round_shots,135,49,16
round_queries,135,147,528
round_k,1,4,16
round_shots,318,65,1
round_queries,318,455,75
round_k,3,12,37
round_shots,196,35,25
round_queries,196,105,675
round_k,1,4,13
round_shots,417,62,25
round_queries,417,186,675
round_k,1,4,13
round_shots,210,35,18
round_queries,210,105,558
round_k,1,4,15
round_shots,276,42,16
round_queries,276,126,528
round_k,1,4,16
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,391,29
round_queries,391,725
round_k,3,12
round_shots,268,35,18
round_queries,268,105,558
round_k,1,4,15
round_shots,286,29
round_queries,286,725
round_k,3,12
round_shots,265,29
round_queries,265,725
round_k,3,12
round_shots,266,35,25
round_queries,266,105,675
round_k,1,4,13
round_shots,298,35
round_queries,298,805
round_k,3,11
round_shots,443,46,1
round_queries,443,322,73
round_k,3,11,36
round_shots,397,29
round_queries,397,725
round_k,3,12
round_shots,399,35,16
round_queries,399,105,528
round_k,1,4,16
round_shots,287,29
round_queries,287,725
round_k,3,12
round_shots,260,42,16
round_queries,260,126,528
round_k,1,4,16
round_shots,298,29
round_queries,298,725
round_k,3,12
round_shots,312,35
round_queries,312,805
round_k,3,11
round_shots,333,26,25
round_queries,333,78,675
round_k,1,4,13
round_shots,280,42,1
round_queries,280,294,73
round_k,3,11,36
round_shots,343,26,16
round_queries,343,78,528
round_k,1,4,16
round_shots,262,29
round_queries,262,725
round_k,3,12
round_shots,400,35
round_queries,400,805
round_k,3,11
round_shots,442,16
round_queries,442,528
round_k,4,16
round_shots,89,49,18
round_queries,89,147,558
round_k,1,4,15
round_shots,278,46,1
round_queries,278,322,75
round_k,3,11,37
round_shots,360,52,2
round_queries,360,364,142
round_k,3,11,35
round_shots,365,35
round_queries,365,805
round_k,3,11
round_shots,462,16
round_queries,462,528
round_k,4,16
round_shots,286,66,1
round_queries,286,462,73
round_k,3,11,36
round_shots,300,29
round_queries,300,725
round_k,3,12
round_shots,427,18
round_queries,427,558
round_k,4,15
round_shots,286,26,17
round_queries,286,78,459
round_k,1,4,13
round_shots,187,49,16
round_queries,187,147,528
round_k,1,4,16
round_shots,435,16
round_queries,435,528
round_k,4,16
round_shots,400,35,16
round_queries,400,105,528
round_k,1,4,16
round_shots,437,16
round_queries,437,528
round_k,4,16
round_shots,256,35,16
round_queries,256,105,528
round_k,1,4,16
round_shots,452,29
round_queries,452,725
round_k,3,12
round_shots,267,54,4
round_queries,267,270,196
round_k,2,7,24
round_shots,388,50,2
round_queries,388,350,138
round_k,3,11,34
round_shots,156,42,25
round_queries,156,126,675
round_k,1,4,13
round_shots,318,24,6
round_queries,318,120,294
round_k,2,7,24
round_shots,389,42,16
round_queries,389,126,528
round_k,1,4,16
round_shots,154,42,16
round_queries,154,126,528
round_k,1,4,16
round_shots,407,26,16
round_queries,407,78,528
round_k,1,4,16
round_shots,380,59,2
round_queries,380,413,142
round_k,3,11,35
round_shots,365,35,17
round_queries,365,105,459
round_k,1,4,13
round_shots,486,35
round_queries,486,805
round_k,3,11
round_shots,429,29
round_queries,429,725
round_k,3,12
round_shots,379,42,18
round_queries,379,126,558
round_k,1,4,15
round_shots,375,42,16
round_queries,375,126,528
round_k,1,4,16
round_shots,365,35
round_queries,365,805
round_k,3,11
round_shots,503,63,2
round_queries,503,441,126
round_k,3,10,31
round_shots,206,26,18
round_queries,206,78,558
round_k,1,4,15
round_shots,215,49,25
round_queries,215,147,675
round_k,1,4,13
round_shots,239,26,16
round_queries,239,78,528
round_k,1,4,16
round_shots,265,35
round_queries,265,805
round_k,3,11
round_shots,410,26,18
round_queries,410,78,558
round_k,1,4,15
round_shots,357,29
round_queries,357,725
round_k,3,12
